335_125951_000000_000000	218 Full page line-art drawing.	two hundred eighteen Full page line art drawing.	false	2.88	7.62	20.667067
335_125951_000001_000000	219 Dr. Nikidik's Famous Wishing Pills	two hundred nineteen dr Nikidik's Famous Wishing Pills	false	7.62	22.42	20.355381
335_125951_000002_000000	The Tin Woodman was usually a peaceful man, but when occasion required he could fight as fiercely as a Roman gladiator.	The Tin Woodman was usually a peaceful man, but when occasion required he could fight as fiercely as a Roman gladiator.	true	23.87	31.42	22
335_125951_000002_000001	So, when the Jackdaws nearly knocked him down in their rush of wings, and their sharp beaks and claws threatened to damage his brilliant plating, the Woodman picked up his axe and made it whirl swiftly around his head.	So, when the Jackdaws nearly knocked him down in their rush of wings, and their sharp beaks and claws threatened to damage his brilliant plating, the Woodman picked up his axe and made it whirl swiftly around his head.	true	31.76	44.35	18
335_125951_000003_000000	But although many were beaten off in this way, the birds were so numerous and so brave that they continued the attack as furiously as before.	But although many were beaten off in this way, the birds were so numerous and so brave that they continued the attack as furiously as before.	true	44.96	53.38	18
335_125951_000003_000001	Some of them pecked at the eyes of the Gump, which hung over the nest in a helpless condition; but the Gump's eyes were of glass and could not be injured. Others of the Jackdaws rushed at the Saw-Horse; but that animal, being still upon his back, kicked out so viciously with his wooden legs that he beat off as many assailants as did the Woodman's axe.	Some of them pecked at the eyes of the Gump, which hung over the nest in a helpless condition; but the Gump's eyes were of glass and could not be injured. Others of the Jackdaws rushed at the Saw Horse; but that animal, being still upon his back, kicked out so viciously with his wooden legs that he beat off as many assailants as did the Woodman's axe.	true	53.87	76.38	21.884726
335_125951_000004_000000	220	two hundred twenty	false	76.38	77.7	-20
335_125951_000005_000000	Finding themselves thus opposed, the birds fell upon the Scarecrow's straw, which lay at the center of the nest, covering Tip and the Woggle-Bug and Jack's pumpkin head, and began tearing it away and flying off with it, only to let it drop, straw by straw into the great gulf beneath.	Finding themselves thus opposed, the birds fell upon the Scarecrow's straw, which lay at the center of the nest, covering Tip and the Woggle Bug and Jack's pumpkin head, and began tearing it away and flying off with it, only to let it drop, straw by straw into the great gulf beneath.	true	77.7	94.06	23.002302
335_125951_000006_000000	The Scarecrow's head, noting with dismay this wanton destruction of his interior, cried to the Tin Woodman to save him; and that good friend responded with renewed energy.	The Scarecrow's head, noting with dismay this wanton destruction of his interior, cried to the Tin Woodman to save him; and that good friend responded with renewed energy.	false	94.76	105.1	18
335_125951_000006_000001	His axe fairly flashed among the Jackdaws, and fortunately the Gump began wildly waving the two wings remaining on the left side of its body.	His axe fairly flashed among the Jackdaws, and fortunately the Gump began wildly waving the two wings remaining on the left side of its body.	false	105.11	112.81	15
335_125951_000006_000002	The flutter of these great wings filled the Jackdaws with terror, and when the Gump by its exertions freed itself from the peg of rock on which it hung, and sank flopping into the nest, the alarm of the birds knew no bounds and they fled screaming over the mountains.	The flutter of these great wings filled the Jackdaws with terror, and when the Gump by its exertions freed itself from the peg of rock on which it hung, and sank flopping into the nest, the alarm of the birds knew no bounds and they fled screaming over the mountains.	false	113.03	129.04	22
335_125951_000007_000000	When the last foe had disappeared, Tip crawled from under the sofas and assisted the Woggle-Bug to follow him.	When the last foe had disappeared, Tip crawled from under the sofas and assisted the Woggle Bug to follow him.	true	129.92	136.06	22
335_125951_000008_000000	"We are saved!" shouted the boy, delightedly.	"We are saved!" shouted the boy, delightedly.	true	136.46	139.18	22.002085
335_125951_000009_000000	"We are, indeed!" responded the Educated Insect, fairly hugging the stiff head of the Gump in his joy.	"We are, indeed!" responded the Educated Insect, fairly hugging the stiff head of the Gump in his joy.	true	140.3	145.99	20.92176
335_125951_000009_000001	"and we owe it all to the flopping of the Thing, and the good axe of the Woodman!"	"and we owe it all to the flopping of the Thing, and the good axe of the Woodman!"	true	146.06	150.66	22.449673
335_125951_000010_000000	221	two hundred twenty one	false	150.66	150.96	15
335_125951_000011_000000	"If I am saved, get me out of here!" called Jack; whose head was still beneath the sofas; and Tip managed to roll the pumpkin out and place it upon its neck again.	"If I am saved, get me out of here!" called Jack; whose head was still beneath the sofas; and Tip managed to roll the pumpkin out and place it upon its neck again.	false	150.96	160.06	20.263731
335_125951_000011_000001	He also set the Saw-Horse upright, and said to it:	He also set the Saw Horse upright, and said to it:	true	160.34	163.33	22.360426
335_125951_000012_000000	"We owe you many thanks for the gallant fight you made."	"We owe you many thanks for the gallant fight you made."	true	163.4	166.3	19
335_125951_000013_000000	"I really think we have escaped very nicely," remarked the Tin Woodman, in a tone of pride.	"I really think we have escaped very nicely," remarked the Tin Woodman, in a tone of pride.	true	167.45	173.02	25.150599
