7538_100045_000000_000000	The big race for the ten-thousand-dollar prize was under way!	The big race for the ten thousand dollar prize was under way!	false	9.24	22.335	20.807423
7538_100045_000001_000000	Chapter Twenty-Four	Chapter Twenty Four	true	22.335	23.86	21
7538_100045_000002_000000	Won by a Length	Won by a Length	true	23.99	25.54	19.184536
7538_100045_000003_000000	Rising upward, on a steep slant, for he wanted to get into the upper currents as soon as possible, Tom looked down and off to his left and saw one machine going over the ground in curious leaps and bounds.	Rising upward, on a steep slant, for he wanted to get into the upper currents as soon as possible, Tom looked down and off to his left and saw one machine going over the ground in curious leaps and bounds.	true	27.5	38.29	14
7538_100045_000003_000001	It was the tiny Demoiselle--the smallest craft in the race, and its peculiar style of starting was always thus manifested.	It was the tiny Demoiselle-the smallest craft in the race, and its peculiar style of starting was always thus manifested.	false	38.54	46.18	20.764553
7538_100045_000004_000000	"I don't believe he's going to make it," thought Tom.	"I don't believe he's going to make it," thought Tom.	true	46.67	48.76	21
7538_100045_000005_000000	He was right.	He was right.	true	49.28	50.32	20.959766
7538_100045_000005_000001	In another moment the tiny craft, after rising a short distance, dove downward, and was wrecked.	In another moment the tiny craft, after rising a short distance, dove downward, and was wrecked.	true	50.51	55.66	19
7538_100045_000005_000002	The young inventor saw the two men crawling out from the tangled planes and wings, apparently uninjured.	The young inventor saw the two men crawling out from the tangled planes and wings, apparently uninjured.	true	56.03	60.64	13
7538_100045_000006_000000	"One contestant less," thought Tom, grimly, though with pity in his heart for the unfortunates.	"One contestant less," thought Tom, grimly, though with pity in his heart for the unfortunates.	true	61.49	66.49	19
7538_100045_000007_000000	However, he must think of himself and his own craft now.	However, he must think of himself and his own craft now.	true	66.83	69.85	20.432138
7538_100045_000007_000001	He glanced at Mr. Damon sitting beside him.	He glanced at mr Damon sitting beside him.	true	70.07	72.46	15
7538_100045_000007_000002	That odd gentleman, with never a thought of blessing anything now, unless he did it silently, was watching the lubricating system.	That odd gentleman, with never a thought of blessing anything now, unless he did it silently, was watching the lubricating system.	true	72.47	78.79	14
7538_100045_000007_000003	This was a vital part of the craft, for if anything went wrong with it, and the bearings overheated, the race would have to be abandoned.	This was a vital part of the craft, for if anything went wrong with it, and the bearings overheated, the race would have to be abandoned.	false	79.01	85.75	18
7538_100045_000007_000004	So Tom was not trusting to any automatic arrangement, but had instituted, almost at the last moment, a duplicate hand-worked system, so that if one failed him he would have the other.	So Tom was not trusting to any automatic arrangement, but had instituted, almost at the last moment, a duplicate hand worked system, so that if one failed him he would have the other.	true	86.42	95.71	18
7538_100045_000008_000000	"A good start!" shouted Mr. Damon in his ear.	"A good start!" shouted mr Damon in his ear.	true	96.17	99.07	25.314049
7538_100045_000009_000000	Tom nodded, and glanced behind him.	Tom nodded, and glanced behind him.	true	99.47	101.56	19
7538_100045_000009_000001	On a line with the Humming-Bird, and at about the same elevation, were the Bleriot monoplane and a Wright biplane.	On a line with the Humming Bird, and at about the same elevation, were the Bleriot monoplane and a Wright biplane.	false	101.96	107.95	16
7538_100045_000009_000002	Below were the Santos-Dumont and the Antoinette.	Below were the Santos Dumont and the Antoinette.	true	108.38	111.07	18.35443
7538_100045_000010_000000	"Where's the Slugger?" called Tom to his friend.	"Where's the Slugger?" called Tom to his friend.	true	111.77	114.16	20.517805
7538_100045_000011_000000	Mr. Damon motioned upward.	mr Damon motioned upward.	true	114.65	116.325	18
7538_100045_000011_000001	There, in the air above Tom's machine, and slightly in advance, was Andy Foger's craft.	There, in the air above Tom's machine, and slightly in advance, was Andy Foger's craft.	true	116.325	121.48	16
7538_100045_000011_000002	He had gotten away in better shape than had the Humming-Bird.	He had gotten away in better shape than had the Humming Bird.	true	121.49	124.51	17
7538_100045_000012_000000	For a moment Tom's heart misgave him.	For a moment Tom's heart misgave him.	true	125.45	127.575	21.11293
7538_100045_000012_000001	Then he turned on more power, and had the satisfaction of mounting upward and shooting onward until he was on even terms with Andy.	Then he turned on more power, and had the satisfaction of mounting upward and shooting onward until he was on even terms with Andy.	true	127.575	134.35	15
7538_100045_000013_000000	The bully gave one glance over toward his rival, and pulled a lever. The Slugger increased her speed, but Tom was not a second behind him.	The bully gave one glance over toward his rival, and pulled a lever. The Slugger increased her speed, but Tom was not a second behind him.	true	134.9	141.73	15
7538_100045_000014_000000	There was a roaring noise in the rear, and up shot De Tromp in the Farman, and Loi Tong, the little Japanese, in the Santos-Dumont.	There was a roaring noise in the rear, and up shot De Tromp in the Farman, and l o i Tong, the little Japanese, in the Santos Dumont.	false	142.4	149.38	16
7538_100045_000014_000001	Truly the race was going to be a hotly contested one.	Truly the race was going to be a hotly contested one.	true	149.63	152.59	17
7538_100045_000014_000002	But the end was far off yet.	But the end was far off yet.	false	152.87	155.02	18.782795
7538_100045_000015_000000	After the first jockeying for a start and position, the race settled down into what might be termed a "grind." The course was a large one, but so favorable was the atmosphere that day, and such was the location of Eagle Park in a great valley, that even on the far side of the great ellipse the contestants could be seen, dimly with the naked eye, but very plainly with glasses, with which many of the spectators were provided.	After the first jockeying for a start and position, the race settled down into what might be termed a "grind." The course was a large one, but so favorable was the atmosphere that day, and such was the location of Eagle Park in a great valley, that even on the far side of the great ellipse the contestants could be seen, dimly with the naked eye, but very plainly with glasses, with which many of the spectators were provided.	true	156.29	177.04	16
7538_100045_000016_000000	Around and around they went, at no very great height, for it was necessary to make out the signals set up by the race officials, so that the contestants would know when they were near the finish, that they might use the last atom of speed.	Around and around they went, at no very great height, for it was necessary to make out the signals set up by the race officials, so that the contestants would know when they were near the finish, that they might use the last atom of speed.	true	177.53	188.14	15
7538_100045_000016_000001	So at varying heights the wonderful machines circled about the course.	So at varying heights the wonderful machines circled about the course.	true	188.57	192.64	15
7538_100045_000017_000000	The Humming-Bird was working well, and Tom felt a sense of pride as he saw the ground slipping away below him.	The Humming Bird was working well, and Tom felt a sense of pride as he saw the ground slipping away below him.	true	193.55	198.91	15
7538_100045_000017_000001	He felt sure that he would win, even when Alameda, the Spaniard, in the Antoinette, came creeping up on him, and even when Andy Foger, with a burst of speed, placed himself and his passenger in the lead.	He felt sure that he would win, even when Alameda, the Spaniard, in the Antoinette, came creeping up on him, and even when Andy Foger, with a burst of speed, placed himself and his passenger in the lead.	true	199.16	209.05	17
7538_100045_000018_000000	"I'll catch him!" muttered Tom, and he opened the throttle a trifle wider, and went after Andy, passing him with ease.	"I'll catch him!" muttered Tom, and he opened the throttle a trifle wider, and went after Andy, passing him with ease.	true	209.39	215.14	20
7538_100045_000019_000000	They had covered about thirty miles of the course, when the humming and crackling of the wireless apparatus told Tom that a message was coming. He snapped the receiver to his ear, adjusting the outer covering to shut out the racket of the motor, and listened.	They had covered about thirty miles of the course, when the humming and crackling of the wireless apparatus told Tom that a message was coming. He snapped the receiver to his ear, adjusting the outer covering to shut out the racket of the motor, and listened.	true	215.93	227.26	15
7538_100045_000020_000000	"Well?" asked Mr. Damon, as Tom took off the receiver.	"Well?" asked mr Damon, as Tom took off the receiver.	true	228.08	231.4	24.059828
7538_100045_000021_000000	"Dad isn't quite so well," answered the lad.	"Dad isn't quite so well," answered the lad.	true	231.62	234.135	23.447441
7538_100045_000021_000001	"Mr.	"mr	true	234.135	234.57	25.96497
7538_100045_000021_000002	Jackson says they have sent for Dr. Hendrix again.	Jackson says they have sent for dr Hendrix again.	true	234.57	237.09	15
7538_100045_000021_000003	But dad is game.	But dad is game.	true	237.09	238.275	23.509933
7538_100045_000021_000004	He sends me word to go on and win, and I'll do it, too, only--"	He sends me word to go on and win, and I'll do it, too, only-"	true	238.275	241.63	21
7538_100045_000022_000000	Tom paused, and choked back a sob.	Tom paused, and choked back a sob.	true	242.12	244.78	20.874832
7538_100045_000022_000001	Then he prepared to get more speed out of his motor.	Then he prepared to get more speed out of his motor.	true	245	247.3	18
7538_100045_000023_000000	"Of course you will!" cried Mr. Damon.	"Of course you will!" cried mr Damon.	true	247.61	249.87	22
7538_100045_000023_000001	"Bless my--!"	"Bless my-!"	false	249.87	251.28	21.472118
7538_100045_000024_000000	But they encountered an adverse current of wind at that moment, and it required the attention of both of the aviators to manage the machine. It was soon on an even keel again, and once more was shooting forward around the course.	But they encountered an adverse current of wind at that moment, and it required the attention of both of the aviators to manage the machine. It was soon on an even keel again, and once more was shooting forward around the course.	false	251.28	262	17
7538_100045_000025_000000	At times Tom would be in advance, and again he would have to give place to the Curtis, the Farman, or the Santos-Dumont, as these speedy machines, favored by a spurt from their motors, or by some current of air, shot ahead.	At times Tom would be in advance, and again he would have to give place to the Curtis, the Farman, or the Santos Dumont, as these speedy machines, favored by a spurt from their motors, or by some current of air, shot ahead.	true	262.64	274.36	19
7538_100045_000025_000001	But, in general, Tom maintained the lead, and among the spectators there began a series of guesses as to how much he would win by.	But, in general, Tom maintained the lead, and among the spectators there began a series of guesses as to how much he would win by.	true	274.61	280.48	15
7538_100045_000026_000000	Tom glanced at the barograph.	Tom glanced at the barograph.	true	281.18	282.93	23.005161
7538_100045_000026_000001	It registered a little over twelve hundred feet.	It registered a little over twelve hundred feet.	false	282.93	285.46	17.809395
7538_100045_000026_000002	He looked at the speed gage.	He looked at the speed gage.	true	285.74	287.26	25.383234
7538_100045_000026_000003	He was doing a trifle better than a hundred miles an hour.	He was doing a trifle better than a hundred miles an hour.	false	287.39	290.08	20.83052
7538_100045_000026_000004	He looked down at the signals.	He looked down at the signals.	true	290.3	291.67	20.278486
7538_100045_000026_000005	There was twenty miles yet to go.	There was twenty miles yet to go.	true	291.77	293.64	20.21928
7538_100045_000026_000006	It was almost time for the spurt for which he had been holding back.	It was almost time for the spurt for which he had been holding back.	false	293.64	296.86	21.862734
7538_100045_000026_000007	Yet he would wait until five miles from the end, and then he felt that he could gain and maintain a lead.	Yet he would wait until five miles from the end, and then he felt that he could gain and maintain a lead.	true	297.02	301.87	21
7538_100045_000027_000000	"Andy seems to be doing well," said Mr. Damon.	"Andy seems to be doing well," said mr Damon.	true	302.57	305.47	22
7538_100045_000028_000000	"Yes, he has a good machine," conceded Tom.	"Yes, he has a good machine," conceded Tom.	true	305.81	308.62	20.803194
7538_100045_000029_000000	Five miles more were reeled off.	Five miles more were reeled off.	true	309.14	311.505	17.995768
7538_100045_000029_000001	Then another five.	Then another five.	true	311.505	312.72	25.29741
7538_100045_000029_000002	Another round of that distance and Tom would key his motor up to the highest pitch, and then the Humming-Bird would show what she could do.	Another round of that distance and Tom would key his motor up to the highest pitch, and then the Humming Bird would show what she could do.	true	312.72	318.46	19
