1445_139397_000000_000000	CHAPTER 16 -- Sold Down the River	CHAPTER sixteen -- Sold Down the River
1445_139397_000003_000003	It made him wince, secretly--for she was a "nigger." That he was one himself was far from reconciling him to that despised race.	It made him wince, secretly-for she was a "nigger." That he was one himself was far from reconciling him to that despised race.
1445_139397_000004_000000	Roxana poured out endearments upon him, to which he responded uncomfortably, but as well as he could.	Roxana poured out endearments upon him, to which he responded uncomfortably, but as well as he could.
1445_139397_000004_000001	And she tried to comfort him, but that was not possible.	And she tried to comfort him, but that was not possible.
1445_139397_000004_000002	These intimacies quickly became horrible to him, and within the hour he began to try to get up courage enough to tell her so, and require that they be discontinued or very considerably modified.	These intimacies quickly became horrible to him, and within the hour he began to try to get up courage enough to tell her so, and require that they be discontinued or very considerably modified.
1445_139397_000004_000003	But he was afraid of her; and besides, there came a lull now, for she had begun to think.	But he was afraid of her; and besides, there came a lull now, for she had begun to think.
1445_139397_000004_000004	She was trying to invent a saving plan.	She was trying to invent a saving plan.
1445_139397_000004_000005	Finally she started up, and said she had found a way out.	Finally she started up, and said she had found a way out.
1445_139397_000006_000000	Tom was dazed.	Tom was dazed.
1445_139397_000008_000011	Dat's de plan."	Dat's de plan."
1445_139397_000009_000000	Tom's hopes began to rise, and his spirits along with them.	Tom's hopes began to rise, and his spirits along with them.
1445_139397_000009_000001	He said:	He said:
1445_139397_000010_000000	"It's lovely of you, Mammy--it's just--"	"It's lovely of you, Mammy-it's just-"
1445_139397_000013_000001	White folks ain't partic'lar.	White folks ain't partic'lar.
1445_139397_000014_000001	He did not want to commit this treachery, but luck threw the man in his way, and this saved him the necessity of going up-country to hunt up a purchaser, with the added risk of having to answer a lot of questions, whereas this planter was so pleased with Roxy that he asked next to none at all.	He did not want to commit this treachery, but luck threw the man in his way, and this saved him the necessity of going up country to hunt up a purchaser, with the added risk of having to answer a lot of questions, whereas this planter was so pleased with Roxy that he asked next to none at all.
1445_139397_000015_000000	So Tom argued with himself that it was an immense advantaged for Roxy to have a master who was pleased with her, as this planter manifestly was.	So Tom argued with himself that it was an immense advantaged for Roxy to have a master who was pleased with her, as this planter manifestly was.
1445_139397_000018_000001	When she went to her foul steerage bunk at last, between the clashing engines, it was not to sleep, but only to wait for the morning, and, waiting, grieve.	When she went to her foul steerage bunk at last, between the clashing engines, it was not to sleep, but only to wait for the morning, and, waiting, grieve.
1445_139397_000019_000000	It had been imagined that she "would not know," and would think she was traveling upstream.	It had been imagined that she "would not know," and would think she was traveling upstream.
1445_139397_000019_000002	Why, she had been steamboating for years.	Why, she had been steamboating for years.
1445_139397_000019_000006	For one moment her petrified gaze fixed itself there.	For one moment her petrified gaze fixed itself there.
