7665_104978_000000_000000	CHAPTER I. A SPY'S DUTY	CHAPTER one A SPY'S DUTY	false	0.57	23.32	19.128994
7665_104978_000001_000000	I am not without self-control, yet when Miss Davies entered the room with that air of importance she invariably assumes when she has an unusually fine position to offer, I could not hide all traces of my anxiety.	I am not without self control, yet when Miss Davies entered the room with that air of importance she invariably assumes when she has an unusually fine position to offer, I could not hide all traces of my anxiety.	false	25.19	38.05	17.822382
7665_104978_000002_000000	I needed a position, needed it badly, while the others--	I needed a position, needed it badly, while the others-	true	41.33	45.58	18.83262
7665_104978_000003_000000	But her eyes are on our faces, she is scanning us all with that close and calculating gaze which lets nothing escape.	But her eyes are on our faces, she is scanning us all with that close and calculating gaze which lets nothing escape.	true	46.07	52.96	17
7665_104978_000003_000001	She has passed me by--my heart goes down, down--when suddenly her look returns and she singles me out.	She has passed me by-my heart goes down, down-when suddenly her look returns and she singles me out.	true	53.45	60.82	17.311619
7665_104978_000004_000000	"Miss Saunders." Then, "I have a word to say to you."	"Miss Saunders." Then, "I have a word to say to you."	false	61.76	65.44	19.833572
7665_104978_000005_000000	There is a rustle about me; five disappointed girls sink back into their seats as I quickly rise and follow Miss Davies out.	There is a rustle about me; five disappointed girls sink back into their seats as I quickly rise and follow Miss Davies out.	true	65.99	72.82	17
7665_104978_000006_000000	In the hall she faced me with these words:	In the hall she faced me with these words:	true	74.24	76.51	19
7665_104978_000007_000000	"You are discreet, and you evidently desire a position.	"You are discreet, and you evidently desire a position.	true	76.94	80.98	20.929527
7665_104978_000007_000001	You will find a gentleman in my sitting-room.	You will find a gentleman in my sitting room.	true	81.5	84.01	18
7665_104978_000007_000002	If you come to terms with him, well and good.	If you come to terms with him, well and good.	false	84.32	87.66	18.618431
7665_104978_000007_000003	If not, I shall expect you to forget all about him and his errand the moment you leave his presence.	If not, I shall expect you to forget all about him and his errand the moment you leave his presence.	true	87.66	93.43	18.69178
7665_104978_000007_000004	You understand me?"	You understand me?"	true	93.59	94.9	20.583666
7665_104978_000008_000000	"I think so," I replied, meeting her steady look with one equally composed.	"I think so," I replied, meeting her steady look with one equally composed.	true	95.57	100.6	18.4884
7665_104978_000008_000001	Part of my strength--and I think I have some strength--lies in the fact that I am quietest when most deeply roused.	Part of my strength-and I think I have some strength-lies in the fact that I am quietest when most deeply roused.	true	100.88	107.73	17.67346
7665_104978_000008_000002	"I am not to talk whatever the outcome."	"I am not to talk whatever the outcome."	false	107.73	110.68	19.594015
7665_104978_000009_000000	"Not even to me," she emphasized.	"Not even to me," she emphasized.	true	111.14	113.59	20.31705
7665_104978_000010_000000	Stirred still further and therefore outwardly even more calm than before, I stopped her as she was moving on and ventured a single query.	Stirred still further and therefore outwardly even more calm than before, I stopped her as she was moving on and ventured a single query.	false	114.23	122.5	16
7665_104978_000011_000000	"This position--involving secrecy--is it one you would advise me to take, even if I did not stand in need of it so badly?"	"This position-involving secrecy-is it one you would advise me to take, even if I did not stand in need of it so badly?"	true	123.23	130.81	18.032322
7665_104978_000012_000000	"Yes.	"Yes.	true	132.44	133.27	18.24943
7665_104978_000012_000001	The difficulties will not be great to a discreet person.	The difficulties will not be great to a discreet person.	true	133.43	136.48	20
7665_104978_000012_000002	It is a first-class opportunity for a young woman as experienced as yourself."	It is a first-class opportunity for a young woman as experienced as yourself."	true	136.88	141.67	18.147127
7665_104978_000013_000000	"Thank you," was my abrupt but grateful rejoinder; and, obeying her silent gesture, I opened the door of the sitting-room and passed in.	"Thank you," was my abrupt but grateful rejoinder; and, obeying her silent gesture, I opened the door of the sitting room and passed in.	false	142.19	150.46	19.125782
7665_104978_000013_000001	A gentleman standing at one of the windows turned quickly at the sound of my step and came forward.	A gentleman standing at one of the windows turned quickly at the sound of my step and came forward.	false	151.1	155.71	18.685184
7665_104978_000013_000002	Instantly whatever doubt I may have felt concerning the nature of the work about to be proposed to me yielded to the certainty that, however much it might involve of the strange and difficult, the man whose mission it was to seek my aid was one to inspire confidence and respect.	Instantly whatever doubt I may have felt concerning the nature of the work about to be proposed to me yielded to the certainty that, however much it might involve of the strange and difficult, the man whose mission it was to seek my aid was one to inspire confidence and respect.	false	156.2	171.79	16
7665_104978_000014_000000	He was also a handsome man, or no, I will not go so far as that; he was only one in whom the lines of form and visage were fine enough not to interfere with the impression made by his strong nature and intense vitality.	He was also a handsome man, or no, I will not go so far as that; he was only one in whom the lines of form and visage were fine enough not to interfere with the impression made by his strong nature and intense vitality.	true	172.61	187.87	17.521181
7665_104978_000014_000001	A man to sway women and also quite capable of moving men (this was evident at a glance); but a man under a cloud just at present,--a very heavy cloud which both irked and perplexed him.	A man to sway women and also quite capable of moving men (this was evident at a glance); but a man under a cloud just at present,--a very heavy cloud which both irked and perplexed him.	false	189.41	202.53	17.423481
7665_104978_000015_000000	Pausing in the middle of the room, he surveyed me closely for an instant before speaking.	Pausing in the middle of the room, he surveyed me closely for an instant before speaking.	false	202.53	207.22	16.908846
7665_104978_000015_000001	Did I impress him as favorably as he did me?	Did I impress him as favorably as he did me?	true	207.71	210.52	13
7665_104978_000015_000002	I soon had reason to think so, for the nervous trembling of his hands ceased after the first moment or two of silent scrutiny, and I was sure I caught the note of hope in his voice as he courteously remarked:	I soon had reason to think so, for the nervous trembling of his hands ceased after the first moment or two of silent scrutiny, and I was sure I caught the note of hope in his voice as he courteously remarked:	false	211.4	222.52	15
7665_104978_000016_000000	"You are seeking a place, young lady.	"You are seeking a place, young lady.	true	223.61	225.64	17.88724
7665_104978_000016_000001	Do you think you can fill the one I have to offer?	Do you think you can fill the one I have to offer?	true	226.1	228.4	17
7665_104978_000016_000002	It has its difficulties, but it is not an onerous one. It is that of companion to my wife."	It has its difficulties, but it is not an onerous one. It is that of companion to my wife."	true	228.92	237.04	16.726622
7665_104978_000017_000000	I bowed; possibly I smiled.	I bowed; possibly I smiled.	false	238.04	240.37	17.681936
7665_104978_000017_000001	I do smile sometimes when a ray of real sunshine darts across my pathway.	I do smile sometimes when a ray of real sunshine darts across my pathway.	false	240.62	244.75	13
