1944_159230_000000_000000	IV	i v	false	29.64	30.9	-20
1944_159230_000001_000000	But in the autumn I looked in vain for Joe.	But in the autumn I looked in vain for Joe.	true	30.9	34.03	17
1944_159230_000001_000001	The slate was in its old place, and a messenger came and went on his beat; but a strange face was under the red cap, and this man had two arms and one eye.	The slate was in its old place, and a messenger came and went on his beat; but a strange face was under the red cap, and this man had two arms and one eye.	false	34.46	46.3	20.805418
1944_159230_000001_000002	I asked for Collins, but the new-comer had only a vague idea that he was dead; and the same answer was given me at headquarters, though none of the busy people seemed to know when or where he died.	I asked for Collins, but the new comer had only a vague idea that he was dead; and the same answer was given me at headquarters, though none of the busy people seemed to know when or where he died.	true	46.79	59.95	19.368473
1944_159230_000001_000003	So I mourned for Joe, and felt that it was very hard he could not have lived to enjoy the promised refuge; for, relying upon the charity that never fails, the Home was an actual fact now, just beginning its beneficent career. People were waking up to this duty, money was coming in, meetings were being held, and already a few poor fellows were in the refuge, feeling themselves no longer paupers, but invalid soldiers honorably supported by the State they had served.	So I mourned for Joe, and felt that it was very hard he could not have lived to enjoy the promised refuge; for, relying upon the charity that never fails, the Home was an actual fact now, just beginning its beneficent career. People were waking up to this duty, money was coming in, meetings were being held, and already a few poor fellows were in the refuge, feeling themselves no longer paupers, but invalid soldiers honorably supported by the State they had served.	true	60.44	95.56	21.357658
1944_159230_000001_000004	Talking it over one day with a friend, who spent her life working for the Associated Charities, she said,--	Talking it over one day with a friend, who spent her life working for the Associated Charities, she said,--	true	96.26	102.7	16
1944_159230_000002_000000	"By the way, there is a man boarding with one of my poor women, who ought to be got into the Home, if he will go.	"By the way, there is a man boarding with one of my poor women, who ought to be got into the Home, if he will go.	true	103.79	111.61	18
1944_159230_000002_000001	I don't know much about him, except that he was in the army, has been very ill with rheumatic fever, and is friendless.	I don't know much about him, except that he was in the army, has been very ill with rheumatic fever, and is friendless.	true	112.1	120.22	20
1944_159230_000002_000002	I asked Mrs. Flanagin how she managed to keep him, and she said she had help while he was sick, and now he is able to hobble about, he takes care of the children, so she is able to go out to work.	I asked mrs Flanagin how she managed to keep him, and she said she had help while he was sick, and now he is able to hobble about, he takes care of the children, so she is able to go out to work.	false	120.68	134.5	20.46493
1944_159230_000002_000003	He won't go to his own town, because there is nothing for him there but the almshouse, and he dreads a hospital; so struggles along, trying to earn his bread tending babies with his one arm.	He won't go to his own town, because there is nothing for him there but the almshouse, and he dreads a hospital; so struggles along, trying to earn his bread tending babies with his one arm.	true	135.08	148.27	20.152111
1944_159230_000002_000004	A sad case, and in your line; I wish you'd look into it."	A sad case, and in your line; I wish you'd look into it."	true	148.61	153.55	18.94611
1944_159230_000003_000000	"That sounds like my Joe, one arm and all.	"That sounds like my Joe, one arm and all.	true	155.18	158.11	15
1944_159230_000003_000001	I'll go and see him; I've a weakness for soldiers, sick or well."	I'll go and see him; I've a weakness for soldiers, sick or well."	true	158.54	163.36	20.489964
1944_159230_000004_000000	I went, and never shall forget the pathetic little tableau I saw as I opened Mrs. Flanagin's dingy door; for she was out, and no one heard my tap.	I went, and never shall forget the pathetic little tableau I saw as I opened mrs Flanagin's dingy door; for she was out, and no one heard my tap.	true	164.57	176.53	19.653078
1944_159230_000004_000001	The room was redolent of suds, and in a grove of damp clothes hung on lines sat a man with a crying baby laid across his lap, while he fed three small children standing at his knee with bread and molasses.	The room was redolent of suds, and in a grove of damp clothes hung on lines sat a man with a crying baby laid across his lap, while he fed three small children standing at his knee with bread and molasses.	true	177.14	193.42	17
1944_159230_000004_000002	How he managed with one arm to keep the baby from squirming on to the floor, the plate from upsetting, and to feed the hungry urchins who stood in a row with open mouths, like young birds, was past my comprehension.	How he managed with one arm to keep the baby from squirming on to the floor, the plate from upsetting, and to feed the hungry urchins who stood in a row with open mouths, like young birds, was past my comprehension.	true	194.21	209.62	20
1944_159230_000004_000003	But he did, trotting baby gently, dealing out sweet morsels patiently, and whistling to himself, as if to beguile his labors cheerfully.	But he did, trotting baby gently, dealing out sweet morsels patiently, and whistling to himself, as if to beguile his labors cheerfully.	true	209.99	220.63	20.89693
1944_159230_000005_000000	The broad back, the long legs, the faded coat, the low whistle were all familiar; and, dodging a wet sheet, I faced the man to find it was indeed my Joe!	The broad back, the long legs, the faded coat, the low whistle were all familiar; and, dodging a wet sheet, I faced the man to find it was indeed my Joe!	true	221.99	234.37	18
1944_159230_000005_000001	A mere shadow of his former self, after months of suffering that had crippled him for life, but brave and patient still; trying to help himself, and not ask aid though brought so low.	A mere shadow of his former self, after months of suffering that had crippled him for life, but brave and patient still; trying to help himself, and not ask aid though brought so low.	true	234.95	249.94	19
1944_159230_000006_000000	For an instant I could not speak to him, and, encumbered with baby, dish, spoon, and children, he could only stare at me with a sudden brightening of the altered face that made it full of welcome before a word was uttered.	For an instant I could not speak to him, and, encumbered with baby, dish, spoon, and children, he could only stare at me with a sudden brightening of the altered face that made it full of welcome before a word was uttered.	true	251.06	267.73	20.419958
1944_159230_000007_000000	"They told me you were dead, and I only heard of you by accident, not knowing I should find my old friend alive, but not well, I'm afraid?"	"They told me you were dead, and I only heard of you by accident, not knowing I should find my old friend alive, but not well, I'm afraid?"	true	269.12	279.28	19
1944_159230_000008_000000	"There ain't much left of me but bones and pain, ma'am.	"There ain't much left of me but bones and pain, ma'am.	true	280.28	284.08	16
1944_159230_000008_000001	I'm powerful glad to see you all the same.	I'm powerful glad to see you all the same.	true	284.81	287.74	16
