7874_110243_000000_000000	Barrymore was crouching at the window with the candle held against the glass.	Barrymore was crouching at the window with the candle held against the glass.	false	0	2.22	20.005556
7874_110243_000000_000001	His profile was half turned towards me, and his face seemed to be rigid with expectation as he stared out into the blackness of the moor. For some minutes he stood watching intently.	His profile was half turned towards me, and his face seemed to be rigid with expectation as he stared out into the blackness of the moor. For some minutes he stood watching intently.	false	2.22	3.63	21.55742
7874_110243_000000_000002	Then he gave a deep groan and with an impatient gesture he put out the light.	Then he gave a deep groan and with an impatient gesture he put out the light.	false	3.63	5.97	21.999075
7874_110243_000000_000003	Instantly I made my way back to my room, and very shortly came the stealthy steps passing once more upon their return journey.	Instantly I made my way back to my room, and very shortly came the stealthy steps passing once more upon their return journey.	false	5.97	8.43	23.528566
7874_110243_000000_000004	Long afterwards when I had fallen into a light sleep I heard a key turn somewhere in a lock, but I could not tell whence the sound came.	Long afterwards when I had fallen into a light sleep I heard a key turn somewhere in a lock, but I could not tell whence the sound came.	false	8.43	10.35	22.809948
7874_110243_000000_000005	What it all means I cannot guess, but there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of.	What it all means I cannot guess, but there is some secret business going on in this house of gloom which sooner or later we shall get to the bottom of.	false	10.35	15	20.898184
7874_110243_000000_000006	I do not trouble you with my theories, for you asked me to furnish you only with facts.	I do not trouble you with my theories, for you asked me to furnish you only with facts.	false	15	15.81	13
7874_110243_000000_000007	I have had a long talk with Sir Henry this morning, and we have made a plan of campaign founded upon my observations of last night.	I have had a long talk with Sir Henry this morning, and we have made a plan of campaign founded upon my observations of last night.	false	15.81	17.1	21.22759
7874_110243_000000_000008	I will not speak about it just now, but it should make my next report interesting reading.	I will not speak about it just now, but it should make my next report interesting reading.	false	17.1	17.775	29.409939
7874_110243_000001_000000	Chapter 9.	Chapter nine.	true	17.775	18.825	25.147747
7874_110243_000001_000001	The Light upon the Moor [Second Report of Dr. Watson]	The Light upon the Moor [Second Report of dr Watson]	false	18.825	22.78	24.22906
7874_110243_000002_000000	Baskerville Hall, Oct. 15th.	Baskerville Hall, october fifteenth.	true	22.88	25.45	24.552794
7874_110243_000002_000001	MY DEAR HOLMES: If I was compelled to leave you without much news during the early days of my mission you must acknowledge that I am making up for lost time, and that events are now crowding thick and fast upon us.	MY DEAR HOLMES: If I was compelled to leave you without much news during the early days of my mission you must acknowledge that I am making up for lost time, and that events are now crowding thick and fast upon us.	true	25.46	37.24	21.484968
7874_110243_000002_000002	In my last report I ended upon my top note with Barrymore at the window, and now I have quite a budget already which will, unless I am much mistaken, considerably surprise you.	In my last report I ended upon my top note with Barrymore at the window, and now I have quite a budget already which will, unless I am much mistaken, considerably surprise you.	true	37.61	48.73	22.990028
7874_110243_000002_000003	Things have taken a turn which I could not have anticipated.	Things have taken a turn which I could not have anticipated.	true	49.22	52.48	24.700193
7874_110243_000002_000004	In some ways they have within the last forty-eight hours become much clearer and in some ways they have become more complicated.	In some ways they have within the last forty eight hours become much clearer and in some ways they have become more complicated.	true	52.88	59.32	21.983143
7874_110243_000002_000005	But I will tell you all and you shall judge for yourself.	But I will tell you all and you shall judge for yourself.	true	59.51	62.62	23.648968
7874_110243_000003_000000	Before breakfast on the morning following my adventure I went down the corridor and examined the room in which Barrymore had been on the night before.	Before breakfast on the morning following my adventure I went down the corridor and examined the room in which Barrymore had been on the night before.	true	62.66	70.27	23
7874_110243_000003_000001	The western window through which he had stared so intently has, I noticed, one peculiarity above all other windows in the house--it commands the nearest outlook on to the moor.	The western window through which he had stared so intently has, I noticed, one peculiarity above all other windows in the house-it commands the nearest outlook on to the moor.	true	70.61	80.74	20.14067
7874_110243_000003_000002	There is an opening between two trees which enables one from this point of view to look right down upon it, while from all the other windows it is only a distant glimpse which can be obtained.	There is an opening between two trees which enables one from this point of view to look right down upon it, while from all the other windows it is only a distant glimpse which can be obtained.	false	81.89	91.24	22.482433
7874_110243_000003_000003	It follows, therefore, that Barrymore, since only this window would serve the purpose, must have been looking out for something or somebody upon the moor.	It follows, therefore, that Barrymore, since only this window would serve the purpose, must have been looking out for something or somebody upon the moor.	true	92.15	100.75	23.987991
7874_110243_000003_000004	The night was very dark, so that I can hardly imagine how he could have hoped to see anyone.	The night was very dark, so that I can hardly imagine how he could have hoped to see anyone.	true	101.03	106.42	20.995577
7874_110243_000003_000005	It had struck me that it was possible that some love intrigue was on foot.	It had struck me that it was possible that some love intrigue was on foot.	true	106.76	110.83	22.946852
7874_110243_000003_000006	That would have accounted for his stealthy movements and also for the uneasiness of his wife.	That would have accounted for his stealthy movements and also for the uneasiness of his wife.	true	111.17	115.78	20.21668
