7874_110243_000001_000000	Chapter 9.	Chapter nine.
7874_110243_000002_000000	Baskerville Hall, Oct. 15th.	Baskerville Hall, october fifteenth.
7874_110243_000002_000001	MY DEAR HOLMES: If I was compelled to leave you without much news during the early days of my mission you must acknowledge that I am making up for lost time, and that events are now crowding thick and fast upon us.	MY DEAR HOLMES: If I was compelled to leave you without much news during the early days of my mission you must acknowledge that I am making up for lost time, and that events are now crowding thick and fast upon us.
7874_110243_000002_000002	In my last report I ended upon my top note with Barrymore at the window, and now I have quite a budget already which will, unless I am much mistaken, considerably surprise you.	In my last report I ended upon my top note with Barrymore at the window, and now I have quite a budget already which will, unless I am much mistaken, considerably surprise you.
7874_110243_000002_000003	Things have taken a turn which I could not have anticipated.	Things have taken a turn which I could not have anticipated.
7874_110243_000002_000004	In some ways they have within the last forty-eight hours become much clearer and in some ways they have become more complicated.	In some ways they have within the last forty eight hours become much clearer and in some ways they have become more complicated.
7874_110243_000002_000005	But I will tell you all and you shall judge for yourself.	But I will tell you all and you shall judge for yourself.
7874_110243_000003_000000	Before breakfast on the morning following my adventure I went down the corridor and examined the room in which Barrymore had been on the night before.	Before breakfast on the morning following my adventure I went down the corridor and examined the room in which Barrymore had been on the night before.
7874_110243_000003_000001	The western window through which he had stared so intently has, I noticed, one peculiarity above all other windows in the house--it commands the nearest outlook on to the moor.	The western window through which he had stared so intently has, I noticed, one peculiarity above all other windows in the house-it commands the nearest outlook on to the moor.
7874_110243_000003_000003	It follows, therefore, that Barrymore, since only this window would serve the purpose, must have been looking out for something or somebody upon the moor.	It follows, therefore, that Barrymore, since only this window would serve the purpose, must have been looking out for something or somebody upon the moor.
7874_110243_000003_000004	The night was very dark, so that I can hardly imagine how he could have hoped to see anyone.	The night was very dark, so that I can hardly imagine how he could have hoped to see anyone.
7874_110243_000003_000005	It had struck me that it was possible that some love intrigue was on foot.	It had struck me that it was possible that some love intrigue was on foot.
7874_110243_000003_000006	That would have accounted for his stealthy movements and also for the uneasiness of his wife.	That would have accounted for his stealthy movements and also for the uneasiness of his wife.
7874_110243_000003_000007	The man is a striking-looking fellow, very well equipped to steal the heart of a country girl, so that this theory seemed to have something to support it.	The man is a striking looking fellow, very well equipped to steal the heart of a country girl, so that this theory seemed to have something to support it.
7874_110243_000003_000008	That opening of the door which I had heard after I had returned to my room might mean that he had gone out to keep some clandestine appointment.	That opening of the door which I had heard after I had returned to my room might mean that he had gone out to keep some clandestine appointment.
7874_110243_000003_000009	So I reasoned with myself in the morning, and I tell you the direction of my suspicions, however much the result may have shown that they were unfounded.	So I reasoned with myself in the morning, and I tell you the direction of my suspicions, however much the result may have shown that they were unfounded.
7874_110243_000004_000000	But whatever the true explanation of Barrymore's movements might be, I felt that the responsibility of keeping them to myself until I could explain them was more than I could bear.	But whatever the true explanation of Barrymore's movements might be, I felt that the responsibility of keeping them to myself until I could explain them was more than I could bear.
7874_110243_000004_000002	He was less surprised than I had expected.	He was less surprised than I had expected.
7874_110243_000005_000000	"I knew that Barrymore walked about nights, and I had a mind to speak to him about it," said he.	"I knew that Barrymore walked about nights, and I had a mind to speak to him about it," said he.
7874_110243_000006_000000	"Perhaps then he pays a visit every night to that particular window," I suggested.	"Perhaps then he pays a visit every night to that particular window," I suggested.
7874_110243_000007_000000	"Perhaps he does.	"Perhaps he does.
7874_110243_000007_000002	I wonder what your friend Holmes would do if he were here."	I wonder what your friend Holmes would do if he were here."
7874_110243_000008_000000	"I believe that he would do exactly what you now suggest," said I. "He would follow Barrymore and see what he did."	"I believe that he would do exactly what you now suggest," said i "He would follow Barrymore and see what he did."
7874_110243_000010_000000	"But surely he would hear us."	"But surely he would hear us."
7874_110243_000011_000000	"The man is rather deaf, and in any case we must take our chance of that.	"The man is rather deaf, and in any case we must take our chance of that.
