225_131256_000002_000000	A visit to Mrs. Manson Mingott was always an amusing episode to the young man.	A visit to mrs Manson Mingott was always an amusing episode to the young man.
225_131256_000002_000001	The house in itself was already an historic document, though not, of course, as venerable as certain other old family houses in University Place and lower Fifth Avenue.	The house in itself was already an historic document, though not, of course, as venerable as certain other old family houses in University Place and lower Fifth Avenue.
225_131256_000002_000004	She seemed in no hurry to have them come, for her patience was equalled by her confidence.	She seemed in no hurry to have them come, for her patience was equalled by her confidence.
225_131256_000002_000006	Meanwhile, as every one she cared to see came to HER (and she could fill her rooms as easily as the Beauforts, and without adding a single item to the menu of her suppers), she did not suffer from her geographic isolation.	Meanwhile, as every one she cared to see came to HER (and she could fill her rooms as easily as the Beauforts, and without adding a single item to the menu of her suppers), she did not suffer from her geographic isolation.
225_131256_000003_000000	The immense accretion of flesh which had descended on her in middle life like a flood of lava on a doomed city had changed her from a plump active little woman with a neatly-turned foot and ankle into something as vast and august as a natural phenomenon.	The immense accretion of flesh which had descended on her in middle life like a flood of lava on a doomed city had changed her from a plump active little woman with a neatly turned foot and ankle into something as vast and august as a natural phenomenon.
225_131256_000003_000002	A flight of smooth double chins led down to the dizzy depths of a still-snowy bosom veiled in snowy muslins that were held in place by a miniature portrait of the late Mr. Mingott; and around and below, wave after wave of black silk surged away over the edges of a capacious armchair, with two tiny white hands poised like gulls on the surface of the billows.	A flight of smooth double chins led down to the dizzy depths of a still snowy bosom veiled in snowy muslins that were held in place by a miniature portrait of the late mr Mingott; and around and below, wave after wave of black silk surged away over the edges of a capacious armchair, with two tiny white hands poised like gulls on the surface of the billows.
225_131256_000005_000000	Her visitors were startled and fascinated by the foreignness of this arrangement, which recalled scenes in French fiction, and architectural incentives to immorality such as the simple American had never dreamed of.	Her visitors were startled and fascinated by the foreignness of this arrangement, which recalled scenes in French fiction, and architectural incentives to immorality such as the simple American had never dreamed of.
225_131256_000005_000001	That was how women with lovers lived in the wicked old societies, in apartments with all the rooms on one floor, and all the indecent propinquities that their novels described.	That was how women with lovers lived in the wicked old societies, in apartments with all the rooms on one floor, and all the indecent propinquities that their novels described.
225_131256_000006_000000	To the general relief the Countess Olenska was not present in her grandmother's drawing-room during the visit of the betrothed couple. Mrs. Mingott said she had gone out; which, on a day of such glaring sunlight, and at the "shopping hour," seemed in itself an indelicate thing for a compromised woman to do.	To the general relief the Countess Olenska was not present in her grandmother's drawing room during the visit of the betrothed couple. mrs Mingott said she had gone out; which, on a day of such glaring sunlight, and at the "shopping hour," seemed in itself an indelicate thing for a compromised woman to do.
225_131256_000006_000001	But at any rate it spared them the embarrassment of her presence, and the faint shadow that her unhappy past might seem to shed on their radiant future.	But at any rate it spared them the embarrassment of her presence, and the faint shadow that her unhappy past might seem to shed on their radiant future.
225_131256_000006_000002	The visit went off successfully, as was to have been expected.	The visit went off successfully, as was to have been expected.
