5622_41172_000002_000000	Chapter 32	Chapter thirty two
5622_41172_000003_000001	But the cold, severe glance with which he had looked at her when he came to tell her he was going had wounded her, and before he had started her peace of mind was destroyed.	But the cold, severe glance with which he had looked at her when he came to tell her he was going had wounded her, and before he had started her peace of mind was destroyed.
5622_41172_000004_000000	In solitude afterwards, thinking over that glance which had expressed his right to freedom, she came, as she always did, to the same point--the sense of her own humiliation.	In solitude afterwards, thinking over that glance which had expressed his right to freedom, she came, as she always did, to the same point-the sense of her own humiliation.
5622_41172_000004_000002	Not simply to go away, but to leave me.	Not simply to go away, but to leave me.
5622_41172_000004_000003	He has every right, and I have none.	He has every right, and I have none.
5622_41172_000004_000005	What has he done, though?...	What has he done, though?...
5622_41172_000004_000006	He looked at me with a cold, severe expression.	He looked at me with a cold, severe expression.
5622_41172_000004_000007	Of course that is something indefinable, impalpable, but it has never been so before, and that glance means a great deal," she thought.	Of course that is something indefinable, impalpable, but it has never been so before, and that glance means a great deal," she thought.
5622_41172_000004_000008	"That glance shows the beginning of indifference."	"That glance shows the beginning of indifference."
5622_41172_000005_000000	And though she felt sure that a coldness was beginning, there was nothing she could do, she could not in any way alter her relations to him.	And though she felt sure that a coldness was beginning, there was nothing she could do, she could not in any way alter her relations to him.
5622_41172_000005_000001	Just as before, only by love and by charm could she keep him.	Just as before, only by love and by charm could she keep him.
5622_41172_000005_000004	That means was divorce and marriage.	That means was divorce and marriage.
5622_41172_000005_000005	And she began to long for that, and made up her mind to agree to it the first time he or Stiva approached her on the subject.	And she began to long for that, and made up her mind to agree to it the first time he or Stiva approached her on the subject.
5622_41172_000006_000000	Absorbed in such thoughts, she passed five days without him, the five days that he was to be at the elections.	Absorbed in such thoughts, she passed five days without him, the five days that he was to be at the elections.
5622_41172_000007_000003	However hard she tried, she could not love this little child, and to feign love was beyond her powers.	However hard she tried, she could not love this little child, and to feign love was beyond her powers.
5622_41172_000007_000004	Towards the evening of that day, still alone, Anna was in such a panic about him that she decided to start for the town, but on second thoughts wrote him the contradictory letter that Vronsky received, and without reading it through, sent it off by a special messenger.	Towards the evening of that day, still alone, Anna was in such a panic about him that she decided to start for the town, but on second thoughts wrote him the contradictory letter that Vronsky received, and without reading it through, sent it off by a special messenger.
5622_41172_000007_000006	She dreaded a repetition of the severe look he had flung at her at parting, especially when he knew that the baby was not dangerously ill. But still she was glad she had written to him.	She dreaded a repetition of the severe look he had flung at her at parting, especially when he knew that the baby was not dangerously ill. But still she was glad she had written to him.
5622_41172_000007_000008	Let him weary of her, but he would be here with her, so that she would see him, would know of every action he took.	Let him weary of her, but he would be here with her, so that she would see him, would know of every action he took.
5622_41172_000008_000000	She was sitting in the drawing room near a lamp, with a new volume of Taine, and as she read, listening to the sound of the wind outside, and every minute expecting the carriage to arrive.	She was sitting in the drawing room near a lamp, with a new volume of Taine, and as she read, listening to the sound of the wind outside, and every minute expecting the carriage to arrive.
5622_41172_000008_000002	At last she heard not the sound of wheels, but the coachman's shout and the dull rumble in the covered entry.	At last she heard not the sound of wheels, but the coachman's shout and the dull rumble in the covered entry.
5622_41172_000008_000003	Even Princess Varvara, playing patience, confirmed this, and Anna, flushing hotly, got up; but instead of going down, as she had done twice before, she stood still.	Even Princess Varvara, playing patience, confirmed this, and Anna, flushing hotly, got up; but instead of going down, as she had done twice before, she stood still.
5622_41172_000008_000004	She suddenly felt ashamed of her duplicity, but even more she dreaded how he might meet her.	She suddenly felt ashamed of her duplicity, but even more she dreaded how he might meet her.
5622_41172_000008_000005	All feeling of wounded pride had passed now; she was only afraid of the expression of his displeasure.	All feeling of wounded pride had passed now; she was only afraid of the expression of his displeasure.
5622_41172_000008_000008	Then she thought of him, that he was here, all of him, with his hands, his eyes.	Then she thought of him, that he was here, all of him, with his hands, his eyes.
5622_41172_000008_000009	She heard his voice.	She heard his voice.
5622_41172_000008_000010	And forgetting everything, she ran joyfully to meet him.	And forgetting everything, she ran joyfully to meet him.
5622_41172_000009_000000	"Well, how is Annie?" he said timidly from below, looking up to Anna as she ran down to him.	"Well, how is Annie?" he said timidly from below, looking up to Anna as she ran down to him.
5622_41172_000010_000000	He was sitting on a chair, and a footman was pulling off his warm over-boot.	He was sitting on a chair, and a footman was pulling off his warm over boot.
5622_41172_000011_000000	"Oh, she is better."	"Oh, she is better."
5622_41172_000013_000000	She took his hand in both of hers, and drew it to her waist, never taking her eyes off him.	She took his hand in both of hers, and drew it to her waist, never taking her eyes off him.
5622_41172_000014_000000	"Well, I'm glad," he said, coldly scanning her, her hair, her dress, which he knew she had put on for him.	"Well, I'm glad," he said, coldly scanning her, her hair, her dress, which he knew she had put on for him.
5622_41172_000015_000000	"Well, I'm glad.	"Well, I'm glad.
5622_41172_000015_000001	And are you well?" he said, wiping his damp beard with his handkerchief and kissing her hand.	And are you well?" he said, wiping his damp beard with his handkerchief and kissing her hand.
5622_41172_000016_000000	"Never mind," she thought, "only let him be here, and so long as he's here he cannot, he dare not, cease to love me."	"Never mind," she thought, "only let him be here, and so long as he's here he cannot, he dare not, cease to love me."
5622_41172_000018_000000	"What am I to do?	"What am I to do?
5622_41172_000018_000001	I couldn't sleep....	I couldn't sleep....
5622_41172_000018_000003	When he's here I never take it--hardly ever."	When he's here I never take it-hardly ever."
5622_41172_000019_000000	He told her about the election, and Anna knew how by adroit questions to bring him to what gave him most pleasure--his own success.	He told her about the election, and Anna knew how by adroit questions to bring him to what gave him most pleasure-his own success.
5622_41172_000019_000001	She told him of everything that interested him at home; and all that she told him was of the most cheerful description.	She told him of everything that interested him at home; and all that she told him was of the most cheerful description.
5622_41172_000020_000001	She said:	She said:
5622_41172_000021_000000	"Tell me frankly, you were vexed at getting my letter, and you didn't believe me?"	"Tell me frankly, you were vexed at getting my letter, and you didn't believe me?"
5622_41172_000022_000000	As soon as she had said it, she felt that however warm his feelings were to her, he had not forgiven her for that.	As soon as she had said it, she felt that however warm his feelings were to her, he had not forgiven her for that.
5622_41172_000023_000000	"Yes," he said, "the letter was so strange.	"Yes," he said, "the letter was so strange.
5622_41172_000024_000000	"It was all the truth."	"It was all the truth."
5622_41172_000026_000000	"Yes, you do doubt it.	"Yes, you do doubt it.
5622_41172_000028_000000	"The duty of going to a concert..."	"The duty of going to a concert..."
5622_41172_000030_000000	"Why not talk about it?" she said.	"Why not talk about it?" she said.
5622_41172_000031_000002	Oh, Anna, why are you so irritable?	Oh, Anna, why are you so irritable?
5622_41172_000033_000000	"Anna, that's cruel.	"Anna, that's cruel.
5622_41172_000035_000002	Either we must separate or else live together."	Either we must separate or else live together."
5622_41172_000036_000001	But for that..."	But for that..."
5622_41172_000037_000001	I will write to him.	I will write to him.
5622_41172_000037_000003	But I will come with you to Moscow."	But I will come with you to Moscow."
5622_41172_000041_000001	It was a moment's impression, but she never forgot it.	It was a moment's impression, but she never forgot it.
