249_121331_000000_000000	CHAPTER 4.	CHAPTER four.
249_121331_000000_000001	Narcissus Off Duty	Narcissus Off Duty
249_121331_000003_000000	"No.	"no
249_121331_000003_000001	Somebody flunked out?	Somebody flunked out?
249_121331_000003_000002	Or another ship sunk?"	Or another ship sunk?"
249_121331_000004_000000	"Worse than that.	"Worse than that.
249_121331_000004_000001	About one-third of the junior class are going to resign from their clubs."	About one third of the junior class are going to resign from their clubs."
249_121331_000005_000000	"What!"	"What!"
249_121331_000006_000000	"Actual fact!"	"Actual fact!"
249_121331_000007_000000	"Why!"	"Why!"
249_121331_000009_000000	"Well, what's the idea of the thing?"	"Well, what's the idea of the thing?"
249_121331_000010_000000	"Oh, clubs injurious to Princeton democracy; cost a lot; draw social lines, take time; the regular line you get sometimes from disappointed sophomores.	"Oh, clubs injurious to Princeton democracy; cost a lot; draw social lines, take time; the regular line you get sometimes from disappointed sophomores.
249_121331_000010_000001	Woodrow thought they should be abolished and all that."	Woodrow thought they should be abolished and all that."
249_121331_000011_000000	"But this is the real thing?"	"But this is the real thing?"
249_121331_000012_000000	"Absolutely.	"Absolutely.
249_121331_000012_000001	I think it'll go through."	I think it'll go through."
249_121331_000013_000000	"For Pete's sake, tell me more about it."	"For Pete's sake, tell me more about it."
249_121331_000014_000001	I was talking to Burne awhile ago, and he claims that it's a logical result if an intelligent person thinks long enough about the social system.	I was talking to Burne awhile ago, and he claims that it's a logical result if an intelligent person thinks long enough about the social system.
249_121331_000014_000002	They had a 'discussion crowd' and the point of abolishing the clubs was brought up by some one--everybody there leaped at it--it had been in each one's mind, more or less, and it just needed a spark to bring it out."	They had a 'discussion crowd' and the point of abolishing the clubs was brought up by some one-everybody there leaped at it-it had been in each one's mind, more or less, and it just needed a spark to bring it out."
249_121331_000015_000000	"Fine!	"Fine!
249_121331_000016_000000	"Wild, of course.	"Wild, of course.
249_121331_000016_000002	It's the same at all the clubs; I've been the rounds.	It's the same at all the clubs; I've been the rounds.
249_121331_000016_000003	They get one of the radicals in the corner and fire questions at him."	They get one of the radicals in the corner and fire questions at him."
249_121331_000017_000000	"How do the radicals stand up?"	"How do the radicals stand up?"
249_121331_000018_000000	"Oh, moderately well.	"Oh, moderately well.
249_121331_000018_000001	Burne's a damn good talker, and so obviously sincere that you can't get anywhere with him.	Burne's a damn good talker, and so obviously sincere that you can't get anywhere with him.
249_121331_000018_000002	It's so evident that resigning from his club means so much more to him than preventing it does to us that I felt futile when I argued; finally took a position that was brilliantly neutral.	It's so evident that resigning from his club means so much more to him than preventing it does to us that I felt futile when I argued; finally took a position that was brilliantly neutral.
249_121331_000018_000003	In fact, I believe Burne thought for a while that he'd converted me."	In fact, I believe Burne thought for a while that he'd converted me."
249_121331_000021_000000	"Lord--who'd have thought it possible!"	"Lord-who'd have thought it possible!"
249_121331_000022_000001	"Hello, Amory--hello, Tom."	"Hello, Amory-hello, Tom."
249_121331_000025_000000	Burne turned to him quickly.	Burne turned to him quickly.
249_121331_000026_000000	"You probably know what I want to talk to Tom about, and it isn't a bit private.	"You probably know what I want to talk to Tom about, and it isn't a bit private.
249_121331_000027_000001	Broad-browed and strong-chinned, with a fineness in the honest gray eyes that were like Kerry's, Burne was a man who gave an immediate impression of bigness and security--stubborn, that was evident, but his stubbornness wore no stolidity, and when he had talked for five minutes Amory knew that this keen enthusiasm had in it no quality of dilettantism.	Broad browed and strong chinned, with a fineness in the honest gray eyes that were like Kerry's, Burne was a man who gave an immediate impression of bigness and security-stubborn, that was evident, but his stubbornness wore no stolidity, and when he had talked for five minutes Amory knew that this keen enthusiasm had in it no quality of dilettantism.
249_121331_000028_000000	The intense power Amory felt later in Burne Holiday differed from the admiration he had had for Humbird.	The intense power Amory felt later in Burne Holiday differed from the admiration he had had for Humbird.
249_121331_000028_000003	But that night Amory was struck by Burne's intense earnestness, a quality he was accustomed to associate only with the dread stupidity, and by the great enthusiasm that struck dead chords in his heart.	But that night Amory was struck by Burne's intense earnestness, a quality he was accustomed to associate only with the dread stupidity, and by the great enthusiasm that struck dead chords in his heart.
249_121331_000030_000000	Then Amory branched off and found that Burne was deep in other things as well.	Then Amory branched off and found that Burne was deep in other things as well.
249_121331_000031_000000	"How about religion?" Amory asked him.	"How about religion?" Amory asked him.
249_121331_000032_000001	I'm in a muddle about a lot of things--I've just discovered that I've a mind, and I'm starting to read."	I'm in a muddle about a lot of things-I've just discovered that I've a mind, and I'm starting to read."
249_121331_000034_000000	"Everything.	"Everything.
249_121331_000034_000001	I have to pick and choose, of course, but mostly things to make me think.	I have to pick and choose, of course, but mostly things to make me think.
249_121331_000034_000002	I'm reading the four gospels now, and the 'Varieties of Religious Experience.'"	I'm reading the four gospels now, and the 'Varieties of Religious Experience.'"
249_121331_000035_000000	"What chiefly started you?"	"What chiefly started you?"
249_121331_000036_000000	"Wells, I guess, and Tolstoi, and a man named Edward Carpenter.	"Wells, I guess, and Tolstoi, and a man named Edward Carpenter.
249_121331_000037_000000	"Poetry?"	"Poetry?"
249_121331_000039_000000	"Whitman?"	"Whitman?"
249_121331_000040_000000	"Yes; he's a definite ethical force."	"Yes; he's a definite ethical force."
249_121331_000042_000000	Tom nodded sheepishly.	Tom nodded sheepishly.
249_121331_000043_000000	"Well," continued Burne, "you may strike a few poems that are tiresome, but I mean the mass of his work.	"Well," continued Burne, "you may strike a few poems that are tiresome, but I mean the mass of his work.
249_121331_000043_000002	They both look things in the face, and, somehow, different as they are, stand for somewhat the same things."	They both look things in the face, and, somehow, different as they are, stand for somewhat the same things."
249_121331_000044_000000	"You have me stumped, Burne," Amory admitted.	"You have me stumped, Burne," Amory admitted.
249_121331_000044_000001	"I've read 'Anna Karenina' and the 'Kreutzer Sonata' of course, but Tolstoi is mostly in the original Russian as far as I'm concerned."	"I've read 'Anna Karenina' and the 'Kreutzer Sonata' of course, but Tolstoi is mostly in the original Russian as far as I'm concerned."
249_121331_000046_000001	Burne Holiday was so evidently developing--and Amory had considered that he was doing the same.	Burne Holiday was so evidently developing-and Amory had considered that he was doing the same.
249_121331_000047_000001	Being Burne was suddenly so much realler than being clever. Yet he sighed... here were other possible clay feet.	Being Burne was suddenly so much realler than being clever. Yet he sighed... here were other possible clay feet.
249_121331_000049_000001	In the course of the altercation the dean remarked that he "might as well buy the taxicab." He paid and walked off, but next morning he entered his private office to find the taxicab itself in the space usually occupied by his desk, bearing a sign which read "Property of Dean Hollister. Bought and Paid for."...	In the course of the altercation the dean remarked that he "might as well buy the taxicab." He paid and walked off, but next morning he entered his private office to find the taxicab itself in the space usually occupied by his desk, bearing a sign which read "Property of Dean Hollister. Bought and Paid for."...
249_121331_000049_000002	It took two expert mechanics half a day to dissemble it into its minutest parts and remove it, which only goes to prove the rare energy of sophomore humor under efficient leadership.	It took two expert mechanics half a day to dissemble it into its minutest parts and remove it, which only goes to prove the rare energy of sophomore humor under efficient leadership.
249_121331_000050_000001	A certain Phyllis Styles, an intercollegiate prom-trotter, had failed to get her yearly invitation to the Harvard-Princeton game.	A certain Phyllis Styles, an intercollegiate prom trotter, had failed to get her yearly invitation to the Harvard Princeton game.
249_121331_000053_000000	"If you ask me," cried Phyllis quickly.	"If you ask me," cried Phyllis quickly.
249_121331_000054_000000	"Of course I do," said Burne feebly.	"Of course I do," said Burne feebly.
249_121331_000054_000003	Aside from loathing Phyllis, he had particularly wanted to stag that game and entertain some Harvard friends.	Aside from loathing Phyllis, he had particularly wanted to stag that game and entertain some Harvard friends.
249_121331_000055_000001	"This will be the last game she ever persuades any young innocent to take her to!"	"This will be the last game she ever persuades any young innocent to take her to!"
249_121331_000059_000000	But Burne only shook his head and muttered threats which consisted largely of the phrase: "She'll see, she'll see!"	But Burne only shook his head and muttered threats which consisted largely of the phrase: "She'll see, she'll see!"
249_121331_000060_000000	The blithesome Phyllis bore her twenty-five summers gayly from the train, but on the platform a ghastly sight met her eyes.	The blithesome Phyllis bore her twenty five summers gayly from the train, but on the platform a ghastly sight met her eyes.
249_121331_000060_000001	There were Burne and Fred Sloane arrayed to the last dot like the lurid figures on college posters.	There were Burne and Fred Sloane arrayed to the last dot like the lurid figures on college posters.
249_121331_000060_000002	They had bought flaring suits with huge peg-top trousers and gigantic padded shoulders.	They had bought flaring suits with huge peg top trousers and gigantic padded shoulders.
249_121331_000060_000004	On a clanking chain they led a large, angry tom-cat, painted to represent a tiger.	On a clanking chain they led a large, angry tom cat, painted to represent a tiger.
249_121331_000061_000000	A good half of the station crowd was already staring at them, torn between horrified pity and riotous mirth, and as Phyllis, with her svelte jaw dropping, approached, the pair bent over and emitted a college cheer in loud, far-carrying voices, thoughtfully adding the name "Phyllis" to the end.	A good half of the station crowd was already staring at them, torn between horrified pity and riotous mirth, and as Phyllis, with her svelte jaw dropping, approached, the pair bent over and emitted a college cheer in loud, far carrying voices, thoughtfully adding the name "Phyllis" to the end.
249_121331_000062_000001	She tried to walk a little ahead, she tried to walk a little behind--but they stayed close, that there should be no doubt whom she was with, talking in loud voices of their friends on the football team, until she could almost hear her acquaintances whispering:	She tried to walk a little ahead, she tried to walk a little behind-but they stayed close, that there should be no doubt whom she was with, talking in loud voices of their friends on the football team, until she could almost hear her acquaintances whispering:
249_121331_000064_000000	That had been Burne, dynamically humorous, fundamentally serious.	That had been Burne, dynamically humorous, fundamentally serious.
249_121331_000065_000001	About a hundred juniors and seniors resigned from their clubs in a final fury of righteousness, and the clubs in helplessness turned upon Burne their finest weapon: ridicule.	About a hundred juniors and seniors resigned from their clubs in a final fury of righteousness, and the clubs in helplessness turned upon Burne their finest weapon: ridicule.
249_121331_000067_000000	"Of course I don't.	"Of course I don't.
249_121331_000067_000001	What's prestige, at best?"	What's prestige, at best?"
249_121331_000070_000001	I suppose I have it coming."	I suppose I have it coming."
249_121331_000072_000000	"Of course health counts--a healthy man has twice the chance of being good," he said.	"Of course health counts-a healthy man has twice the chance of being good," he said.
249_121331_000073_000000	"I don't agree with you--I don't believe in 'muscular Christianity.'"	"I don't agree with you-I don't believe in 'muscular Christianity.'"
249_121331_000074_000000	"I do--I believe Christ had great physical vigor."	"I do-I believe Christ had great physical vigor."
249_121331_000075_000000	"Oh, no," Amory protested.	"Oh, no," Amory protested.
249_121331_000075_000001	"He worked too hard for that.	"He worked too hard for that.
249_121331_000075_000002	I imagine that when he died he was a broken-down man--and the great saints haven't been strong."	I imagine that when he died he was a broken down man-and the great saints haven't been strong."
249_121331_000077_000000	"Well, even granting that, I don't think health has anything to do with goodness; of course, it's valuable to a great saint to be able to stand enormous strains, but this fad of popular preachers rising on their toes in simulated virility, bellowing that calisthenics will save the world--no, Burne, I can't go that."	"Well, even granting that, I don't think health has anything to do with goodness; of course, it's valuable to a great saint to be able to stand enormous strains, but this fad of popular preachers rising on their toes in simulated virility, bellowing that calisthenics will save the world-no, Burne, I can't go that."
