5810_8674_000002_000000	The Strong Prince	The Strong Prince
5810_8674_000003_000001	All day long he drank till he was too stupid to attend to his business, and everything in the kingdom went to rack and ruin.	All day long he drank till he was too stupid to attend to his business, and everything in the kingdom went to rack and ruin.
5810_8674_000003_000002	But one day an accident happened to him, and he was struck on the head by a falling bough, so that he fell from his horse and lay dead upon the ground.	But one day an accident happened to him, and he was struck on the head by a falling bough, so that he fell from his horse and lay dead upon the ground.
5810_8674_000004_000000	His wife and son mourned his loss bitterly, for, in spite of his faults, he had always been kind to them.	His wife and son mourned his loss bitterly, for, in spite of his faults, he had always been kind to them.
5810_8674_000005_000001	When they had finished the queen said: 'My son, I am thirsty; fetch me some water.'	When they had finished the queen said: 'My son, I am thirsty; fetch me some water.'
5810_8674_000006_000000	The prince got up at once and went to a brook which he heard gurgling near at hand.	The prince got up at once and went to a brook which he heard gurgling near at hand.
5810_8674_000006_000003	The young man drew back with a start; but in a moment he climbed the tree, cutting the rope which held the sword, and carried the weapon to his mother.	The young man drew back with a start; but in a moment he climbed the tree, cutting the rope which held the sword, and carried the weapon to his mother.
5810_8674_000008_000000	This discovery put new life into the queen and her son, and they continued their walk through the forest.	This discovery put new life into the queen and her son, and they continued their walk through the forest.
5810_8674_000008_000001	But night was drawing on, and the darkness grew so thick that it seemed as if it could be cut with a knife.	But night was drawing on, and the darkness grew so thick that it seemed as if it could be cut with a knife.
5810_8674_000008_000003	At last with a great heave he moved it out of the road, and as it fell he knew it was a huge rock.	At last with a great heave he moved it out of the road, and as it fell he knew it was a huge rock.
5810_8674_000009_000000	Hastily putting out the fire which burned brightly at the back, and bidding his mother come in and keep very still, the prince began to pace up and down, listening for the return of the robbers.	Hastily putting out the fire which burned brightly at the back, and bidding his mother come in and keep very still, the prince began to pace up and down, listening for the return of the robbers.
5810_8674_000009_000003	'This must be the place,' said a voice, which the prince took to be that of the captain.	'This must be the place,' said a voice, which the prince took to be that of the captain.
5810_8674_000009_000004	'Yes, I feel the ditch before the entrance.	'Yes, I feel the ditch before the entrance.
5810_8674_000009_000005	Someone forgot to pile up the fire before we left and it has burnt itself out!	Someone forgot to pile up the fire before we left and it has burnt itself out!
5810_8674_000009_000006	But it is all right.	But it is all right.
5810_8674_000009_000007	Let every man jump across, and as he does so cry out "Hop!	Let every man jump across, and as he does so cry out "Hop!
5810_8674_000009_000008	I am here." I will go last.	I am here." I will go last.
5810_8674_000010_000000	The man who stood nearest jumped across, but he had no time to give the call which the captain had ordered, for with one swift, silent stroke of the prince's sword, his head rolled into a corner.	The man who stood nearest jumped across, but he had no time to give the call which the captain had ordered, for with one swift, silent stroke of the prince's sword, his head rolled into a corner.
5810_8674_000010_000001	Then the young man cried instead, 'Hop!	Then the young man cried instead, 'Hop!
5810_8674_000010_000002	I am here.'	I am here.'
5810_8674_000012_000001	Being very cunning, however, he made no resistance, and rolled over as if he were as dead as the other men.	Being very cunning, however, he made no resistance, and rolled over as if he were as dead as the other men.
5810_8674_000012_000002	Still, the prince was no fool, and wondered if indeed he was as dead as he seemed to be; but the captain lay so stiff and stark, that at last he was taken in.	Still, the prince was no fool, and wondered if indeed he was as dead as he seemed to be; but the captain lay so stiff and stark, that at last he was taken in.
5810_8674_000014_000001	The prince went round all these and carefully locked them up, bidding his mother take care of the keys while he was hunting.	The prince went round all these and carefully locked them up, bidding his mother take care of the keys while he was hunting.
5810_8674_000015_000001	So the moment that her son had turned his back, she opened the doors of all the rooms, and peeped in, till she came to the one where the robbers lay.	So the moment that her son had turned his back, she opened the doors of all the rooms, and peeped in, till she came to the one where the robbers lay.
5810_8674_000015_000002	But if the sight of the blood on the ground turned her faint, the sight of the robber captain walking up and down was a greater shock still.	But if the sight of the blood on the ground turned her faint, the sight of the robber captain walking up and down was a greater shock still.
5810_8674_000015_000003	She quickly turned the key in the lock, and ran back to the chamber she had slept in.	She quickly turned the key in the lock, and ran back to the chamber she had slept in.
5810_8674_000016_000000	Soon after her son came in, bringing with him a large bear, which he had killed for supper.	Soon after her son came in, bringing with him a large bear, which he had killed for supper.
5810_8674_000016_000001	As there was enough food to last them for many days, the prince did not hunt the next morning, but, instead, began to explore the castle.	As there was enough food to last them for many days, the prince did not hunt the next morning, but, instead, began to explore the castle.
5810_8674_000016_000002	He found that a secret way led from it into the forest; and following the path, he reached another castle larger and more splendid than the one belonging to the robbers.	He found that a secret way led from it into the forest; and following the path, he reached another castle larger and more splendid than the one belonging to the robbers.
5810_8674_000016_000003	He knocked at the door with his fist, and said that he wanted to enter; but the giant, to whom the castle belonged, only answered: 'I know who you are.	He knocked at the door with his fist, and said that he wanted to enter; but the giant, to whom the castle belonged, only answered: 'I know who you are.
5810_8674_000017_000000	'I am no robber,' answered the prince.	'I am no robber,' answered the prince.
5810_8674_000017_000001	'I am the son of a king, and I have killed all the band.	'I am the son of a king, and I have killed all the band.
5810_8674_000018_000000	He waited a little, but the door remained shut as tightly as before. Then he just put his shoulder to it, and immediately the wood began to crack.	He waited a little, but the door remained shut as tightly as before. Then he just put his shoulder to it, and immediately the wood began to crack.
5810_8674_000018_000001	When the giant found that it was no use keeping it shut, he opened it, saying: 'I see you are a brave youth.	When the giant found that it was no use keeping it shut, he opened it, saying: 'I see you are a brave youth.
5810_8674_000018_000002	Let there be peace between us.'	Let there be peace between us.'
5810_8674_000020_000000	Now the queen led a dull life all alone in the castle, and to amuse herself she paid visits to the robber captain, who flattered her till at last she agreed to marry him.	Now the queen led a dull life all alone in the castle, and to amuse herself she paid visits to the robber captain, who flattered her till at last she agreed to marry him.
5810_8674_000021_000003	The robber, indeed, granted him his life, but took out both his eyes, which he thrust into the prince's hand, saying brutally:	The robber, indeed, granted him his life, but took out both his eyes, which he thrust into the prince's hand, saying brutally:
5810_8674_000022_000000	'Here, you had better keep them!	'Here, you had better keep them!
5810_8674_000023_000000	Weeping, the blind youth felt his way to the giant's house, and told him all the story.	Weeping, the blind youth felt his way to the giant's house, and told him all the story.
5810_8674_000024_000001	The prince drew them out of his pocket, and silently handed them to the giant, who washed them well, and then put them back in the prince's head.	The prince drew them out of his pocket, and silently handed them to the giant, who washed them well, and then put them back in the prince's head.
5810_8674_000027_000000	'Tell the fox and the squirrel that they are to go with you, and fetch me back the prince's sword,' ordered he.	'Tell the fox and the squirrel that they are to go with you, and fetch me back the prince's sword,' ordered he.
5810_8674_000028_000001	Directly they came to the window of the robber captain's room, the monkey sprang from the backs of the fox and the squirrel, and climbed in.	Directly they came to the window of the robber captain's room, the monkey sprang from the backs of the fox and the squirrel, and climbed in.
5810_8674_000028_000002	The room was empty, and the sword hanging from a nail.	The room was empty, and the sword hanging from a nail.
5810_8674_000028_000003	He took it down, and buckling it round his waist, as he had seen the prince do, swung himself down again, and mounting on the backs of his two companions, hastened to his master.	He took it down, and buckling it round his waist, as he had seen the prince do, swung himself down again, and mounting on the backs of his two companions, hastened to his master.
5810_8674_000028_000004	The giant bade him give the sword to the prince, who girded himself with it, and returned with all speed to the castle.	The giant bade him give the sword to the prince, who girded himself with it, and returned with all speed to the castle.
5810_8674_000029_000000	'Come out, you rascal! come out, you villain!' cried he, 'and answer to me for the wrong you have done.	'Come out, you rascal! come out, you villain!' cried he, 'and answer to me for the wrong you have done.
5810_8674_000030_000000	The noise he made brought the robber into the room.	The noise he made brought the robber into the room.
5810_8674_000030_000002	In his turn he fell on his knees to beg for mercy, but it was too late.	In his turn he fell on his knees to beg for mercy, but it was too late.
5810_8674_000030_000003	As he had done to the prince, so the prince did to him, and, blinded, he was thrust forth, and fell down a deep hole, where he is to this day.	As he had done to the prince, so the prince did to him, and, blinded, he was thrust forth, and fell down a deep hole, where he is to this day.
5810_8674_000030_000004	His mother the prince sent back to her father, and never would see her again.	His mother the prince sent back to her father, and never would see her again.
5810_8674_000030_000005	After this he returned to the giant, and said to him:	After this he returned to the giant, and said to him:
5810_8674_000031_000000	'My friend, add one more kindness to those you have already heaped on me.	'My friend, add one more kindness to those you have already heaped on me.
5810_8674_000031_000001	Give me your daughter as my wife.'	Give me your daughter as my wife.'
5810_8674_000032_000000	So they were married, and the wedding feast was so splendid that there was not a kingdom in the world that did not hear of it.	So they were married, and the wedding feast was so splendid that there was not a kingdom in the world that did not hear of it.
