188_141613_000000_000000	What she said she never could remember afterwards; but what the boy said, she never forgot.	What she said she never could remember afterwards; but what the boy said, she never forgot.	false	0	7.77	25.476587
188_141613_000000_000001	After all, it was compassed in six short words.	After all, it was compassed in six short words.	false	7.77	10.77	22.71344
188_141613_000001_000000	For what seemed a long, long minute his eyes had searched her face; then to his own had come a transfiguring light, as he breathed:	For what seemed a long, long minute his eyes had searched her face; then to his own had come a transfiguring light, as he breathed:	false	10.77	19.23	24.742693
188_141613_000002_000000	"Oh, yes!	"Oh, yes!	false	19.23	20.04	31.021917
188_141613_000002_000001	Why, you--CARE, now!"	Why, you-CARE, now!"	false	20.04	21.66	24.392918
188_141613_000003_000000	CHAPTER XIV	CHAPTER fourteen	true	21.66	23.11	25.626951
188_141613_000004_000000	JIMMY AND THE GREEN-EYED MONSTER	JIMMY AND THE GREEN EYED MONSTER	true	23.15	25.51	22.99642
188_141613_000005_000000	This time Beldingsville did not literally welcome Pollyanna home with brass bands and bunting--perhaps because the hour of her expected arrival was known to but few of the townspeople.	This time Beldingsville did not literally welcome Pollyanna home with brass bands and bunting-perhaps because the hour of her expected arrival was known to but few of the townspeople.	true	27.47	39.07	23.088547
188_141613_000005_000001	But there certainly was no lack of joyful greetings on the part of everybody from the moment she stepped from the railway train with her Aunt Polly and Dr. Chilton.	But there certainly was no lack of joyful greetings on the part of everybody from the moment she stepped from the railway train with her Aunt Polly and dr Chilton.	true	40.22	49	23.06198
188_141613_000005_000002	Nor did Pollyanna lose any time in starting on a round of fly-away minute calls on all her old friends.	Nor did Pollyanna lose any time in starting on a round of fly away minute calls on all her old friends.	true	50.21	57.79	21.489002
188_141613_000005_000003	Indeed, for the next few days, according to Nancy, "There wasn't no putting of your finger on her anywheres, for by the time you'd got your finger down she wa'n't there."	Indeed, for the next few days, according to Nancy, "There wasn't no putting of your finger on her anywheres, for by the time you'd got your finger down she wa'n't there."	true	59.03	70.09	21.753073
188_141613_000006_000000	And always, everywhere she went, Pollyanna met the question: "Well, how did you like Boston?" Perhaps to no one did she answer this more fully than she did to Mr. Pendleton.	And always, everywhere she went, Pollyanna met the question: "Well, how did you like Boston?" Perhaps to no one did she answer this more fully than she did to mr Pendleton.	true	71.54	84.31	22.468666
188_141613_000006_000001	As was usually the case when this question was put to her, she began her reply with a troubled frown.	As was usually the case when this question was put to her, she began her reply with a troubled frown.	true	84.5	91.54	20.531523
188_141613_000007_000000	"Oh, I liked it--I just loved it--some of it."	"Oh, I liked it-I just loved it-some of it."	true	92.3	96.61	25.734938
188_141613_000008_000000	"But not all of it?" smiled Mr. Pendleton.	"But not all of it?" smiled mr Pendleton.	true	97.49	100.02	26
188_141613_000009_000000	"No.	"no	false	100.02	102.69	16.08518
188_141613_000009_000001	There's parts of it--Oh, I was glad to be there," she explained hastily.	There's parts of it-Oh, I was glad to be there," she explained hastily.	true	102.69	107.56	25.36861
188_141613_000009_000002	"I had a perfectly lovely time, and lots of things were so queer and different, you know--like eating dinner at night instead of noons, when you ought to eat it.	"I had a perfectly lovely time, and lots of things were so queer and different, you know-like eating dinner at night instead of noons, when you ought to eat it.	true	107.81	118.36	22.854046
188_141613_000009_000003	But everybody was so good to me, and I saw such a lot of wonderful things--Bunker Hill, and the Public Garden, and the Seeing Boston autos, and miles of pictures and statues and store-windows and streets that didn't have any end.	But everybody was so good to me, and I saw such a lot of wonderful things-Bunker Hill, and the Public Garden, and the Seeing Boston autos, and miles of pictures and statues and store windows and streets that didn't have any end.	true	118.97	135.94	22.322119
188_141613_000009_000004	And folks.	And folks.	true	137.09	138.28	26.15183
188_141613_000009_000005	I never saw such a lot of folks."	I never saw such a lot of folks."	true	138.44	140.68	19.943468
188_141613_000010_000000	"Well, I'm sure--I thought you liked folks," commented the man.	"Well, I'm sure-I thought you liked folks," commented the man.	true	141.65	145.81	25.863445
188_141613_000011_000000	"I do." Pollyanna frowned again and pondered.	"I do." Pollyanna frowned again and pondered.	true	147.35	151.3	25.888323
188_141613_000011_000001	"But what's the use of such a lot of them if you don't know 'em?	"But what's the use of such a lot of them if you don't know 'em?	true	152.06	155.47	19.678053
188_141613_000011_000002	And Mrs. Carew wouldn't let me.	And mrs Carew wouldn't let me.	true	155.87	157.93	21.841686
188_141613_000011_000003	She didn't know 'em herself.	She didn't know 'em herself.	true	158.18	160.03	21.830364
188_141613_000011_000004	She said folks didn't, down there."	She said folks didn't, down there."	true	160.22	162.76	25.383022
188_141613_000012_000000	There was a slight pause, then, with a sigh, Pollyanna resumed.	There was a slight pause, then, with a sigh, Pollyanna resumed.	true	164.06	168.22	23.116304
188_141613_000013_000000	"I reckon maybe that's the part I don't like the most--that folks don't know each other.	"I reckon maybe that's the part one don't like the most-that folks don't know each other.	false	169.79	175.72	26.139997
188_141613_000013_000001	It would be such a lot nicer if they did!	It would be such a lot nicer if they did!	true	176.36	179.05	22.479874
188_141613_000013_000002	Why, just think, Mr. Pendleton, there are lots of folks that live on dirty, narrow streets, and don't even have beans and fish balls to eat, nor things even as good as missionary barrels to wear.	Why, just think, mr Pendleton, there are lots of folks that live on dirty, narrow streets, and don't even have beans and fish balls to eat, nor things even as good as missionary barrels to wear.	true	179.57	191.83	24.642376
188_141613_000013_000003	Then there are other folks--Mrs.	Then there are other folks-mrs	true	192.8	195.63	23.402239
188_141613_000013_000004	Carew, and a whole lot like her--that live in perfectly beautiful houses, and have more things to eat and wear than they know what to do with.	Carew, and a whole lot like her-that live in perfectly beautiful houses, and have more things to eat and wear than they know what to do with.	true	195.63	203.89	27.549047
188_141613_000013_000005	Now if THOSE folks only knew the other folks--" But Mr. Pendleton interrupted with a laugh.	Now if THOSE folks only knew the other folks-" But mr Pendleton interrupted with a laugh.	true	204.83	212.32	23.342783
188_141613_000014_000000	"My dear child, did it ever occur to you that these people don't CARE to know each other?" he asked quizzically.	"My dear child, did it ever occur to you that these people don't CARE to know each other?" he asked quizzically.	true	212.63	220.27	25.764317
188_141613_000015_000000	"Oh, but some of them do," maintained Pollyanna, in eager defense. "Now there's Sadie Dean--she sells bows, lovely bows in a big store--she WANTS to know people; and I introduced her to Mrs. Carew, and we had her up to the house, and we had Jamie and lots of others there, too; and she was SO glad to know them!	"Oh, but some of them do," maintained Pollyanna, in eager defense. "Now there's Sadie Dean-she sells bows, lovely bows in a big store-she WANTS to know people; and I introduced her to mrs Carew, and we had her up to the house, and we had Jamie and lots of others there, too; and she was SO glad to know them!	true	221.54	244.42	21.410866
188_141613_000015_000001	And that's what made me think that if only a lot of Mrs. Carew's kind could know the other kind--but of course _I_ couldn't do the introducing.	And that's what made me think that if only a lot of mrs Carew's kind could know the other kind-but of course underscore I underscore couldn't do the introducing.	false	245.24	254.53	26.57277
188_141613_000015_000002	I didn't know many of them myself, anyway.	I didn't know many of them myself, anyway.	true	254.93	257.41	19.387299
188_141613_000015_000003	But if they COULD know each other, so that the rich people could give the poor people part of their money--"	But if they COULD know each other, so that the rich people could give the poor people part of their money-"	true	258.23	265.68	25.501013
188_141613_000016_000000	But again Mr. Pendleton interrupted with a laugh.	But again mr Pendleton interrupted with a laugh.	true	265.68	269.29	24.192081
188_141613_000017_000000	"Oh, Pollyanna, Pollyanna," he chuckled; "I'm afraid you're getting into pretty deep water.	"Oh, Pollyanna, Pollyanna," he chuckled; "I'm afraid you're getting into pretty deep water.	true	270.05	276.01	21.35898
188_141613_000017_000001	You'll be a rabid little socialist before you know it."	You'll be a rabid little socialist before you know it."	true	276.35	279.73	18.867792
188_141613_000018_000000	"A--what?" questioned the little girl, dubiously.	"A-what?" questioned the little girl, dubiously.	true	281.69	284.83	25.781841
188_141613_000018_000001	"I--I don't think I know what a socialist is.	"I-I don't think I know what a socialist is.	true	285.41	288.94	23.777391
188_141613_000018_000002	But I know what being SOCIABLE is--and I like folks that are that.	But I know what being SOCIABLE is-and I like folks that are that.	false	289.28	294.24	23.239862
188_141613_000018_000003	If it's anything like that, I don't mind being one, a mite.	If it's anything like that, I don't mind being one, a mite.	true	294.24	297.72	27.049757
188_141613_000018_000004	I'd like to be one."	I'd like to be one."	true	297.72	299.17	27.785769
188_141613_000019_000000	"I don't doubt it, Pollyanna," smiled the man.	"I don't doubt it, Pollyanna," smiled the man.	true	300.23	302.89	23
188_141613_000019_000001	"But when it comes to this scheme of yours for the wholesale distribution of wealth--you've got a problem on your hands that you might have difficulty with."	"But when it comes to this scheme of yours for the wholesale distribution of wealth-you've got a problem on your hands that you might have difficulty with."	true	303.41	312.25	22.907795
188_141613_000020_000000	Pollyanna drew a long sigh.	Pollyanna drew a long sigh.	true	313.82	316.36	19.249243
188_141613_000021_000000	"I know," she nodded.	"I know," she nodded.	true	317.54	320.62	16.927448
188_141613_000021_000001	"That's the way Mrs. Carew talked.	"That's the way mrs Carew talked.	true	321.02	323.29	23.288773
188_141613_000021_000002	She says I don't understand; that 'twould--er--pauperize her and be indiscriminate and pernicious, and--Well, it was SOMETHING like that, anyway," bridled the little girl, aggrievedly, as the man began to laugh.	She says I don't understand; that 'twould-er-pauperize her and be indiscriminate and pernicious, and-Well, it was SOMETHING like that, anyway," bridled the little girl, aggrievedly, as the man began to laugh.	true	323.66	340.3	23.18497
188_141613_000021_000003	"And, anyway, I DON'T understand why some folks should have such a lot, and other folks shouldn't have anything; and I DON'T like it.	"And, anyway, I DON'T understand why some folks should have such a lot, and other folks shouldn't have anything; and I DON'T like it.	true	340.85	352.21	23.783249
188_141613_000021_000004	And if I ever have a lot I shall just give some of it to folks who don't have any, even if it does make me pauperized and pernicious, and--" But Mr. Pendleton was laughing so hard now that Pollyanna, after a moment's struggle, surrendered and laughed with him.	And if I ever have a lot I shall just give some of it to folks who don't have any, even if it does make me pauperized and pernicious, and-" But mr Pendleton was laughing so hard now that Pollyanna, after a moment's struggle, surrendered and laughed with him.	true	352.76	370.27	22.338505
188_141613_000022_000000	"Well, anyway," she reiterated, when she had caught her breath, "I don't understand it, all the same."	"Well, anyway," she reiterated, when she had caught her breath, "I don't understand it, all the same."	true	371.48	377.98	23.46045
188_141613_000023_000000	"No, dear, I'm afraid you don't," agreed the man, growing suddenly very grave and tender-eyed; "nor any of the rest of us, for that matter.	"No, dear, I'm afraid you don't," agreed the man, growing suddenly very grave and tender eyed; "nor any of the rest of us, for that matter.	true	379.13	387.76	22.284828
188_141613_000023_000001	But, tell me," he added, after a minute, "who is this Jamie you've been talking so much about since you came?"	But, tell me," he added, after a minute, "who is this Jamie you've been talking so much about since you came?"	true	388.1	393.91	24.164993
