948_132710_000000_000000	PART TWELVE	PART TWELVE	false	18.42	19.54	19.40764
948_132710_000001_000000	It was when I read the first of the books I found in my house that I saw the word "I." And when I understood this word, the book fell from my hands, and I wept, I who had never known tears.	It was when I read the first of the books I found in my house that I saw the word "I." And when I understood this word, the book fell from my hands, and I wept, I who had never known tears.	true	21.53	36.46	19.833876
948_132710_000001_000001	I wept in deliverance and in pity for all mankind.	I wept in deliverance and in pity for all mankind.	true	36.89	41.59	24.961468
948_132710_000002_000000	I understood the blessed thing which I had called my curse.	I understood the blessed thing which I had called my curse.	true	42.71	46.69	17
948_132710_000002_000001	I understood why the best in me had been my sins and my transgressions; and why I had never felt guilt in my sins.	I understood why the best in me had been my sins and my transgressions; and why I had never felt guilt in my sins.	true	46.91	57.1	21.941656
948_132710_000002_000002	I understood that centuries of chains and lashes will not kill the spirit of man nor the sense of truth within him.	I understood that centuries of chains and lashes will not kill the spirit of man nor the sense of truth within him.	true	57.44	67.09	20.259672
948_132710_000003_000000	I read many books for many days.	I read many books for many days.	true	67.64	70.06	19.326256
948_132710_000003_000001	Then I called the Golden One, and I told her what I had read and what I had learned.	Then I called the Golden One, and I told her what I had read and what I had learned.	true	70.4	76.03	22.395607
948_132710_000003_000002	She looked at me and the first words she spoke were:	She looked at me and the first words she spoke were:	true	76.43	80.14	22.01906
948_132710_000004_000000	"I love you."	"I love you."	true	80.93	82.06	20.183266
948_132710_000005_000000	Then I said:	Then I said:	true	83.21	84.43	19.778812
948_132710_000006_000000	"My dearest one, it is not proper for men to be without names.	"My dearest one, it is not proper for men to be without names.	true	84.8	89.83	21.779875
948_132710_000006_000001	There was a time when each man had a name of his own to distinguish him from all other men.	There was a time when each man had a name of his own to distinguish him from all other men.	true	90.23	95.8	20
948_132710_000006_000002	So let us choose our names.	So let us choose our names.	true	96.29	98.38	19.23663
948_132710_000006_000003	I have read of a man who lived many thousands of years ago, and of all the names in these books, his is the one I wish to bear.	I have read of a man who lived many thousands of years ago, and of all the names in these books, his is the one I wish to bear.	true	98.69	108.22	19.04356
948_132710_000006_000004	He took the light of the gods and he brought it to men, and he taught men to be gods.	He took the light of the gods and he brought it to men, and he taught men to be gods.	false	109.22	114.1	22.78485
948_132710_000006_000005	And he suffered for his deed as all bearers of light must suffer.	And he suffered for his deed as all bearers of light must suffer.	true	114.47	119.02	21.098558
948_132710_000006_000006	His name was Prometheus."	His name was Prometheus."	true	119.51	121.45	19.085716
948_132710_000007_000000	"It shall be your name," said the Golden One.	"It shall be your name," said the Golden One.	true	122.75	127.15	17.181652
948_132710_000008_000000	"And I have read of a goddess," I said, "who was the mother of the earth and of all the gods.	"And I have read of a goddess," I said, "who was the mother of the earth and of all the gods.	true	127.52	132.82	19.095749
948_132710_000008_000001	Her name was Gaea.	Her name was Gaea.	true	133.07	134.53	24.57205
948_132710_000008_000002	Let this be your name, my Golden One, for you are to be the mother of a new kind of gods."	Let this be your name, my Golden One, for you are to be the mother of a new kind of gods."	true	135.08	141.04	21.554703
948_132710_000009_000000	"It shall be my name," said the Golden One.	"It shall be my name," said the Golden One.	true	142.01	144.46	16
948_132710_000010_000000	Now I look ahead.	Now I look ahead.	true	145.49	146.89	27.811842
948_132710_000010_000001	My future is clear before me.	My future is clear before me.	true	147.08	149.11	18.983421
948_132710_000010_000002	The Saint of the pyre had seen the future when he chose me as his heir, as the heir of all the saints and all the martyrs who came before him and who died for the same cause, for the same word, no matter what name they gave to their cause and their truth.	The Saint of the pyre had seen the future when he chose me as his heir, as the heir of all the saints and all the martyrs who came before him and who died for the same cause, for the same word, no matter what name they gave to their cause and their truth.	true	149.42	168.94	19.443169
948_132710_000011_000000	I shall live here, in my own house.	I shall live here, in my own house.	true	169.64	172.36	16.499104
948_132710_000011_000001	I shall take my food from the earth by the toil of my own hands.	I shall take my food from the earth by the toil of my own hands.	true	172.46	176.95	19.618912
