166_352_000000_000000	Chapter 5	Chapter five	true	34.05	35.56	25.185543
166_352_000001_000000	It was on a dreary night of November that I beheld the accomplishment of my toils.	It was on a dreary night of November that I beheld the accomplishment of my toils.	true	36.8	41.65	14
166_352_000001_000001	With an anxiety that almost amounted to agony, I collected the instruments of life around me, that I might infuse a spark of being into the lifeless thing that lay at my feet.	With an anxiety that almost amounted to agony, I collected the instruments of life around me, that I might infuse a spark of being into the lifeless thing that lay at my feet.	true	42.53	53.11	14
166_352_000001_000002	It was already one in the morning; the rain pattered dismally against the panes, and my candle was nearly burnt out, when, by the glimmer of the half-extinguished light, I saw the dull yellow eye of the creature open; it breathed hard, and a convulsive motion agitated its limbs.	It was already one in the morning; the rain pattered dismally against the panes, and my candle was nearly burnt out, when, by the glimmer of the half extinguished light, I saw the dull yellow eye of the creature open; it breathed hard, and a convulsive motion agitated its limbs.	true	54.2	74.41	19.403278
166_352_000002_000000	How can I describe my emotions at this catastrophe, or how delineate the wretch whom with such infinite pains and care I had endeavoured to form?	How can I describe my emotions at this catastrophe, or how delineate the wretch whom with such infinite pains and care I had endeavoured to form?	true	75.95	85.33	20
166_352_000002_000001	His limbs were in proportion, and I had selected his features as beautiful.	His limbs were in proportion, and I had selected his features as beautiful.	true	86.06	91.69	20.982996
166_352_000002_000002	Beautiful!	Beautiful!	true	92.78	93.57	15.703867
166_352_000002_000003	Great God!	Great God!	true	93.57	94.96	22.83475
166_352_000002_000004	His yellow skin scarcely covered the work of muscles and arteries beneath; his hair was of a lustrous black, and flowing; his teeth of a pearly whiteness; but these luxuriances only formed a more horrid contrast with his watery eyes, that seemed almost of the same colour as the dun-white sockets in which they were set, his shrivelled complexion and straight black lips.	His yellow skin scarcely covered the work of muscles and arteries beneath; his hair was of a lustrous black, and flowing; his teeth of a pearly whiteness; but these luxuriances only formed a more horrid contrast with his watery eyes, that seemed almost of the same colour as the dun white sockets in which they were set, his shrivelled complexion and straight black lips.	false	95.18	121.54	21.288008
166_352_000003_000000	The different accidents of life are not so changeable as the feelings of human nature.	The different accidents of life are not so changeable as the feelings of human nature.	true	123.08	127.87	16
166_352_000003_000001	I had worked hard for nearly two years, for the sole purpose of infusing life into an inanimate body.	I had worked hard for nearly two years, for the sole purpose of infusing life into an inanimate body.	true	128.93	136.24	20
166_352_000003_000002	For this I had deprived myself of rest and health.	For this I had deprived myself of rest and health.	true	137.36	141.37	19.98321
166_352_000003_000003	I had desired it with an ardour that far exceeded moderation; but now that I had finished, the beauty of the dream vanished, and breathless horror and disgust filled my heart.	I had desired it with an ardour that far exceeded moderation; but now that I had finished, the beauty of the dream vanished, and breathless horror and disgust filled my heart.	true	142.31	155.26	19.229506
166_352_000003_000004	Unable to endure the aspect of the being I had created, I rushed out of the room and continued a long time traversing my bed-chamber, unable to compose my mind to sleep.	Unable to endure the aspect of the being I had created, I rushed out of the room and continued a long time traversing my bed chamber, unable to compose my mind to sleep.	true	156.5	168.46	20.938343
166_352_000003_000005	At length lassitude succeeded to the tumult I had before endured, and I threw myself on the bed in my clothes, endeavouring to seek a few moments of forgetfulness. But it was in vain; I slept, indeed, but I was disturbed by the wildest dreams.	At length lassitude succeeded to the tumult I had before endured, and I threw myself on the bed in my clothes, endeavouring to seek a few moments of forgetfulness. But it was in vain; I slept, indeed, but I was disturbed by the wildest dreams.	true	170.21	190.48	21.624594
166_352_000003_000006	I thought I saw Elizabeth, in the bloom of health, walking in the streets of Ingolstadt.	I thought I saw Elizabeth, in the bloom of health, walking in the streets of Ingolstadt.	true	191.03	196.48	22.098698
166_352_000003_000007	Delighted and surprised, I embraced her, but as I imprinted the first kiss on her lips, they became livid with the hue of death; her features appeared to change, and I thought that I held the corpse of my dead mother in my arms; a shroud enveloped her form, and I saw the grave-worms crawling in the folds of the flannel. I started from my sleep with horror; a cold dew covered my forehead, my teeth chattered, and every limb became convulsed; when, by the dim and yellow light of the moon, as it forced its way through the window shutters, I beheld the wretch--the miserable monster whom I had created.	Delighted and surprised, I embraced her, but as I imprinted the first kiss on her lips, they became livid with the hue of death; her features appeared to change, and I thought that I held the corpse of my dead mother in my arms; a shroud enveloped her form, and I saw the grave worms crawling in the folds of the flannel. I started from my sleep with horror; a cold dew covered my forehead, my teeth chattered, and every limb became convulsed; when, by the dim and yellow light of the moon, as it forced its way through the window shutters, I beheld the wretch-the miserable monster whom I had created.	true	197.9	243.22	19.498737
166_352_000003_000008	He held up the curtain of the bed; and his eyes, if eyes they may be called, were fixed on me.	He held up the curtain of the bed; and his eyes, if eyes they may be called, were fixed on me.	true	244.52	252.07	20.946589
166_352_000003_000009	His jaws opened, and he muttered some inarticulate sounds, while a grin wrinkled his cheeks.	His jaws opened, and he muttered some inarticulate sounds, while a grin wrinkled his cheeks.	true	253.25	260.68	21.602821
166_352_000003_000010	He might have spoken, but I did not hear; one hand was stretched out, seemingly to detain me, but I escaped and rushed downstairs.	He might have spoken, but I did not hear; one hand was stretched out, seemingly to detain me, but I escaped and rushed downstairs.	true	262.01	272.77	21.741957
166_352_000003_000011	I took refuge in the courtyard belonging to the house which I inhabited, where I remained during the rest of the night, walking up and down in the greatest agitation, listening attentively, catching and fearing each sound as if it were to announce the approach of the demoniacal corpse to which I had so miserably given life.	I took refuge in the courtyard belonging to the house which I inhabited, where I remained during the rest of the night, walking up and down in the greatest agitation, listening attentively, catching and fearing each sound as if it were to announce the approach of the demoniacal corpse to which I had so miserably given life.	true	274.61	295.33	21.155682
166_352_000004_000000	Oh!	Oh!	true	296.57	297	100
166_352_000004_000001	No mortal could support the horror of that countenance.	No mortal could support the horror of that countenance.	true	297	300.46	19
166_352_000004_000002	A mummy again endued with animation could not be so hideous as that wretch.	A mummy again endued with animation could not be so hideous as that wretch.	true	300.89	305.65	16
166_352_000004_000003	I had gazed on him while unfinished; he was ugly then, but when those muscles and joints were rendered capable of motion, it became a thing such as even Dante could not have conceived.	I had gazed on him while unfinished; he was ugly then, but when those muscles and joints were rendered capable of motion, it became a thing such as even Dante could not have conceived.	true	306.77	320.23	18.231905
166_352_000005_000000	I passed the night wretchedly.	I passed the night wretchedly.	true	322.43	324.43	24.0776
166_352_000005_000001	Sometimes my pulse beat so quickly and hardly that I felt the palpitation of every artery; at others, I nearly sank to the ground through languor and extreme weakness.	Sometimes my pulse beat so quickly and hardly that I felt the palpitation of every artery; at others, I nearly sank to the ground through languor and extreme weakness.	true	325.64	337.75	20.989124
166_352_000005_000002	Mingled with this horror, I felt the bitterness of disappointment; dreams that had been my food and pleasant rest for so long a space were now become a hell to me; and the change was so rapid, the overthrow so complete!	Mingled with this horror, I felt the bitterness of disappointment; dreams that had been my food and pleasant rest for so long a space were now become a hell to me; and the change was so rapid, the overthrow so complete!	true	339.23	356.08	21.49704
166_352_000006_000000	Morning, dismal and wet, at length dawned and discovered to my sleepless and aching eyes the church of Ingolstadt, its white steeple and clock, which indicated the sixth hour.	Morning, dismal and wet, at length dawned and discovered to my sleepless and aching eyes the church of Ingolstadt, its white steeple and clock, which indicated the sixth hour.	true	356.54	368.17	23.739582
166_352_000006_000001	The porter opened the gates of the court, which had that night been my asylum, and I issued into the streets, pacing them with quick steps, as if I sought to avoid the wretch whom I feared every turning of the street would present to my view.	The porter opened the gates of the court, which had that night been my asylum, and I issued into the streets, pacing them with quick steps, as if I sought to avoid the wretch whom I feared every turning of the street would present to my view.	false	369.38	384.01	20.707918
