4116_13256_000000_000000	Virginia was angry.	Virginia was angry.	false	0	0.81	22.561434
4116_13256_000000_000001	At first thought she said to herself she would never go under such circumstances.	At first thought she said to herself she would never go under such circumstances.	false	0.81	4.71	25.343628
4116_13256_000000_000002	The other girls seemed to be of the same mind with the speaker.	The other girls seemed to be of the same mind with the speaker.	false	4.71	7.86	23.47834
4116_13256_000000_000003	They chimed in with earnestness and asked Virginia to take them down there.	They chimed in with earnestness and asked Virginia to take them down there.	false	7.86	10.41	17.357008
4116_13256_000001_000000	Suddenly she saw in the idle curiosity of the girls an opportunity. They had never seen the sin and misery of Raymond.	Suddenly she saw in the idle curiosity of the girls an opportunity. They had never seen the sin and misery of Raymond.	false	10.41	16.02	23.370134
4116_13256_000001_000001	Why should they not see it, even if their motive in going down there was simply to pass away an afternoon.	Why should they not see it, even if their motive in going down there was simply to pass away an afternoon.	false	16.02	18.78	20
4116_13256_000002_000000	Chapter Twelve	Chapter Twelve	false	18.78	19.32	-20
4116_13256_000003_000000	"For I come to set a man at variance against his father, and the daughter against her mother, and the daughter-in-law against her mother-in-law; and a man's foes shall be they of his own household."	"For I come to set a man at variance against his father, and the daughter against her mother, and the daughter in law against her mother in law; and a man's foes shall be they of his own household."	false	19.32	30.48	23.23633
4116_13256_000004_000000	"Be ye therefore imitators of God, as beloved children; and walk in love, even as Christ also loved you."	"Be ye therefore imitators of God, as beloved children; and walk in love, even as Christ also loved you."	false	30.48	37.09	22.734035
4116_13256_000005_000000	"HADN'T we better take a policeman along?" said one of the girls with a nervous laugh.	"HADN'T we better take a policeman along?" said one of the girls with a nervous laugh.	true	37.34	41.97	22.90499
4116_13256_000005_000001	"It really isn't safe down there, you know."	"It really isn't safe down there, you know."	true	41.97	44.38	21.93968
4116_13256_000006_000000	"There's no danger," said Virginia briefly.	"There's no danger," said Virginia briefly.	true	44.63	47.32	25.01744
4116_13256_000007_000000	"Is it true that your brother Rollin has been converted?" asked the first speaker, looking at Virginia curiously.	"Is it true that your brother Rollin has been converted?" asked the first speaker, looking at Virginia curiously.	true	47.57	54.06	23.030355
4116_13256_000007_000001	It impressed her during the drive to the Rectangle that all three of her friends were regarding her with close attention as if she were peculiar.	It impressed her during the drive to the Rectangle that all three of her friends were regarding her with close attention as if she were peculiar.	true	54.06	61.06	22.173927
4116_13256_000008_000000	"Yes, he certainly is."	"Yes, he certainly is."	true	61.28	63.19	24.148865
4116_13256_000009_000000	"I understand he is going around to the clubs talking with his old friends there, trying to preach to them.	"I understand he is going around to the clubs talking with his old friends there, trying to preach to them.	false	63.41	68.655	25.847172
4116_13256_000009_000001	Doesn't that seem funny?" said the girl with the red silk parasol.	Doesn't that seem funny?" said the girl with the red silk parasol.	true	68.655	72.52	27.20353
4116_13256_000010_000000	Virginia did not answer, and the other girls were beginning to feel sober as the carriage turned into a street leading to the Rectangle. As they neared the district they grew more and more nervous.	Virginia did not answer, and the other girls were beginning to feel sober as the carriage turned into a street leading to the Rectangle. As they neared the district they grew more and more nervous.	false	72.71	83.35	24.74051
4116_13256_000010_000001	The sights and smells and sounds which had become familiar to Virginia struck the senses of these refined, delicate society girls as something horrible.	The sights and smells and sounds which had become familiar to Virginia struck the senses of these refined, delicate society girls as something horrible.	true	83.42	92.83	22
4116_13256_000010_000002	As they entered farther into the district, the Rectangle seemed to stare as with one great, bleary, beer-soaked countenance at this fine carriage with its load of fashionably dressed young women.	As they entered farther into the district, the Rectangle seemed to stare as with one great, bleary, beer soaked countenance at this fine carriage with its load of fashionably dressed young women.	false	92.93	103.63	24
4116_13256_000010_000003	"Slumming" had never been a fad with Raymond society, and this was perhaps the first time that the two had come together in this way.	"Slumming" had never been a fad with Raymond society, and this was perhaps the first time that the two had come together in this way.	true	103.76	111.82	23.537271
4116_13256_000010_000004	The girls felt that instead of seeing the Rectangle they were being made the objects of curiosity.	The girls felt that instead of seeing the Rectangle they were being made the objects of curiosity.	true	111.83	117.67	21.865
4116_13256_000010_000005	They were frightened and disgusted.	They were frightened and disgusted.	true	117.8	120.19	26.493607
4116_13256_000011_000000	"Let's go back.	"Let's go back.	true	120.26	121.605	25.23088
4116_13256_000011_000001	I've seen enough," said the girl who was sitting with Virginia.	I've seen enough," said the girl who was sitting with Virginia.	true	121.605	124.9	24.762812
4116_13256_000012_000000	They were at that moment just opposite a notorious saloon and gambling house.	They were at that moment just opposite a notorious saloon and gambling house.	true	125	129.28	22.563534
4116_13256_000012_000001	The street was narrow and the sidewalk crowded. Suddenly, out of the door of this saloon a young woman reeled.	The street was narrow and the sidewalk crowded. Suddenly, out of the door of this saloon a young woman reeled.	false	129.32	135.525	19.699812
4116_13256_000012_000002	She was singing in a broken, drunken sob that seemed to indicate that she partly realized her awful condition, "Just as I am, without one plea"--and as the carriage rolled past she leered at it, raising her face so that Virginia saw it very close to her own.	She was singing in a broken, drunken sob that seemed to indicate that she partly realized her awful condition, "Just as I am, without one plea"--and as the carriage rolled past she leered at it, raising her face so that Virginia saw it very close to her own.	true	135.525	152.92	24.703764
4116_13256_000012_000003	It was the face of the girl who had kneeled sobbing, that night with Virginia kneeling beside her and praying for her.	It was the face of the girl who had kneeled sobbing, that night with Virginia kneeling beside her and praying for her.	true	153.08	159.31	21.982922
4116_13256_000013_000000	"Stop!" cried Virginia, motioning to the driver who was looking around.	"Stop!" cried Virginia, motioning to the driver who was looking around.	true	159.41	163.69	27.452248
4116_13256_000013_000001	The carriage stopped, and in a moment she was out and had gone up to the girl and taken her by the arm.	The carriage stopped, and in a moment she was out and had gone up to the girl and taken her by the arm.	true	163.76	169.53	24.405159
