1638_84447_000000_000000	STAVE IV: THE LAST OF THE SPIRITS	STAVE i v: THE LAST OF THE SPIRITS	false	0.6	19.03	23.605509
1638_84447_000001_000000	THE Phantom slowly, gravely, silently, approached.	THE Phantom slowly, gravely, silently, approached.	true	20.27	25.42	23.665617
1638_84447_000001_000001	When it came near him, Scrooge bent down upon his knee; for in the very air through which this Spirit moved it seemed to scatter gloom and mystery.	When it came near him, Scrooge bent down upon his knee; for in the very air through which this Spirit moved it seemed to scatter gloom and mystery.	true	25.76	35.505	22.640257
1638_84447_000002_000000	It was shrouded in a deep black garment, which concealed its head, its face, its form, and left nothing of it visible save one outstretched hand.	It was shrouded in a deep black garment, which concealed its head, its face, its form, and left nothing of it visible save one outstretched hand.	true	35.505	46.75	24.074032
1638_84447_000002_000001	But for this it would have been difficult to detach its figure from the night, and separate it from the darkness by which it was surrounded.	But for this it would have been difficult to detach its figure from the night, and separate it from the darkness by which it was surrounded.	true	47.03	54.88	25
1638_84447_000003_000000	He felt that it was tall and stately when it came beside him, and that its mysterious presence filled him with a solemn dread.	He felt that it was tall and stately when it came beside him, and that its mysterious presence filled him with a solemn dread.	true	55.4	63.21	21.597364
1638_84447_000003_000001	He knew no more, for the Spirit neither spoke nor moved.	He knew no more, for the Spirit neither spoke nor moved.	false	63.21	68.44	27.852577
1638_84447_000004_000000	"I am in the presence of the Ghost of Christmas Yet To Come?" said Scrooge.	"I am in the presence of the Ghost of Christmas Yet To Come?" said Scrooge.	true	69.11	75.61	26.436312
1638_84447_000005_000000	The Spirit answered not, but pointed onward with its hand.	The Spirit answered not, but pointed onward with its hand.	true	76.13	80.32	25.362442
1638_84447_000006_000000	"You are about to show me shadows of the things that have not happened, but will happen in the time before us," Scrooge pursued.	"You are about to show me shadows of the things that have not happened, but will happen in the time before us," Scrooge pursued.	true	80.45	89.08	24.419544
1638_84447_000006_000001	"Is that so, Spirit?"	"Is that so, Spirit?"	true	89.15	90.73	29.209187
1638_84447_000007_000000	The upper portion of the garment was contracted for an instant in its folds, as if the Spirit had inclined its head. That was the only answer he received.	The upper portion of the garment was contracted for an instant in its folds, as if the Spirit had inclined its head. That was the only answer he received.	true	91.1	101.32	23.865189
1638_84447_000008_000000	Although well used to ghostly company by this time, Scrooge feared the silent shape so much that his legs trembled beneath him, and he found that he could hardly stand when he prepared to follow it.	Although well used to ghostly company by this time, Scrooge feared the silent shape so much that his legs trembled beneath him, and he found that he could hardly stand when he prepared to follow it.	true	101.75	112.93	18
1638_84447_000008_000001	The Spirit paused a moment, as observing his condition, and giving him time to recover.	The Spirit paused a moment, as observing his condition, and giving him time to recover.	true	113.57	118.93	25.245699
1638_84447_000009_000000	But Scrooge was all the worse for this.	But Scrooge was all the worse for this.	true	119.18	121.3	18.189917
1638_84447_000009_000001	It thrilled him with a vague uncertain horror, to know that behind the dusky shroud, there were ghostly eyes intently fixed upon him, while he, though he stretched his own to the utmost, could see nothing but a spectral hand and one great heap of black.	It thrilled him with a vague uncertain horror, to know that behind the dusky shroud, there were ghostly eyes intently fixed upon him, while he, though he stretched his own to the utmost, could see nothing but a spectral hand and one great heap of black.	true	121.4	140.05	24.57047
1638_84447_000010_000000	"Ghost of the Future!" he exclaimed, "I fear you more than any spectre I have seen.	"Ghost of the Future!" he exclaimed, "I fear you more than any spectre I have seen.	true	140.12	145.725	23.74791
1638_84447_000010_000001	But as I know your purpose is to do me good, and as I hope to live to be another man from what I was, I am prepared to bear you company, and do it with a thankful heart.	But as I know your purpose is to do me good, and as I hope to live to be another man from what I was, I am prepared to bear you company, and do it with a thankful heart.	false	145.725	156.58	19
1638_84447_000010_000002	Will you not speak to me?"	Will you not speak to me?"	true	156.83	158.71	30.299486
1638_84447_000011_000000	It gave him no reply.	It gave him no reply.	true	159.29	161.11	25.001871
1638_84447_000011_000001	The hand was pointed straight before them.	The hand was pointed straight before them.	true	161.33	164.52	27.936066
