4054_11077_000000_000000	"Oh, will you?"--forgetting her grief--"that will be lovely.	"Oh, will you?"--forgetting her grief-"that will be lovely.	false	0	2.52	33.172398
4054_11077_000000_000001	The skirt needn't be _very_ full, you know.	The skirt needn't be underscore very underscore full, you know.	false	2.52	5.01	21.624502
4054_11077_000000_000002	Effie doesn't walk much, because of only having one leg.	Effie doesn't walk much, because of only having one leg.	false	5.01	6.72	29.708498
4054_11077_000000_000003	She will be _so_ pleased, for she hasn't had a new dress I don't know when."	She will be underscore so underscore pleased, for she hasn't had a new dress I don't know when."	false	6.72	10.62	23.032465
4054_11077_000001_000000	Consoled by the prospect of Effie's satisfaction, Amy departed quite cheerfully, and Mrs. Ashe was spared the pain of seeing her only child in tears on the first evening of their reunion.	Consoled by the prospect of Effie's satisfaction, Amy departed quite cheerfully, and mrs Ashe was spared the pain of seeing her only child in tears on the first evening of their reunion.	false	10.62	17.19	25.20647
4054_11077_000001_000001	But Amy talked so constantly of Katy, and seemed to love her so much, that it put a plan into her mother's head which led to important results, as the next chapter will show.	But Amy talked so constantly of Katy, and seemed to love her so much, that it put a plan into her mother's head which led to important results, as the next chapter will show.	false	17.19	20.52	28.424868
4054_11077_000002_000000	CHAPTER II.	CHAPTER two.	true	20.52	21.465	34.51647
4054_11077_000003_000000	AN INVITATION.	AN INVITATION.	true	21.465	22.54	26.901127
4054_11077_000004_000000	It is a curious fact, and makes life very interesting, that, generally speaking, none of us have any expectation that things are going to happen till the very moment when they do happen.	It is a curious fact, and makes life very interesting, that, generally speaking, none of us have any expectation that things are going to happen till the very moment when they do happen.	true	23.99	33.31	26.317793
4054_11077_000004_000001	We wake up some morning with no idea that a great happiness is at hand, and before night it has come, and all the world is changed for us; or we wake bright and cheerful, with never a guess that clouds of sorrow are lowering in our sky, to put all the sunshine out for a while, and before noon all is dark.	We wake up some morning with no idea that a great happiness is at hand, and before night it has come, and all the world is changed for us; or we wake bright and cheerful, with never a guess that clouds of sorrow are lowering in our sky, to put all the sunshine out for a while, and before noon all is dark.	false	33.59	50.11	24.995522
4054_11077_000004_000002	Nothing whispers of either the joy or the grief.	Nothing whispers of either the joy or the grief.	true	50.12	53.025	19.275003
