6054_41610_000002_000000	JULIA PERFORMS A SACRED DUTY	JULIA PERFORMS A SACRED DUTY
6054_41610_000003_000000	"What have we ever done that we should be so neglected?" said David Nesbit, swinging himself from his motorcycle and landing squarely in front of Grace Harlowe and Anne Pierson while they were out walking one afternoon.	"What have we ever done that we should be so neglected?" said David Nesbit, swinging himself from his motorcycle and landing squarely in front of Grace Harlowe and Anne Pierson while they were out walking one afternoon.
6054_41610_000004_000000	"Why, David Nesbit, how can you make such statements?" replied Grace, looking at the young man in mock disapproval.	"Why, David Nesbit, how can you make such statements?" replied Grace, looking at the young man in mock disapproval.
6054_41610_000004_000001	"You know perfectly well that you've been shut up in your old laboratory all fall.	"You know perfectly well that you've been shut up in your old laboratory all fall.
6054_41610_000004_000002	We have scarcely seen you since the walking party.	We have scarcely seen you since the walking party.
6054_41610_000005_000001	"That's what comes of having a sister who belongs to a sorority.	"That's what comes of having a sister who belongs to a sorority.
6054_41610_000005_000002	However, you folks are equally guilty, you've all gone mad over your sorority, and left Hippy and Reddy and me to wander about Oakdale like lost souls.	However, you folks are equally guilty, you've all gone mad over your sorority, and left Hippy and Reddy and me to wander about Oakdale like lost souls.
6054_41610_000005_000003	I hear you've adopted a girl, too.	I hear you've adopted a girl, too.
6054_41610_000005_000004	Reddy is horribly jealous of her.	Reddy is horribly jealous of her.
6054_41610_000005_000005	He says Jessica won't look at him any more."	He says Jessica won't look at him any more."
6054_41610_000006_000000	"Reddy is laboring under a false impression," said Anne.	"Reddy is laboring under a false impression," said Anne.
6054_41610_000006_000001	"He is head over heels in football practice and has forgotten he ever knew Jessica. As for Hippy, Nora says that he is studying night and day, and that he is actually wearing himself away by burning midnight oil."	"He is head over heels in football practice and has forgotten he ever knew Jessica. As for Hippy, Nora says that he is studying night and day, and that he is actually wearing himself away by burning midnight oil."
6054_41610_000007_000000	"Yes, Hippy is studying some this year," replied David.	"Yes, Hippy is studying some this year," replied David.
6054_41610_000007_000002	You know Hippy never bothered himself much about study, just managed to scrape through.	You know Hippy never bothered himself much about study, just managed to scrape through.
6054_41610_000007_000003	But now he'll have to hustle if he gets through with High School this year, and he's wide awake to that fact."	But now he'll have to hustle if he gets through with High School this year, and he's wide awake to that fact."
6054_41610_000008_000001	"You'll have to have better excuses than football and experiments."	"You'll have to have better excuses than football and experiments."
6054_41610_000009_000000	"I'll tell you what we'll do to square ourselves," said David, smiling. "We'll take you girls to the football game next Thursday.	"I'll tell you what we'll do to square ourselves," said David, smiling. "We'll take you girls to the football game next Thursday.
6054_41610_000009_000002	Reddy's on the team, but Hippy and I will do the honors."	Reddy's on the team, but Hippy and I will do the honors."
6054_41610_000010_000000	"Fine," replied Grace.	"Fine," replied Grace.
6054_41610_000010_000001	"But are you willing to burden yourselves with some extra girls?	"But are you willing to burden yourselves with some extra girls?
6054_41610_000010_000002	You see it's this way.	You see it's this way.
