3157_168062_000000_000000	CHAPTER XIX.	CHAPTER nineteen.	false	1.05	1.56	23
3157_168062_000000_000001	SUNDRIES	SUNDRIES	false	1.56	1.56	
3157_168062_000001_000000	CHAPTER XX.	CHAPTER twenty.	false	1.56	1.56	
3157_168062_000001_000001	AT HOME	AT HOME	false	1.56	1.56	
3157_168062_000002_000000	CHAPTER XXI.	CHAPTER twenty one.	false	1.56	1.95	-3
3157_168062_000002_000001	TESTED	TESTED	false	1.95	2.19	14
3157_168062_000003_000000	CHAPTER XXII.	CHAPTER twenty two.	false	2.19	2.97	18
3157_168062_000003_000001	"LITTLE PLUM PIES"	"LITTLE PLUM PIES"	false	2.97	3.75	15.444191
3157_168062_000004_000000	CHAPTER XXIII.	CHAPTER twenty three.	false	3.75	4.5	9
3157_168062_000004_000001	CROSSES	CROSSES	false	4.5	4.77	8
3157_168062_000005_000000	CHAPTER XXIV.	CHAPTER twenty four.	false	4.77	5.55	23.995113
3157_168062_000005_000001	GOD'S WAY	GOD'S WAY	false	5.55	6.06	10.940315
3157_168062_000006_000000	CHAPTER XXV.	CHAPTER twenty five.	false	6.06	6.81	19
3157_168062_000006_000001	SADIE SURROUNDED	SADIE SURROUNDED	false	6.81	7.35	11
3157_168062_000007_000000	CHAPTER XXVI.	CHAPTER twenty six.	false	7.35	8.1	18
3157_168062_000007_000001	CONFUSION--CROSS-BEARING--CONSEQUENCE	CONFUSION-CROSS BEARING-CONSEQUENCE	false	8.1	9.15	24.473768
3157_168062_000008_000000	CHAPTER XXVII.	CHAPTER twenty seven.	false	9.15	9.9	6
3157_168062_000008_000001	THE TIME TO SLEEP	THE TIME TO SLEEP	false	9.9	11.13	8
3157_168062_000009_000000	CHAPTER XXVIII.	CHAPTER twenty eight.	false	11.13	13.38	23.25425
3157_168062_000009_000001	AT LAST	AT LAST	false	13.38	15.09	19.784828
3157_168062_000010_000000	Ester Ried	Ester Ried	true	15.09	15.93	14
3157_168062_000011_000000	ASLEEP AND AWAKE	ASLEEP AND AWAKE	false	15.93	17.25	24.64305
3157_168062_000012_000000	CHAPTER I.	CHAPTER one	true	17.25	18.4	26.350727
3157_168062_000013_000000	ESTER'S HOME.	ESTER'S HOME.	true	18.5	19.87	20.36434
3157_168062_000014_000000	She did not look very much as if she were asleep, nor acted as though she expected to get a chance to be very soon.	She did not look very much as if she were asleep, nor acted as though she expected to get a chance to be very soon.	true	20.78	28.66	23.138414
