2882_147159_000002_000000	CHAPTER XVII.	CHAPTER seventeen.
2882_147159_000003_000000	BARTON'S NIGHT-ERRAND.	BARTON'S NIGHT ERRAND.
2882_147159_000005_000000	ANONYMOUS.	ANONYMOUS.
2882_147159_000006_000000	The events recorded in the last chapter took place on a Tuesday.	The events recorded in the last chapter took place on a Tuesday.
2882_147159_000006_000001	On Thursday afternoon Mary was surprised, in the midst of some little bustle in which she was engaged, by the entrance of Will Wilson. He looked strange, at least it was strange to see any different expression on his face to his usual joyous beaming appearance.	On Thursday afternoon Mary was surprised, in the midst of some little bustle in which she was engaged, by the entrance of Will Wilson. He looked strange, at least it was strange to see any different expression on his face to his usual joyous beaming appearance.
2882_147159_000006_000002	He had a paper parcel in his hand.	He had a paper parcel in his hand.
2882_147159_000006_000003	He came in, and sat down, more quietly than usual.	He came in, and sat down, more quietly than usual.
2882_147159_000007_000000	"Why, Will! what's the matter with you?	"Why, Will! what's the matter with you?
2882_147159_000007_000001	You seem quite cut up about something!"	You seem quite cut up about something!"
2882_147159_000008_000001	I'm come to say good-bye; and few folk like to say good-bye to them they love."	I'm come to say good bye; and few folk like to say good bye to them they love."
2882_147159_000009_000000	"Good-bye!	"Good bye!
2882_147159_000009_000001	Bless me, Will, that's sudden, isn't it?"	Bless me, Will, that's sudden, isn't it?"
2882_147159_000010_000000	Mary left off ironing, and came and stood near the fire-place.	Mary left off ironing, and came and stood near the fire place.
2882_147159_000010_000001	She had always liked Will; but now it seemed as if a sudden spring of sisterly love had gushed up in her heart, so sorry did she feel to hear of his approaching departure.	She had always liked Will; but now it seemed as if a sudden spring of sisterly love had gushed up in her heart, so sorry did she feel to hear of his approaching departure.
2882_147159_000012_000001	"No, it isn't;" rousing himself, to think of what he was saying.	"No, it isn't;" rousing himself, to think of what he was saying.
2882_147159_000012_000002	"The captain told me in a fortnight he would be ready to sail again; but it comes very sudden on me, I had got so fond of you all."	"The captain told me in a fortnight he would be ready to sail again; but it comes very sudden on me, I had got so fond of you all."
2882_147159_000013_000000	Mary understood the particular fondness that was thus generalised. She spoke again.	Mary understood the particular fondness that was thus generalised. She spoke again.
2882_147159_000014_000000	"But it's not a fortnight since you came.	"But it's not a fortnight since you came.
2882_147159_000014_000001	Not a fortnight since you knocked at Jane Wilson's door, and I was there, you remember.	Not a fortnight since you knocked at Jane Wilson's door, and I was there, you remember.
2882_147159_000014_000002	Nothing like a fortnight!"	Nothing like a fortnight!"
2882_147159_000015_000001	But, you see, I got a letter this afternoon from Jack Harris, to tell me our ship sails on Tuesday next; and it's long since I promised my uncle (my mother's brother, him that lives at Kirk-Christ, beyond Ramsay, in the Isle of Man) that I'd go and see him and his, this time of coming ashore.	But, you see, I got a letter this afternoon from Jack Harris, to tell me our ship sails on Tuesday next; and it's long since I promised my uncle (my mother's brother, him that lives at Kirk Christ, beyond Ramsay, in the Isle of Man) that I'd go and see him and his, this time of coming ashore.
2882_147159_000015_000002	I must go.	I must go.
2882_147159_000015_000003	I'm sorry enough; but I mustn't slight poor mother's friends.	I'm sorry enough; but I mustn't slight poor mother's friends.
2882_147159_000015_000004	I must go.	I must go.
2882_147159_000015_000005	Don't try to keep me," said he, evidently fearing the strength of his own resolution, if hard pressed by entreaty.	Don't try to keep me," said he, evidently fearing the strength of his own resolution, if hard pressed by entreaty.
2882_147159_000016_000000	"I'm not a-going, Will.	"I'm not a going, Will.
2882_147159_000017_000000	"To-night.	"To night.
2882_147159_000017_000001	I shan't see you again."	I shan't see you again."
2882_147159_000018_000000	"To-night! and you go to Liverpool!	"To night! and you go to Liverpool!
2882_147159_000018_000001	May be you and father will go together.	May be you and father will go together.
2882_147159_000018_000002	He's going to Glasgow, by way of Liverpool."	He's going to Glasgow, by way of Liverpool."
2882_147159_000019_000000	"No! I'm walking; and I don't think your father will be up to walking."	"No! I'm walking; and I don't think your father will be up to walking."
2882_147159_000020_000001	You can get by railway for three-and-sixpence."	You can get by railway for three and sixpence."
2882_147159_000022_000001	"It's a fine clear night, and I shall set off betimes, and get in afore the Manx packet sails. Where's your father going?	"It's a fine clear night, and I shall set off betimes, and get in afore the Manx packet sails. Where's your father going?
2882_147159_000022_000002	To Glasgow, did you say?	To Glasgow, did you say?
2882_147159_000022_000003	Perhaps he and I may have a bit of a trip together then, for, if the Manx boat has sailed when I get into Liverpool, I shall go by a Scotch packet. What's he going to do in Glasgow?--Seek for work?	Perhaps he and I may have a bit of a trip together then, for, if the Manx boat has sailed when I get into Liverpool, I shall go by a Scotch packet. What's he going to do in Glasgow?--Seek for work?
2882_147159_000022_000004	Trade is as bad there as here, folk say."	Trade is as bad there as here, folk say."
2882_147159_000023_000002	It's very hard to keep up one's heart.	It's very hard to keep up one's heart.
2882_147159_000023_000003	I wish I were a boy, I'd go to sea with you. It would be getting away from bad news at any rate; and now, there's hardly a creature that crosses the door-step, but has something sad and unhappy to tell one.	I wish I were a boy, I'd go to sea with you. It would be getting away from bad news at any rate; and now, there's hardly a creature that crosses the door step, but has something sad and unhappy to tell one.
2882_147159_000023_000004	Father is going as a delegate from his Union, to ask help from the Glasgow folk.	Father is going as a delegate from his Union, to ask help from the Glasgow folk.
2882_147159_000023_000005	He's starting this evening."	He's starting this evening."
2882_147159_000025_000000	"You say no one crosses the threshold but has something sad to say; you don't mean that Margaret Jennings has any trouble?" asked the young sailor, anxiously.	"You say no one crosses the threshold but has something sad to say; you don't mean that Margaret Jennings has any trouble?" asked the young sailor, anxiously.
2882_147159_000026_000000	"No!" replied Mary, smiling a little, "she's the only one I know, I believe, who seems free from care.	"No!" replied Mary, smiling a little, "she's the only one I know, I believe, who seems free from care.
2882_147159_000026_000001	Her blindness almost appears a blessing sometimes; she was so downhearted when she dreaded it, and now she seems so calm and happy when it's downright come.	Her blindness almost appears a blessing sometimes; she was so downhearted when she dreaded it, and now she seems so calm and happy when it's downright come.
2882_147159_000026_000002	No! Margaret's happy, I do think."	No! Margaret's happy, I do think."
2882_147159_000027_000000	"I could almost wish it had been otherwise," said Will, thoughtfully. "I could have been so glad to comfort her, and cherish her, if she had been in trouble."	"I could almost wish it had been otherwise," said Will, thoughtfully. "I could have been so glad to comfort her, and cherish her, if she had been in trouble."
2882_147159_000028_000000	"And why can't you cherish her, even though she is happy?" asked Mary.	"And why can't you cherish her, even though she is happy?" asked Mary.
2882_147159_000029_000001	I don't know.	I don't know.
2882_147159_000029_000003	And her voice! When I hear it, and think of the wishes that are in my heart, it seems as much out of place to ask her to be my wife, as it would be to ask an angel from heaven."	And her voice! When I hear it, and think of the wishes that are in my heart, it seems as much out of place to ask her to be my wife, as it would be to ask an angel from heaven."
