2285_149890_000012_000000	CHAPTER XVIII	CHAPTER eighteen
2285_149890_000014_000000	By the evening of the 16th the subtle hand of Hurstwood had made itself apparent.	By the evening of the sixteenth the subtle hand of Hurstwood had made itself apparent.
2285_149890_000014_000001	He had given the word among his friends--and they were many and influential--that here was something which they ought to attend, and, as a consequence, the sale of tickets by Mr. Quincel, acting for the lodge, had been large.	He had given the word among his friends-and they were many and influential-that here was something which they ought to attend, and, as a consequence, the sale of tickets by mr Quincel, acting for the lodge, had been large.
2285_149890_000019_000002	Mr. Harry Quincel was looked upon as quite a star for this sort of work.	mr Harry Quincel was looked upon as quite a star for this sort of work.
2285_149890_000021_000002	At times she wished that she had never gone into the affair; at others, she trembled lest she should be paralysed with fear and stand white and gasping, not knowing what to say and spoiling the entire performance.	At times she wished that she had never gone into the affair; at others, she trembled lest she should be paralysed with fear and stand white and gasping, not knowing what to say and spoiling the entire performance.
2285_149890_000023_000002	It's the spirit of the part, you know, that is difficult."	It's the spirit of the part, you know, that is difficult."
2285_149890_000027_000000	The flare of the gas-jets, the open trunks, suggestive of travel and display, the scattered contents of the make-up box--rouge, pearl powder, whiting, burnt cork, India ink, pencils for the eyelids, wigs, scissors, looking-glasses, drapery--in short, all the nameless paraphernalia of disguise, have a remarkable atmosphere of their own.	The flare of the gas jets, the open trunks, suggestive of travel and display, the scattered contents of the make-up box-rouge, pearl powder, whiting, burnt cork, India ink, pencils for the eyelids, wigs, scissors, looking glasses, drapery-in short, all the nameless paraphernalia of disguise, have a remarkable atmosphere of their own.
2285_149890_000027_000004	This took her by the hand kindly, as one who says, "My dear, come in." It opened for her as if for its own.	This took her by the hand kindly, as one who says, "My dear, come in." It opened for her as if for its own.
2285_149890_000029_000003	It was to be a full-dress affair.	It was to be a full dress affair.
2285_149890_000029_000004	The four boxes had been taken. Dr. Norman McNeill Hale and his wife were to occupy one.	The four boxes had been taken. dr Norman McNeill Hale and his wife were to occupy one.
2285_149890_000029_000005	This was quite a card.	This was quite a card.
2285_149890_000029_000007	Among the latter was Drouet.	Among the latter was Drouet.
2285_149890_000029_000009	They were the lights of a certain circle--the circle of small fortunes and secret order distinctions.	They were the lights of a certain circle-the circle of small fortunes and secret order distinctions.
2285_149890_000030_000000	To-night he was in his element.	To night he was in his element.
2285_149890_000030_000001	He came with several friends directly from Rector's in a carriage.	He came with several friends directly from Rector's in a carriage.
2285_149890_000030_000002	In the lobby he met Drouet, who was just returning from a trip for more cigars.	In the lobby he met Drouet, who was just returning from a trip for more cigars.
2285_149890_000032_000000	"Why, how do you do, Mr. Hurstwood?" came from the first individual recognised.	"Why, how do you do, mr Hurstwood?" came from the first individual recognised.
2285_149890_000035_000000	"Yes, indeed," said the manager.	"Yes, indeed," said the manager.
2285_149890_000037_000001	"I'm glad to see it."	"I'm glad to see it."
2285_149890_000042_000000	"Wife here?"	"Wife here?"
2285_149890_000051_000001	He has a brick-yard, you know."	He has a brick yard, you know."
2285_149890_000052_000001	"Felt pretty sore, I suppose, over his defeat."	"Felt pretty sore, I suppose, over his defeat."
2285_149890_000053_000000	"Perhaps," said the other, winking shrewdly.	"Perhaps," said the other, winking shrewdly.
2285_149890_000058_000001	Bother the show!"	Bother the show!"
2285_149890_000062_000001	He was just asking for you a moment ago."	He was just asking for you a moment ago."
2285_149890_000063_000001	Look at him any time within the half hour before the curtain was up, he was a member of an eminent group--a rounded company of five or more whose stout figures, large white bosoms, and shining pins bespoke the character of their success. The gentlemen who brought their wives called him out to shake hands. Seats clicked, ushers bowed while he looked blandly on.	Look at him any time within the half hour before the curtain was up, he was a member of an eminent group-a rounded company of five or more whose stout figures, large white bosoms, and shining pins bespoke the character of their success. The gentlemen who brought their wives called him out to shake hands. Seats clicked, ushers bowed while he looked blandly on.
