6339_65554_000000_000000	"Listen to me, Bessy.	"Listen to me, Bessy.	false	0	0.78	25.787716
6339_65554_000000_000001	Don't condemn me before you've heard me.	Don't condemn me before you've heard me.	false	0.78	2.16	12
6339_65554_000000_000002	I've been to blame for believing falsehoods about you, but I believe them no longer, and I've come to ask you to forgive me."	I've been to blame for believing falsehoods about you, but I believe them no longer, and I've come to ask you to forgive me."	false	2.16	6.12	14
6339_65554_000001_000000	He told his story simply and straightforwardly.	He told his story simply and straightforwardly.	false	6.12	6.96	26.96879
6339_65554_000001_000001	In strict justice he could not keep his mother's name out of it, but he merely said she had been mistaken.	In strict justice he could not keep his mother's name out of it, but he merely said she had been mistaken.	false	6.96	9.48	19.713087
6339_65554_000001_000002	Perhaps Bessy understood none the less.	Perhaps Bessy understood none the less.	false	9.48	10.2	19.825207
6339_65554_000001_000003	She knew what Mrs. Eastman's reputation in Lynnfield was.	She knew what mrs Eastman's reputation in Lynnfield was.	false	10.2	11.43	11
6339_65554_000002_000000	"You might have had a little more faith in me," she cried reproachfully.	"You might have had a little more faith in me," she cried reproachfully.	false	11.43	13.83	19
6339_65554_000003_000000	"I know--I know.	"I know-I know.	false	13.83	14.64	5
6339_65554_000003_000001	But I was beside myself with pain and wretchedness. Oh, Bessy, won't you forgive me?	But I was beside myself with pain and wretchedness. Oh, Bessy, won't you forgive me?	false	14.64	17.61	24.827585
6339_65554_000003_000002	I love you so!	I love you so!	false	17.61	18.42	17.623825
6339_65554_000003_000003	If you send me away I'll go to the dogs.	If you send me away I'll go to the dogs.	false	18.42	20.85	19.658699
6339_65554_000003_000004	Forgive me, Bessy."	Forgive me, Bessy."	false	20.85	21.72	11
6339_65554_000004_000000	And she, being a woman, did forgive him.	And she, being a woman, did forgive him.	false	21.72	24.09	17
6339_65554_000005_000000	"I've loved you from the first, Lawrence," she said, yielding to his kiss.	"I've loved you from the first, Lawrence," she said, yielding to his kiss.	false	24.09	29.55	22.15974
6339_65554_000006_000000	Their Girl Josie	Their Girl Josie	true	29.55	31.03	24.915031
6339_65554_000007_000000	When Paul Morgan, a rising young lawyer with justifiable political aspirations, married Elinor Ashton, leading woman at the Green Square Theatre, his old schoolmates and neighbours back in Spring Valley held up their hands in horror, and his father and mother up in the weather-grey Morgan homestead were crushed in the depths of humiliation.	When Paul Morgan, a rising young lawyer with justifiable political aspirations, married Elinor Ashton, leading woman at the Green Square Theatre, his old schoolmates and neighbours back in Spring Valley held up their hands in horror, and his father and mother up in the weather grey Morgan homestead were crushed in the depths of humiliation.	false	31.52	51.555	15
6339_65554_000007_000001	They had been too proud of Paul ... their only son and such a clever fellow ... and this was their punishment!	They had been too proud of Paul ... their only son and such a clever fellow ... and this was their punishment!	true	51.555	58.23	20.733093
6339_65554_000007_000002	He had married an actress!	He had married an actress!	true	58.23	60.07	21
6339_65554_000007_000003	To Cyrus and Deborah Morgan, brought up and nourished all their lives on the strictest and straightest of old-fashioned beliefs both as regards this world and that which is to come, this was a tragedy.	To Cyrus and Deborah Morgan, brought up and nourished all their lives on the strictest and straightest of old-fashioned beliefs both as regards this world and that which is to come, this was a tragedy.	true	60.2	71.26	18
6339_65554_000008_000000	They could not be brought to see it in any other light.	They could not be brought to see it in any other light.	true	71.48	74.47	21
6339_65554_000008_000001	As their neighbours said, "Cy Morgan never hilt up his head again after Paul married the play-acting woman." But perhaps it was less his humiliation than his sorrow which bowed down his erect form and sprinkled grey in his thick black hair that fifty years had hitherto spared.	As their neighbours said, "Cy Morgan never hilt up his head again after Paul married the play acting woman." But perhaps it was less his humiliation than his sorrow which bowed down his erect form and sprinkled grey in his thick black hair that fifty years had hitherto spared.	false	74.66	92.52	17
6339_65554_000008_000002	For Paul, forgetting the sacrifices his mother and father had made for him, had bitterly resented the letter of protest his father had written concerning his marriage.	For Paul, forgetting the sacrifices his mother and father had made for him, had bitterly resented the letter of protest his father had written concerning his marriage.	true	92.52	102.36	17
6339_65554_000008_000003	He wrote one angry, unfilial letter back and then came silence.	He wrote one angry, unfilial letter back and then came silence.	true	102.36	107.025	17
6339_65554_000008_000004	Between grief and shame Cyrus and Deborah Morgan grew old rapidly in the year that followed.	Between grief and shame Cyrus and Deborah Morgan grew old rapidly in the year that followed.	true	107.025	112.755	16
6339_65554_000009_000000	At the end of that time Elinor Morgan, the mother of an hour, died; three months later Paul Morgan was killed in a railroad collision. After the funeral Cyrus Morgan brought home to his wife their son's little daughter, Joscelyn Morgan.	At the end of that time Elinor Morgan, the mother of an hour, died; three months later Paul Morgan was killed in a railroad collision. After the funeral Cyrus Morgan brought home to his wife their son's little daughter, Joscelyn Morgan.	true	112.755	128.38	20
6339_65554_000010_000000	Her aunt, Annice Ashton, had wanted the baby.	Her aunt, Annice Ashton, had wanted the baby.	true	128.54	131.67	18
6339_65554_000010_000001	Cyrus Morgan had been almost rude in his refusal.	Cyrus Morgan had been almost rude in his refusal.	true	131.67	135	13
6339_65554_000010_000002	His son's daughter should never be brought up by an actress; it was bad enough that her mother had been one and had doubtless transmitted the taint to her child.	His son's daughter should never be brought up by an actress; it was bad enough that her mother had been one and had doubtless transmitted the taint to her child.	false	135	144.1	18
6339_65554_000010_000003	But in Spring Valley, if anywhere, it might be eradicated.	But in Spring Valley, if anywhere, it might be eradicated.	true	144.32	147.855	17
6339_65554_000011_000000	At first neither Cyrus nor Deborah cared much for Joscelyn.	At first neither Cyrus nor Deborah cared much for Joscelyn.	true	147.855	151.755	17
6339_65554_000011_000001	They resented her parentage, her strange, un-Morgan-like name, and the pronounced resemblance she bore to the dark-haired, dark-eyed mother they had never seen.	They resented her parentage, her strange, un Morgan like name, and the pronounced resemblance she bore to the dark haired, dark eyed mother they had never seen.	true	151.755	161.14	15
6339_65554_000011_000002	All the Morgans had been fair.	All the Morgans had been fair.	true	161.33	163.18	18
6339_65554_000011_000003	If Joscelyn had had Paul's blue eyes and golden curls her grandfather and grandmother would have loved her sooner.	If Joscelyn had had Paul's blue eyes and golden curls her grandfather and grandmother would have loved her sooner.	true	163.22	170.05	15
6339_65554_000012_000000	But the love came ... it had to.	But the love came ... it had to.	true	170.09	172.15	22
6339_65554_000012_000001	No living mortal could have resisted Joscelyn.	No living mortal could have resisted Joscelyn.	true	172.4	175.39	15
6339_65554_000012_000002	She was the most winsome and lovable little mite of babyhood that ever toddled.	She was the most winsome and lovable little mite of babyhood that ever toddled.	true	175.52	180.43	14
6339_65554_000012_000003	Her big dark eyes overflowed with laughter before she could speak, her puckered red mouth broke constantly into dimples and cooing sounds.	Her big dark eyes overflowed with laughter before she could speak, her puckered red mouth broke constantly into dimples and cooing sounds.	true	180.65	189.39	18
6339_65554_000012_000004	She had ways that no orthodox Spring Valley baby ever thought of having.	She had ways that no orthodox Spring Valley baby ever thought of having.	false	189.39	194.14	17
6339_65554_000012_000005	Every smile was a caress, every gurgle of attempted speech a song.	Every smile was a caress, every gurgle of attempted speech a song.	true	194.51	199.48	21
6339_65554_000012_000006	Her grandparents came to worship her and were stricter than ever with her by reason of their love.	Her grandparents came to worship her and were stricter than ever with her by reason of their love.	true	199.76	205.15	17
6339_65554_000012_000007	Because she was so dear to them she must be saved from her mother's blood.	Because she was so dear to them she must be saved from her mother's blood.	true	205.28	209.8	16
6339_65554_000013_000000	Joscelyn shot up through a roly-poly childhood into slim, bewitching girlhood in a chill repressive atmosphere.	Joscelyn shot up through a roly poly childhood into slim, bewitching girlhood in a chill repressive atmosphere.	true	209.81	217.93	16
6339_65554_000013_000001	Cyrus and Deborah were nothing if not thorough.	Cyrus and Deborah were nothing if not thorough.	true	218.06	221.02	20
6339_65554_000013_000002	The name of Joscelyn's mother was never mentioned to her; she was never called anything but Josie, which sounded more "Christian-like" than Joscelyn; and all the flowering out of her alien beauty was repressed as far as might be in the plainest and dullest of dresses and the primmest arrangement possible to riotous ripe-brown curls.	The name of Joscelyn's mother was never mentioned to her; she was never called anything but Josie, which sounded more "Christian like" than Joscelyn; and all the flowering out of her alien beauty was repressed as far as might be in the plainest and dullest of dresses and the primmest arrangement possible to riotous ripe brown curls.	true	221.24	242.08	17
6339_65554_000014_000000	The girl was never allowed to visit her Aunt Annice, although frequently invited.	The girl was never allowed to visit her Aunt Annice, although frequently invited.	true	242.09	247.245	21.7634
6339_65554_000014_000001	Miss Ashton, however, wrote to her occasionally, and every Christmas sent a box of presents which even Cyrus and Deborah Morgan could not forbid her to accept, although they looked with disapproving eyes and ominously set lips at the dainty, frivolous trifles the actress woman sent.	Miss Ashton, however, wrote to her occasionally, and every Christmas sent a box of presents which even Cyrus and Deborah Morgan could not forbid her to accept, although they looked with disapproving eyes and ominously set lips at the dainty, frivolous trifles the actress woman sent.	false	247.245	263.94	15
6339_65554_000014_000002	They would have liked to cast those painted fans and lace frills and beflounced lingerie into the fire as if they had been infected rags from a pest-house.	They would have liked to cast those painted fans and lace frills and beflounced lingerie into the fire as if they had been infected rags from a pest house.	true	263.94	272.65	15
6339_65554_000015_000000	The path thus set for Joscelyn's dancing feet to walk in was indeed sedate and narrow.	The path thus set for Joscelyn's dancing feet to walk in was indeed sedate and narrow.	true	272.69	278.26	17
6339_65554_000015_000001	She was seldom allowed to mingle with the young people of even quiet, harmless Spring Valley; she was never allowed to attend local concerts, much less take part in them; she was forbidden to read novels, and Cyrus Morgan burned an old copy of Shakespeare which Paul had given him years ago and which he had himself read and treasured, lest its perusal should awaken unlawful instincts in Joscelyn's heart.	She was seldom allowed to mingle with the young people of even quiet, harmless Spring Valley; she was never allowed to attend local concerts, much less take part in them; she was forbidden to read novels, and Cyrus Morgan burned an old copy of Shakespeare which Paul had given him years ago and which he had himself read and treasured, lest its perusal should awaken unlawful instincts in Joscelyn's heart.	false	278.42	303.4	16
6339_65554_000015_000002	The girl's passion for reading was so marked that her grandparents felt that it was their duty to repress it as far as lay in their power.	The girl's passion for reading was so marked that her grandparents felt that it was their duty to repress it as far as lay in their power.	true	303.5	311.52	15
6339_65554_000016_000000	But Joscelyn's vitality was such that all her bonds and bands served but little to check or retard the growth of her rich nature.	But Joscelyn's vitality was such that all her bonds and bands served but little to check or retard the growth of her rich nature.	true	311.52	319.05	13
6339_65554_000016_000001	Do what they might they could not make a Morgan of her.	Do what they might they could not make a Morgan of her.	false	319.05	322.45	18
6339_65554_000016_000002	Her every step was a dance, her every word and gesture full of a grace and virility that filled the old folks with uneasy wonder.	Her every step was a dance, her every word and gesture full of a grace and virility that filled the old folks with uneasy wonder.	false	322.49	330.76	15
6339_65554_000016_000003	She seemed to them charged with dangerous tendencies all the more potent from repression.	She seemed to them charged with dangerous tendencies all the more potent from repression.	true	331.04	336.82	18
6339_65554_000016_000004	She was sweet-tempered and sunny, truthful and modest, but she was as little like the trim, simple Spring Valley girls as a crimson rose is like a field daisy, and her unlikeness bore heavily on her grandparents.	She was sweet tempered and sunny, truthful and modest, but she was as little like the trim, simple Spring Valley girls as a crimson rose is like a field daisy, and her unlikeness bore heavily on her grandparents.	false	336.89	351.34	19
6339_65554_000017_000000	Yet they loved her and were proud of her.	Yet they loved her and were proud of her.	true	351.62	354.045	22
6339_65554_000017_000001	"Our girl Josie," as they called her, was more to them than they would have admitted even to themselves, and in the main they were satisfied with her, although the grandmother grumbled because Josie did not take kindly to patchwork and rug-making and the grandfather would fain have toned down that exuberance of beauty and vivacity into the meeker pattern of maidenhood he had been accustomed to.	"Our girl Josie," as they called her, was more to them than they would have admitted even to themselves, and in the main they were satisfied with her, although the grandmother grumbled because Josie did not take kindly to patchwork and rug making and the grandfather would fain have toned down that exuberance of beauty and vivacity into the meeker pattern of maidenhood he had been accustomed to.	false	354.045	377.26	17
6339_65554_000018_000000	When Joscelyn was seventeen Deborah Morgan noticed a change in her. The girl became quieter and more brooding, falling at times into strange, idle reveries, with her hands clasped over her knee and her big eyes fixed unseeingly on space; or she would creep away for solitary rambles in the beech wood, going away droopingly and returning with dusky glowing cheeks and a nameless radiance, as of some newly discovered power, shining through every muscle and motion. Mrs. Morgan thought the child needed a tonic and gave her sulphur and molasses.	When Joscelyn was seventeen Deborah Morgan noticed a change in her. The girl became quieter and more brooding, falling at times into strange, idle reveries, with her hands clasped over her knee and her big eyes fixed unseeingly on space; or she would creep away for solitary rambles in the beech wood, going away droopingly and returning with dusky glowing cheeks and a nameless radiance, as of some newly discovered power, shining through every muscle and motion. mrs Morgan thought the child needed a tonic and gave her sulphur and molasses.	false	377.33	413.02	17
6339_65554_000019_000000	One day the revelation came.	One day the revelation came.	true	413.18	415.2	16
6339_65554_000019_000001	Cyrus and Deborah had driven across the valley to visit their married daughter.	Cyrus and Deborah had driven across the valley to visit their married daughter.	true	415.2	419.47	12
6339_65554_000019_000002	Not finding her at home they returned.	Not finding her at home they returned.	true	419.87	422.1	14
6339_65554_000019_000003	Mrs. Morgan went into the house while her husband went to the stable.	mrs Morgan went into the house while her husband went to the stable.	false	422.1	426.46	19
6339_65554_000019_000004	Joscelyn was not in the kitchen, but the grandmother heard the sound of voices and laughter in the sitting room across the hall.	Joscelyn was not in the kitchen, but the grandmother heard the sound of voices and laughter in the sitting room across the hall.	true	426.92	433.93	17
6339_65554_000020_000000	"What company has Josie got?" she wondered, as she opened the hall door and paused for a moment on the threshold to listen.	"What company has Josie got?" she wondered, as she opened the hall door and paused for a moment on the threshold to listen.	true	435.08	442.99	22.41
6339_65554_000020_000001	As she listened her old face grew grey and pinched; she turned noiselessly and left the house, and flew to her husband as one distracted.	As she listened her old face grew grey and pinched; she turned noiselessly and left the house, and flew to her husband as one distracted.	true	443.33	452.56	18
6339_65554_000021_000000	"Cyrus, Josie is play-acting in the room ... laughing and reciting and going on.	"Cyrus, Josie is play acting in the room ... laughing and reciting and going on.	true	452.96	459.19	20.923222
6339_65554_000021_000001	I heard her.	I heard her.	true	459.23	460.17	20
6339_65554_000021_000002	Oh, I've always feared it would break out in her and it has!	Oh, I've always feared it would break out in her and it has!	false	460.17	463.54	14
6339_65554_000021_000003	Come you and listen to her."	Come you and listen to her."	true	463.94	465.88	18.382814
6339_65554_000022_000000	The old couple crept through the kitchen and across the hall to the open parlour door as if they were stalking a thief.	The old couple crept through the kitchen and across the hall to the open parlour door as if they were stalking a thief.	true	466.1	473.14	22
6339_65554_000022_000001	Joscelyn's laugh rang out as they did so ... a mocking, triumphant peal.	Joscelyn's laugh rang out as they did so ... a mocking, triumphant peal.	true	473.3	478.54	18
6339_65554_000022_000002	Cyrus and Deborah shivered as if they had heard sacrilege.	Cyrus and Deborah shivered as if they had heard sacrilege.	true	478.7	482.17	16
6339_65554_000023_000000	Joscelyn had put on a trailing, clinging black skirt which her aunt had sent her a year ago and which she had never been permitted to wear.	Joscelyn had put on a trailing, clinging black skirt which her aunt had sent her a year ago and which she had never been permitted to wear.	false	482.36	490.93	15
6339_65554_000023_000001	It transformed her into a woman.	It transformed her into a woman.	true	491.39	493.78	16
6339_65554_000023_000002	She had cast aside her waist of dark plum-coloured homespun and wrapped a silken shawl about herself until only her beautiful arms and shoulders were left bare.	She had cast aside her waist of dark plum coloured homespun and wrapped a silken shawl about herself until only her beautiful arms and shoulders were left bare.	false	493.97	504.04	14
6339_65554_000023_000003	Her hair, glossy and brown, with burnished red lights where the rays of the dull autumn sun struck on it through the window, was heaped high on her head and held in place by a fillet of pearl beads.	Her hair, glossy and brown, with burnished red lights where the rays of the dull autumn sun struck on it through the window, was heaped high on her head and held in place by a fillet of pearl beads.	false	504.17	516.58	16
6339_65554_000023_000004	Her cheeks were crimson, her whole body from head to foot instinct and alive with a beauty that to Cyrus and Deborah, as they stood mute with horror in the open doorway, seemed akin to some devilish enchantment.	Her cheeks were crimson, her whole body from head to foot instinct and alive with a beauty that to Cyrus and Deborah, as they stood mute with horror in the open doorway, seemed akin to some devilish enchantment.	true	516.92	530.68	19
6339_65554_000024_000000	Joscelyn, rapt away from her surroundings, did not perceive her grandparents.	Joscelyn, rapt away from her surroundings, did not perceive her grandparents.	true	531.11	535.57	19
6339_65554_000024_000001	Her face was turned from them and she was addressing an unseen auditor in passionate denunciation.	Her face was turned from them and she was addressing an unseen auditor in passionate denunciation.	false	535.7	541.33	13
6339_65554_000024_000002	She spoke, moved, posed, gesticulated, with an inborn genius shining through every motion and tone like an illuminating lamp.	She spoke, moved, posed, gesticulated, with an inborn genius shining through every motion and tone like an illuminating lamp.	true	541.55	550.245	20
6339_65554_000025_000000	"Josie, what are you doing?"	"Josie, what are you doing?"	true	550.245	551.76	20.883724
