4519_80189_000000_000000	HONORE DE BALZAC.	HONORE DE BALZAC.	false	0	4.56	24.970428
4519_80189_000001_000000	Translated by Carl Van Vechten.	Translated by Carl Van Vechten.	false	4.56	20.79	23.034172
4519_80189_000002_000000	GIPSY	GIPSY	false	20.79	24.885	22.41562
4519_80189_000003_000000	On a fair Saturday afternoon in November Penrod's little old dog Duke returned to the ways of his youth and had trouble with a strange cat on the back porch.	On a fair Saturday afternoon in November Penrod's little old dog Duke returned to the ways of his youth and had trouble with a strange cat on the back porch.	true	24.885	34.87	20.854223
4519_80189_000003_000001	This indiscretion, so uncharacteristic, was due to the agitation of a surprised moment, for Duke's experience had inclined him to a peaceful pessimism, and he had no ambition for hazardous undertakings of any sort.	This indiscretion, so uncharacteristic, was due to the agitation of a surprised moment, for Duke's experience had inclined him to a peaceful pessimism, and he had no ambition for hazardous undertakings of any sort.	true	35.21	49.27	22.210463
4519_80189_000003_000002	He was given to musing but not to avoidable action, and he seemed habitually to hope for something which he was pretty sure would not happen.	He was given to musing but not to avoidable action, and he seemed habitually to hope for something which he was pretty sure would not happen.	true	49.43	57.76	22.152597
4519_80189_000003_000003	Even in his sleep, this gave him an air of wistfulness.	Even in his sleep, this gave him an air of wistfulness.	true	58.22	61.51	23.198486
4519_80189_000004_000000	Thus, being asleep in a nook behind the metal refuse-can, when the strange cat ventured to ascend the steps of the porch, his appearance was so unwarlike that the cat felt encouraged to extend its field of reconnaissance--for the cook had been careless, and the backbone of a three-pound whitefish lay at the foot of the refuse-can.	Thus, being asleep in a nook behind the metal refuse can, when the strange cat ventured to ascend the steps of the porch, his appearance was so unwarlike that the cat felt encouraged to extend its field of reconnaissance-for the cook had been careless, and the backbone of a three pound whitefish lay at the foot of the refuse can.	true	62.39	82.21	22.772263
4519_80189_000005_000000	This cat was, for a cat, needlessly tall, powerful, independent, and masculine.	This cat was, for a cat, needlessly tall, powerful, independent, and masculine.	true	82.82	89.08	22.739267
4519_80189_000005_000001	Once, long ago, he had been a roly-poly pepper-and-salt kitten; he had a home in those days, and a name, "Gipsy," which he abundantly justified.	Once, long ago, he had been a roly poly pepper and salt kitten; he had a home in those days, and a name, "Gipsy," which he abundantly justified.	true	89.51	99.64	23.248898
4519_80189_000005_000002	He was precocious in dissipation.	He was precocious in dissipation.	true	100.13	102.37	21.062199
4519_80189_000005_000003	Long before his adolescence, his lack of domesticity was ominous, and he had formed bad companionships.	Long before his adolescence, his lack of domesticity was ominous, and he had formed bad companionships.	true	102.53	109.45	23.577917
4519_80189_000005_000004	Meanwhile, he grew so rangy, and developed such length and power of leg and such traits of character, that the father of the little girl who owned him was almost convincing when he declared that the young cat was half broncho and half Malay pirate--though, in the light of Gipsy's later career, this seems bitterly unfair to even the lowest orders of bronchos and Malay pirates.	Meanwhile, he grew so rangy, and developed such length and power of leg and such traits of character, that the father of the little girl who owned him was almost convincing when he declared that the young cat was half broncho and half Malay pirate-though, in the light of Gipsy's later career, this seems bitterly unfair to even the lowest orders of bronchos and Malay pirates.	true	109.88	132.31	21.782978
4519_80189_000006_000000	No; Gipsy was not the pet for a little girl.	No; Gipsy was not the pet for a little girl.	true	132.89	136.27	22.896437
