459_127522_000000_000000	14	fourteen
459_127522_000001_000000	The First Blow	The First Blow
459_127522_000002_000000	I WAS so pleased at having given the slip to Long John that I began to enjoy myself and look around me with some interest on the strange land that I was in.	I WAS so pleased at having given the slip to Long john that I began to enjoy myself and look around me with some interest on the strange land that I was in.
459_127522_000003_000000	I had crossed a marshy tract full of willows, bulrushes, and odd, outlandish, swampy trees; and I had now come out upon the skirts of an open piece of undulating, sandy country, about a mile long, dotted with a few pines and a great number of contorted trees, not unlike the oak in growth, but pale in the foliage, like willows.	I had crossed a marshy tract full of willows, bulrushes, and odd, outlandish, swampy trees; and I had now come out upon the skirts of an open piece of undulating, sandy country, about a mile long, dotted with a few pines and a great number of contorted trees, not unlike the oak in growth, but pale in the foliage, like willows.
459_127522_000003_000001	On the far side of the open stood one of the hills, with two quaint, craggy peaks shining vividly in the sun.	On the far side of the open stood one of the hills, with two quaint, craggy peaks shining vividly in the sun
459_127522_000004_000000	I now felt for the first time the joy of exploration.	I now felt for the first time the joy of exploration.
459_127522_000004_000001	The isle was uninhabited; my shipmates I had left behind, and nothing lived in front of me but dumb brutes and fowls.	The isle was uninhabited; my shipmates I had left behind, and nothing lived in front of me but dumb brutes and fowls.
459_127522_000004_000002	I turned hither and thither among the trees.	I turned hither and thither among the trees.
459_127522_000004_000003	Here and there were flowering plants, unknown to me; here and there I saw snakes, and one raised his head from a ledge of rock and hissed at me with a noise not unlike the spinning of a top.	Here and there were flowering plants, unknown to me; here and there I saw snakes, and one raised his head from a ledge of rock and hissed at me with a noise not unlike the spinning of a top.
459_127522_000004_000004	Little did I suppose that he was a deadly enemy and that the noise was the famous rattle.	Little did I suppose that he was a deadly enemy and that the noise was the famous rattle.
459_127522_000005_000000	Then I came to a long thicket of these oaklike trees--live, or evergreen, oaks, I heard afterwards they should be called--which grew low along the sand like brambles, the boughs curiously twisted, the foliage compact, like thatch.	Then I came to a long thicket of these oaklike trees-live, or evergreen, oaks, I heard afterwards they should be called-which grew low along the sand like brambles, the boughs curiously twisted, the foliage compact, like thatch.
459_127522_000005_000001	The thicket stretched down from the top of one of the sandy knolls, spreading and growing taller as it went, until it reached the margin of the broad, reedy fen, through which the nearest of the little rivers soaked its way into the anchorage.	The thicket stretched down from the top of one of the sandy knolls, spreading and growing taller as it went, until it reached the margin of the broad, reedy fen, through which the nearest of the little rivers soaked its way into the anchorage.
459_127522_000005_000002	The marsh was steaming in the strong sun, and the outline of the Spy-glass trembled through the haze.	The marsh was steaming in the strong sun, and the outline of the Spy glass trembled through the haze.
459_127522_000006_000000	All at once there began to go a sort of bustle among the bulrushes; a wild duck flew up with a quack, another followed, and soon over the whole surface of the marsh a great cloud of birds hung screaming and circling in the air.	All at once there began to go a sort of bustle among the bulrushes; a wild duck flew up with a quack, another followed, and soon over the whole surface of the marsh a great cloud of birds hung screaming and circling in the air.
459_127522_000006_000001	I judged at once that some of my shipmates must be drawing near along the borders of the fen.	I judged at once that some of my shipmates must be drawing near along the borders of the fen.
459_127522_000006_000002	Nor was I deceived, for soon I heard the very distant and low tones of a human voice, which, as I continued to give ear, grew steadily louder and nearer.	Nor was I deceived, for soon I heard the very distant and low tones of a human voice, which, as I continued to give ear, grew steadily louder and nearer.
459_127522_000007_000000	This put me in a great fear, and I crawled under cover of the nearest live-oak and squatted there, hearkening, as silent as a mouse.	This put me in a great fear, and I crawled under cover of the nearest live oak and squatted there, hearkening, as silent as a mouse.
459_127522_000008_000000	Another voice answered, and then the first voice, which I now recognized to be Silver's, once more took up the story and ran on for a long while in a stream, only now and again interrupted by the other.	Another voice answered, and then the first voice, which I now recognized to be Silver's, once more took up the story and ran on for a long while in a stream, only now and again interrupted by the other.
459_127522_000008_000001	By the sound they must have been talking earnestly, and almost fiercely; but no distinct word came to my hearing.	By the sound they must have been talking earnestly, and almost fiercely; but no distinct word came to my hearing.
459_127522_000009_000000	At last the speakers seemed to have paused and perhaps to have sat down, for not only did they cease to draw any nearer, but the birds themselves began to grow more quiet and to settle again to their places in the swamp.	At last the speakers seemed to have paused and perhaps to have sat down, for not only did they cease to draw any nearer, but the birds themselves began to grow more quiet and to settle again to their places in the swamp.
459_127522_000010_000000	And now I began to feel that I was neglecting my business, that since I had been so foolhardy as to come ashore with these desperadoes, the least I could do was to overhear them at their councils, and that my plain and obvious duty was to draw as close as I could manage, under the favourable ambush of the crouching trees.	And now I began to feel that I was neglecting my business, that since I had been so foolhardy as to come ashore with these desperadoes, the least I could do was to overhear them at their councils, and that my plain and obvious duty was to draw as close as I could manage, under the favourable ambush of the crouching trees.
