369_125882_000007_000000	CHAPTER 35	CHAPTER thirty five
369_125882_000008_000000	In the Shark's body Pinocchio finds whom?	In the Shark's body Pinocchio finds whom?
369_125882_000010_000000	As he walked his feet splashed in a pool of greasy and slippery water, which had such a heavy smell of fish fried in oil that Pinocchio thought it was Lent.	As he walked his feet splashed in a pool of greasy and slippery water, which had such a heavy smell of fish fried in oil that Pinocchio thought it was Lent.
369_125882_000011_000000	The farther on he went, the brighter and clearer grew the tiny light.	The farther on he went, the brighter and clearer grew the tiny light.
369_125882_000011_000001	On and on he walked till finally he found--I give you a thousand guesses, my dear children!	On and on he walked till finally he found-I give you a thousand guesses, my dear children!
369_125882_000011_000003	They wriggled so that, now and again, one of them slipped out of the old man's mouth and escaped into the darkness under the table.	They wriggled so that, now and again, one of them slipped out of the old man's mouth and escaped into the darkness under the table.
369_125882_000012_000000	At this sight, the poor Marionette was filled with such great and sudden happiness that he almost dropped in a faint.	At this sight, the poor Marionette was filled with such great and sudden happiness that he almost dropped in a faint.
369_125882_000012_000001	He wanted to laugh, he wanted to cry, he wanted to say a thousand and one things, but all he could do was to stand still, stuttering and stammering brokenly.	He wanted to laugh, he wanted to cry, he wanted to say a thousand and one things, but all he could do was to stand still, stuttering and stammering brokenly.
369_125882_000014_000001	"Are you really my own dear Pinocchio?"	"Are you really my own dear Pinocchio?"
369_125882_000015_000000	"Yes, yes, yes!	"Yes, yes, yes!
369_125882_000015_000001	It is I! Look at me!	It is I! Look at me!
369_125882_000015_000002	And you have forgiven me, haven't you?	And you have forgiven me, haven't you?
369_125882_000015_000003	Oh, my dear Father, how good you are!	Oh, my dear Father, how good you are!
369_125882_000015_000004	And to think that I--Oh, but if you only knew how many misfortunes have fallen on my head and how many troubles I have had!	And to think that I-Oh, but if you only knew how many misfortunes have fallen on my head and how many troubles I have had!
369_125882_000015_000005	Just think that on the day you sold your old coat to buy me my A-B-C book so that I could go to school, I ran away to the Marionette Theater and the proprietor caught me and wanted to burn me to cook his roast lamb!	Just think that on the day you sold your old coat to buy me my A B C book so that I could go to school, I ran away to the Marionette Theater and the proprietor caught me and wanted to burn me to cook his roast lamb!
