724_123284_000002_000000	CHAPTER XXXI.	CHAPTER thirty one.
724_123284_000004_000000	The next morning I awoke feeling perfectly well.	The next morning I awoke feeling perfectly well.
724_123284_000005_000000	I came back to breakfast with a good appetite.	I came back to breakfast with a good appetite.
724_123284_000005_000001	Hans was a good caterer for our little household; he had water and fire at his disposal, so that he was able to vary our bill of fare now and then. For dessert he gave us a few cups of coffee, and never was coffee so delicious.	Hans was a good caterer for our little household; he had water and fire at his disposal, so that he was able to vary our bill of fare now and then. For dessert he gave us a few cups of coffee, and never was coffee so delicious.
724_123284_000006_000000	"Now," said my uncle, "now is the time for high tide, and we must not lose the opportunity to study this phenomenon."	"Now," said my uncle, "now is the time for high tide, and we must not lose the opportunity to study this phenomenon."
724_123284_000007_000000	"What! the tide!" I cried.	"What! the tide!" I cried.
724_123284_000007_000001	"Can the influence of the sun and moon be felt down here?"	"Can the influence of the sun and moon be felt down here?"
724_123284_000008_000000	"Why not?	"Why not?
724_123284_000008_000002	This mass of water cannot escape the general law.	This mass of water cannot escape the general law.
724_123284_000008_000003	And in spite of the heavy atmospheric pressure on the surface, you will see it rise like the Atlantic itself."	And in spite of the heavy atmospheric pressure on the surface, you will see it rise like the Atlantic itself."
724_123284_000010_000000	"Here is the tide rising," I cried.	"Here is the tide rising," I cried.
724_123284_000012_000000	"This is wonderful," I said.	"This is wonderful," I said.
724_123284_000014_000001	Who would ever have imagined, under this terrestrial crust, an ocean with ebbing and flowing tides, with winds and storms?"	Who would ever have imagined, under this terrestrial crust, an ocean with ebbing and flowing tides, with winds and storms?"
724_123284_000015_000000	"Well," replied my uncle, "is there any scientific reason against it?"	"Well," replied my uncle, "is there any scientific reason against it?"
724_123284_000019_000000	"To be sure," said I; "and why should not these waters yield to us fishes of unknown species?"	"To be sure," said I; "and why should not these waters yield to us fishes of unknown species?"
724_123284_000020_000000	"At any rate," he replied, "we have not seen any yet."	"At any rate," he replied, "we have not seen any yet."
724_123284_000022_000000	"We will try, Axel, for we must penetrate all secrets of these newly discovered regions."	"We will try, Axel, for we must penetrate all secrets of these newly discovered regions."
724_123284_000023_000000	"But where are we, uncle? for I have not yet asked you that question, and your instruments must be able to furnish the answer."	"But where are we, uncle? for I have not yet asked you that question, and your instruments must be able to furnish the answer."
