4848_29108_000000_000000	CHAPTER XXVII.	CHAPTER twenty seven.	false	0.66	26.98	19.125805
4848_29108_000001_000000	It was a hard blow to poor Sellers to see the work on his darling enterprise stop, and the noise and bustle and confusion that had been such refreshment to his soul, sicken and die out.	It was a hard blow to poor Sellers to see the work on his darling enterprise stop, and the noise and bustle and confusion that had been such refreshment to his soul, sicken and die out.	true	27.92	41.92	18
4848_29108_000001_000001	It was hard to come down to humdrum ordinary life again after being a General Superintendent and the most conspicuous man in the community.	It was hard to come down to humdrum ordinary life again after being a General Superintendent and the most conspicuous man in the community.	true	42.23	52.81	19
4848_29108_000001_000002	It was sad to see his name disappear from the newspapers; sadder still to see it resurrected at intervals, shorn of its aforetime gaudy gear of compliments and clothed on with rhetorical tar and feathers.	It was sad to see his name disappear from the newspapers; sadder still to see it resurrected at intervals, shorn of its aforetime gaudy gear of compliments and clothed on with rhetorical tar and feathers.	true	53.3	69.28	21.49887
4848_29108_000002_000000	But his friends suffered more on his account than he did.	But his friends suffered more on his account than he did.	true	69.74	73.6	19.207886
4848_29108_000002_000001	He was a cork that could not be kept under the water many moments at a time.	He was a cork that could not be kept under the water many moments at a time.	true	73.67	78.46	20
4848_29108_000003_000000	He had to bolster up his wife's spirits every now and then.	He had to bolster up his wife's spirits every now and then.	true	79.07	83.23	18
4848_29108_000003_000001	On one of these occasions he said:	On one of these occasions he said:	true	83.54	86.14	18.585278
4848_29108_000004_000000	"It's all right, my dear, all right; it will all come right in a little while.	"It's all right, my dear, all right; it will all come right in a little while.	true	86.3	90.97	19
4848_29108_000004_000001	There's $200,000 coming, and that will set things booming again: Harry seems to be having some difficulty, but that's to be expected--you can't move these big operations to the tune of Fisher's Hornpipe, you know.	There's two hundred thousand dollars coming, and that will set things booming again: Harry seems to be having some difficulty, but that's to be expected-you can't move these big operations to the tune of Fisher's Hornpipe, you know.	true	91.22	106.63	20
4848_29108_000004_000002	But Harry will get it started along presently, and then you'll see!	But Harry will get it started along presently, and then you'll see!	true	107	111.31	17
4848_29108_000004_000003	I expect the news every day now."	I expect the news every day now."	true	111.38	113.8	19.669943
4848_29108_000005_000000	"But Beriah, you've been expecting it every day, all along, haven't you?"	"But Beriah, you've been expecting it every day, all along, haven't you?"	false	114.11	118.6	18
4848_29108_000006_000000	"Well, yes; yes--I don't know but I have.	"Well, yes; yes-I don't know but I have.	true	118.7	122.44	19.897661
4848_29108_000006_000001	But anyway, the longer it's delayed, the nearer it grows to the time when it will start--same as every day you live brings you nearer to--nearer--"	But anyway, the longer it's delayed, the nearer it grows to the time when it will start-same as every day you live brings you nearer to-nearer-"	false	122.72	133.87	19.485628
4848_29108_000007_000000	"The grave?"	"The grave?"	true	134.12	135.16	26.18737
4848_29108_000008_000000	"Well, no--not that exactly; but you can't understand these things, Polly dear--women haven't much head for business, you know.	"Well, no-not that exactly; but you can't understand these things, Polly dear-women haven't much head for business, you know.	true	135.23	144.97	21.689669
4848_29108_000008_000001	You make yourself perfectly comfortable, old lady, and you'll see how we'll trot this right along.	You make yourself perfectly comfortable, old lady, and you'll see how we'll trot this right along.	false	145.25	151.18	19
4848_29108_000008_000002	Why bless you, let the appropriation lag, if it wants to--that's no great matter--there's a bigger thing than that."	Why bless you, let the appropriation lag, if it wants to-that's no great matter-there's a bigger thing than that."	true	151.37	159.01	21.380283
4848_29108_000009_000000	"Bigger than $200,000, Beriah?"	"Bigger than two hundred thousand dollars, Beriah?"	false	159.35	162.57	21.17327
4848_29108_000010_000000	"Bigger, child?--why, what's $200,000?	"Bigger, child?--why, what's two hundred thousand dollars?	true	162.57	166.11	24
4848_29108_000010_000001	Pocket money!	Pocket money!	true	166.11	167.145	25.638344
4848_29108_000010_000002	Mere pocket money! Look at the railroad!	Mere pocket money! Look at the railroad!	true	167.145	170.1	24.32759
4848_29108_000010_000003	Did you forget the railroad?	Did you forget the railroad?	true	170.1	171.91	23.798088
4848_29108_000010_000004	It ain't many months till spring; it will be coming right along, and the railroad swimming right along behind it.	It ain't many months till spring; it will be coming right along, and the railroad swimming right along behind it.	true	172.1	179.11	17
4848_29108_000010_000005	Where'll it be by the middle of summer?	Where'll it be by the middle of summer?	true	179.15	181.42	20.974695
4848_29108_000010_000006	Just stop and fancy a moment--just think a little--don't anything suggest itself? Bless your heart, you dear women live right in the present all the time--but a man, why a man lives----	Just stop and fancy a moment-just think a little-don't anything suggest itself? Bless your heart, you dear women live right in the present all the time-but a man, why a man lives----	true	181.67	194.62	20.480349
4848_29108_000011_000000	"In the future, Beriah?	"In the future, Beriah?	true	195.14	197.14	20.382036
4848_29108_000011_000001	But don't we live in the future most too much, Beriah?	But don't we live in the future most too much, Beriah?	false	197.45	201.57	22.790121
4848_29108_000011_000002	We do somehow seem to manage to live on next year's crop of corn and potatoes as a general thing while this year is still dragging along, but sometimes it's not a robust diet,--Beriah.	We do somehow seem to manage to live on next year's crop of corn and potatoes as a general thing while this year is still dragging along, but sometimes it's not a robust diet,--Beriah.	false	201.57	215.16	17
4848_29108_000011_000003	But don't look that way, dear--don't mind what I say.	But don't look that way, dear-don't mind what I say.	false	215.16	219.13	16.813187
4848_29108_000011_000004	I don't mean to fret, I don't mean to worry; and I don't, once a month, do I, dear?	I don't mean to fret, I don't mean to worry; and I don't, once a month, do I, dear?	false	219.68	225.24	18.268324
4848_29108_000011_000005	But when I get a little low and feel bad, I get a bit troubled and worrisome, but it don't mean anything in the world.	But when I get a little low and feel bad, I get a bit troubled and worrisome, but it don't mean anything in the world.	true	225.24	232.935	19.916338
4848_29108_000011_000006	It passes right away.	It passes right away.	true	232.935	234.52	19.526972
