724_123285_000003_000000	CHAPTER XXXII.	CHAPTER thirty two.
724_123285_000005_000000	On the 13th of August we awoke early.	On the thirteenth of August we awoke early.
724_123285_000005_000001	We were now to begin to adopt a mode of travelling both more expeditious and less fatiguing than hitherto.	We were now to begin to adopt a mode of travelling both more expeditious and less fatiguing than hitherto.
724_123285_000006_000000	A mast was made of two poles spliced together, a yard was made of a third, a blanket borrowed from our coverings made a tolerable sail. There was no want of cordage for the rigging, and everything was well and firmly made.	A mast was made of two poles spliced together, a yard was made of a third, a blanket borrowed from our coverings made a tolerable sail. There was no want of cordage for the rigging, and everything was well and firmly made.
724_123285_000007_000000	The provisions, the baggage, the instruments, the guns, and a good quantity of fresh water from the rocks around, all found their proper places on board; and at six the Professor gave the signal to embark. Hans had fitted up a rudder to steer his vessel.	The provisions, the baggage, the instruments, the guns, and a good quantity of fresh water from the rocks around, all found their proper places on board; and at six the Professor gave the signal to embark. Hans had fitted up a rudder to steer his vessel.
724_123285_000007_000001	He took the tiller, and unmoored; the sail was set, and we were soon afloat.	He took the tiller, and unmoored; the sail was set, and we were soon afloat.
724_123285_000007_000002	At the moment of leaving the harbour, my uncle, who was tenaciously fond of naming his new discoveries, wanted to give it a name, and proposed mine amongst others.	At the moment of leaving the harbour, my uncle, who was tenaciously fond of naming his new discoveries, wanted to give it a name, and proposed mine amongst others.
724_123285_000008_000000	"But I have a better to propose," I said: "Grauben.	"But I have a better to propose," I said: "Grauben.
724_123285_000011_000000	The wind was from the north-west.	The wind was from the north-west.
724_123285_000011_000001	We went with it at a high rate of speed.	We went with it at a high rate of speed.
724_123285_000011_000002	The dense atmosphere acted with great force and impelled us swiftly on.	The dense atmosphere acted with great force and impelled us swiftly on.
724_123285_000012_000001	At this rate, he said, we shall make thirty leagues in twenty-four hours, and we shall soon come in sight of the opposite shore.	At this rate, he said, we shall make thirty leagues in twenty four hours, and we shall soon come in sight of the opposite shore.
724_123285_000013_000000	I made no answer, but went and sat forward.	I made no answer, but went and sat forward.
724_123285_000013_000002	The eastern and western strands spread wide as if to bid us farewell.	The eastern and western strands spread wide as if to bid us farewell.
724_123285_000013_000003	Before our eyes lay far and wide a vast sea; shadows of great clouds swept heavily over its silver-grey surface; the glistening bluish rays of electric light, here and there reflected by the dancing drops of spray, shot out little sheaves of light from the track we left in our rear.	Before our eyes lay far and wide a vast sea; shadows of great clouds swept heavily over its silver grey surface; the glistening bluish rays of electric light, here and there reflected by the dancing drops of spray, shot out little sheaves of light from the track we left in our rear.
724_123285_000013_000004	Soon we entirely lost sight of land; no object was left for the eye to judge by, and but for the frothy track of the raft, I might have thought we were standing still.	Soon we entirely lost sight of land; no object was left for the eye to judge by, and but for the frothy track of the raft, I might have thought we were standing still.
724_123285_000014_000001	I was aware of the great powers of vegetation that characterise these plants, which grow at a depth of twelve thousand feet, reproduce themselves under a pressure of four hundred atmospheres, and sometimes form barriers strong enough to impede the course of a ship.	I was aware of the great powers of vegetation that characterise these plants, which grow at a depth of twelve thousand feet, reproduce themselves under a pressure of four hundred atmospheres, and sometimes form barriers strong enough to impede the course of a ship.
724_123285_000017_000000	Evening came, and, as on the previous day, I perceived no change in the luminous condition of the air.	Evening came, and, as on the previous day, I perceived no change in the luminous condition of the air.
724_123285_000017_000001	It was a constant condition, the permanency of which might be relied upon.	It was a constant condition, the permanency of which might be relied upon.
724_123285_000018_000000	After supper I laid myself down at the foot of the mast, and fell asleep in the midst of fantastic reveries.	After supper I laid myself down at the foot of the mast, and fell asleep in the midst of fantastic reveries.
724_123285_000019_000000	Hans, keeping fast by the helm, let the raft run on, which, after all, needed no steering, the wind blowing directly aft.	Hans, keeping fast by the helm, let the raft run on, which, after all, needed no steering, the wind blowing directly aft.
724_123285_000021_000000	I shall therefore reproduce here these daily notes, written, so to speak, as the course of events directed, in order to furnish an exact narrative of our passage.	I shall therefore reproduce here these daily notes, written, so to speak, as the course of events directed, in order to furnish an exact narrative of our passage.
724_123285_000022_000003	Nothing in sight before us.	Nothing in sight before us.
724_123285_000022_000004	Intensity of light the same.	Intensity of light the same.
724_123285_000022_000005	Weather fine; that is to say, that the clouds are flying high, are light, and bathed in a white atmosphere resembling silver in a state of fusion.	Weather fine; that is to say, that the clouds are flying high, are light, and bathed in a white atmosphere resembling silver in a state of fusion.
724_123285_000023_000000	At noon Hans prepared a hook at the end of a line.	At noon Hans prepared a hook at the end of a line.
724_123285_000023_000001	He baited it with a small piece of meat and flung it into the sea.	He baited it with a small piece of meat and flung it into the sea.
724_123285_000023_000002	For two hours nothing was caught.	For two hours nothing was caught.
724_123285_000023_000004	No, there's a pull at the line.	No, there's a pull at the line.
724_123285_000023_000005	Hans draws it in and brings out a struggling fish.	Hans draws it in and brings out a struggling fish.
724_123285_000024_000000	"A sturgeon," I cried; "a small sturgeon."	"A sturgeon," I cried; "a small sturgeon."
724_123285_000025_000000	The Professor eyes the creature attentively, and his opinion differs from mine.	The Professor eyes the creature attentively, and his opinion differs from mine.
724_123285_000026_000000	The head of this fish was flat, but rounded in front, and the anterior part of its body was plated with bony, angular scales; it had no teeth, its pectoral fins were large, and of tail there was none.	The head of this fish was flat, but rounded in front, and the anterior part of its body was plated with bony, angular scales; it had no teeth, its pectoral fins were large, and of tail there was none.
724_123285_000026_000001	The animal belonged to the same order as the sturgeon, but differed from that fish in many essential particulars.	The animal belonged to the same order as the sturgeon, but differed from that fish in many essential particulars.
724_123285_000027_000000	"This fish belongs to an extinct family, of which only fossil traces are found in the devonian formations."	"This fish belongs to an extinct family, of which only fossil traces are found in the devonian formations."
724_123285_000028_000000	"What!" I cried.	"What!" I cried.
724_123285_000029_000001	To have in one's possession a living specimen is a happy event for a naturalist."	To have in one's possession a living specimen is a happy event for a naturalist."
724_123285_000030_000000	"But to what family does it belong?"	"But to what family does it belong?"
724_123285_000031_000001	But this one displays a peculiarity confined to all fishes that inhabit subterranean waters.	But this one displays a peculiarity confined to all fishes that inhabit subterranean waters.
724_123285_000032_000000	I looked: nothing could be more certain.	I looked: nothing could be more certain.
724_123285_000032_000001	But supposing it might be a solitary case, we baited afresh, and threw out our line.	But supposing it might be a solitary case, we baited afresh, and threw out our line.
724_123285_000032_000003	This unhoped-for catch recruited our stock of provisions.	This unhoped for catch recruited our stock of provisions.
724_123285_000033_000000	Thus it is evident that this sea contains none but species known to us in their fossil state, in which fishes as well as reptiles are the less perfectly and completely organised the farther back their date of creation.	Thus it is evident that this sea contains none but species known to us in their fossil state, in which fishes as well as reptiles are the less perfectly and completely organised the farther back their date of creation.
724_123285_000034_000000	Perhaps we may yet meet with some of those saurians which science has reconstructed out of a bit of bone or cartilage.	Perhaps we may yet meet with some of those saurians which science has reconstructed out of a bit of bone or cartilage.
724_123285_000034_000001	I took up the telescope and scanned the whole horizon, and found it everywhere a desert sea.	I took up the telescope and scanned the whole horizon, and found it everywhere a desert sea.
724_123285_000035_000000	I gaze upward in the air.	I gaze upward in the air.
724_123285_000035_000002	There are sufficient fish for their support.	There are sufficient fish for their support.
724_123285_000035_000003	I survey the whole space that stretches overhead; it is as desert as the shore was.	I survey the whole space that stretches overhead; it is as desert as the shore was.
724_123285_000036_000001	Though awake I fell into a dream.	Though awake I fell into a dream.
724_123285_000036_000002	I thought I could see floating on the surface of the waters enormous chelonia, pre-adamite tortoises, resembling floating islands.	I thought I could see floating on the surface of the waters enormous chelonia, pre adamite tortoises, resembling floating islands.
724_123285_000036_000006	Higher up, the protopitheca--the first monkey that appeared on the globe--is climbing up the steep ascents.	Higher up, the protopitheca-the first monkey that appeared on the globe-is climbing up the steep ascents.
724_123285_000036_000008	In the uppermost regions of the air immense birds, more powerful than the cassowary, and larger than the ostrich, spread their vast breadth of wings and strike with their heads the granite vault that bounds the sky.	In the uppermost regions of the air immense birds, more powerful than the cassowary, and larger than the ostrich, spread their vast breadth of wings and strike with their heads the granite vault that bounds the sky.
724_123285_000037_000001	I return to the scriptural periods or ages of the world, conventionally called 'days,' long before the appearance of man, when the unfinished world was as yet unfitted for his support.	I return to the scriptural periods or ages of the world, conventionally called 'days,' long before the appearance of man, when the unfinished world was as yet unfitted for his support.
724_123285_000037_000003	The mammals disappear, then the birds vanish, then the reptiles of the secondary period, and finally the fish, the crustaceans, molluscs, and articulated beings.	The mammals disappear, then the birds vanish, then the reptiles of the secondary period, and finally the fish, the crustaceans, molluscs, and articulated beings.
724_123285_000037_000004	Then the zoophytes of the transition period also return to nothing.	Then the zoophytes of the transition period also return to nothing.
724_123285_000037_000007	Vegetation becomes accelerated.	Vegetation becomes accelerated.
724_123285_000039_000000	And I myself am floating with wild caprice in the midst of this nebulous mass of fourteen hundred thousand times the volume of the earth into which it will one day be condensed, and carried forward amongst the planetary bodies.	And I myself am floating with wild caprice in the midst of this nebulous mass of fourteen hundred thousand times the volume of the earth into which it will one day be condensed, and carried forward amongst the planetary bodies.
724_123285_000039_000001	My body is no longer firm and terrestrial; it is resolved into its constituent atoms, subtilised, volatilised.	My body is no longer firm and terrestrial; it is resolved into its constituent atoms, subtilised, volatilised.
724_123285_000040_000000	But is it not a dream?	But is it not a dream?
724_123285_000040_000001	Whither is it carrying me?	Whither is it carrying me?
