8113_301693_000001_000000	III	three
8113_301693_000002_000000	THE SHADOW OF THE THUNDER-OAK	THE SHADOW OF THE THUNDER OAK
8113_301693_000004_000000	Withered leaves still clung to the branches of the oak: torn and faded banners of the departed summer.	Withered leaves still clung to the branches of the oak: torn and faded banners of the departed summer.
8113_301693_000004_000001	The bright crimson of autumn had long since disappeared, bleached away by the storms and the cold.	The bright crimson of autumn had long since disappeared, bleached away by the storms and the cold.
8113_301693_000004_000002	But to-night these tattered remnants of glory were red again: ancient bloodstains against the dark-blue sky.	But to night these tattered remnants of glory were red again: ancient bloodstains against the dark blue sky.
8113_301693_000005_000001	Seen against that glowing background, it was but the silhouette of a crowd, vague, black, formless, mysterious.	Seen against that glowing background, it was but the silhouette of a crowd, vague, black, formless, mysterious.
8113_301693_000006_000000	The travellers paused for a moment at the edge of the thicket, and took counsel together.	The travellers paused for a moment at the edge of the thicket, and took counsel together.
8113_301693_000007_000000	"It is the assembly of the tribe," said one of the foresters, "the great night of the council.	"It is the assembly of the tribe," said one of the foresters, "the great night of the council.
8113_301693_000007_000001	I heard of it three days ago, as we passed through one of the villages.	I heard of it three days ago, as we passed through one of the villages.
8113_301693_000007_000002	All who swear by the old gods have been summoned.	All who swear by the old gods have been summoned.
8113_301693_000007_000004	It will be at the peril of our lives if we approach them.	It will be at the peril of our lives if we approach them.
8113_301693_000007_000005	At least we must hide the cross, if we would escape death."	At least we must hide the cross, if we would escape death."
8113_301693_000008_000002	I have seen it in a dream.	I have seen it in a dream.
8113_301693_000008_000003	Here the cross must stand and be our rede."	Here the cross must stand and be our rede."
8113_301693_000009_000001	They approached unnoticed, for all the multitude were looking intently towards the fire at the foot of the oak.	They approached unnoticed, for all the multitude were looking intently towards the fire at the foot of the oak.
8113_301693_000010_000001	A stranger claims the warmth of your fire in the winter night."	A stranger claims the warmth of your fire in the winter night."
8113_301693_000013_000000	The only figure untouched by the glow was the old priest, Hunrad, with his long, spectral robe, flowing hair and beard, and dead-pale face, who stood with his back to the fire and advanced slowly to meet the strangers.	The only figure untouched by the glow was the old priest, Hunrad, with his long, spectral robe, flowing hair and beard, and dead pale face, who stood with his back to the fire and advanced slowly to meet the strangers.
8113_301693_000014_000000	"Who are you?	"Who are you?
8113_301693_000014_000001	Whence come you, and what seek you here?" His voice was heavy and toneless as a muffled bell.	Whence come you, and what seek you here?" His voice was heavy and toneless as a muffled bell.
8113_301693_000016_000001	Canst thou work miracles?"	Canst thou work miracles?"
8113_301693_000017_000000	The question came sharply, as if a sudden gleam of hope had flashed through the tangle of the old priest's mind.	The question came sharply, as if a sudden gleam of hope had flashed through the tangle of the old priest's mind.
8113_301693_000018_000000	"Stand still, then, thou common man," said Hunrad, scornfully, "and behold what the gods have called us hither to do.	"Stand still, then, thou common man," said Hunrad, scornfully, "and behold what the gods have called us hither to do.
8113_301693_000018_000002	This night is the hour of darkness and the power of winter, of sacrifice and mighty fear.	This night is the hour of darkness and the power of winter, of sacrifice and mighty fear.
8113_301693_000020_000001	Thor!	Thor!
8113_301693_000021_000001	The old priest stood silent for a moment.	The old priest stood silent for a moment.
