8113_301693_000000_000000	[Illustration--The sacred hammer of the god Thor]	[Illustration-The sacred hammer of the god Thor]	false	1.53	11.52	20.514711
8113_301693_000001_000000	III	three	true	11.52	12.22	26.043623
8113_301693_000002_000000	THE SHADOW OF THE THUNDER-OAK	THE SHADOW OF THE THUNDER OAK	true	12.47	15	22.45538
8113_301693_000003_000000	III	three	false	15	15.21	8
8113_301693_000004_000000	Withered leaves still clung to the branches of the oak: torn and faded banners of the departed summer.	Withered leaves still clung to the branches of the oak: torn and faded banners of the departed summer.	true	15.21	22.75	23.170471
8113_301693_000004_000001	The bright crimson of autumn had long since disappeared, bleached away by the storms and the cold.	The bright crimson of autumn had long since disappeared, bleached away by the storms and the cold.	true	22.91	29.56	20.792603
8113_301693_000004_000002	But to-night these tattered remnants of glory were red again: ancient bloodstains against the dark-blue sky.	But to night these tattered remnants of glory were red again: ancient bloodstains against the dark blue sky.	true	29.57	36.67	22.848927
8113_301693_000004_000003	For an immense fire had been kindled in front of the tree.	For an immense fire had been kindled in front of the tree.	true	36.77	40.27	17
8113_301693_000004_000004	Tongues of ruddy flame, fountains of ruby sparks, ascended through the spreading limbs and flung a fierce illumination upward and around. ward and around.	Tongues of ruddy flame, fountains of ruby sparks, ascended through the spreading limbs and flung a fierce illumination upward and around. ward and around.	false	40.49	51.315	20.892015
8113_301693_000004_000005	The pale, pure moonlight that bathed the surrounding forests was quenched and eclipsed here.	The pale, pure moonlight that bathed the surrounding forests was quenched and eclipsed here.	false	51.315	56.85	21.182304
8113_301693_000004_000006	Not a beam of it sifted down-ward through the branches of the oak.	Not a beam of it sifted down ward through the branches of the oak.	false	56.85	60.96	20.643166
8113_301693_000004_000007	It stood like a pillar of cloud between the still light of heaven and the crackling, flashing fire of earth.	It stood like a pillar of cloud between the still light of heaven and the crackling, flashing fire of earth.	false	60.96	68.97	23.29618
8113_301693_000005_000000	But the fire itself was invisible to Winfried and his companions. A great throng of people were gathered around it in a half-circle, their backs to the open glade, their faces towards the oak.	But the fire itself was invisible to Winfried and his companions. A great throng of people were gathered around it in a half circle, their backs to the open glade, their faces towards the oak.	false	68.97	82.38	21.343971
8113_301693_000005_000001	Seen against that glowing background, it was but the silhouette of a crowd, vague, black, formless, mysterious.	Seen against that glowing background, it was but the silhouette of a crowd, vague, black, formless, mysterious.	true	82.38	91.3	25.049114
8113_301693_000006_000000	The travellers paused for a moment at the edge of the thicket, and took counsel together.	The travellers paused for a moment at the edge of the thicket, and took counsel together.	true	91.52	96.61	21.499079
8113_301693_000007_000000	"It is the assembly of the tribe," said one of the foresters, "the great night of the council.	"It is the assembly of the tribe," said one of the foresters, "the great night of the council.	true	96.71	102.87	22.30469
8113_301693_000007_000001	I heard of it three days ago, as we passed through one of the villages.	I heard of it three days ago, as we passed through one of the villages.	true	102.87	107.05	21.143063
8113_301693_000007_000002	All who swear by the old gods have been summoned.	All who swear by the old gods have been summoned.	true	107.21	110.38	23.702633
8113_301693_000007_000003	They will sacrifice a steed to the god of war, and drink blood, and eat horse-flesh to make them strong.	They will sacrifice a steed to the god of war, and drink blood, and eat horse flesh to make them strong.	false	110.63	117.85	22.909307
8113_301693_000007_000004	It will be at the peril of our lives if we approach them.	It will be at the peril of our lives if we approach them.	true	117.92	120.94	21.388876
8113_301693_000007_000005	At least we must hide the cross, if we would escape death."	At least we must hide the cross, if we would escape death."	true	121.1	124.87	25.516052
8113_301693_000008_000000	"Hide me no cross," cried Winfried, lifting his staff, "for I have come to show it, and to make these blind folk see its power.	"Hide me no cross," cried Winfried, lifting his staff, "for I have come to show it, and to make these blind folk see its power.	false	125.03	133.455	23.65355
8113_301693_000008_000001	There is more to be done here to-night than the slaying of a steed, and a greater evil to be stayed than the shameful eating of meat sacrificed to idols.	There is more to be done here to night than the slaying of a steed, and a greater evil to be stayed than the shameful eating of meat sacrificed to idols.	false	133.455	142.05	20
8113_301693_000008_000002	I have seen it in a dream.	I have seen it in a dream.	true	142.05	143.92	20.17663
8113_301693_000008_000003	Here the cross must stand and be our rede."	Here the cross must stand and be our rede."	true	143.93	147.64	21.579222
