2775_160958_000002_000000	BEAUTY AND THE BEAST	BEAUTY AND THE BEAST
2775_160958_000003_000000	ADAPTED BY E. NESBIT	ADAPTED BY e NESBIT
2775_160958_000004_000000	Once upon a time there was a rich merchant, who had three daughters. They lived in a very fine house in a beautiful city, and had many servants in grand liveries to wait upon them.	Once upon a time there was a rich merchant, who had three daughters. They lived in a very fine house in a beautiful city, and had many servants in grand liveries to wait upon them.
2775_160958_000005_000000	The two eldest were called Marigold and Dressalinda.	The two eldest were called Marigold and Dressalinda.
2775_160958_000005_000001	Never a day passed but these two went out to some feast or junketing; but Beauty, the youngest, loved to stay at home and keep her old father company.	Never a day passed but these two went out to some feast or junketing; but Beauty, the youngest, loved to stay at home and keep her old father company.
2775_160958_000006_000000	Now, it happened that misfortune came upon the merchant.	Now, it happened that misfortune came upon the merchant.
2775_160958_000007_000000	There was still left to him a little house in the country, and to this, when everything else had been sold, he retired.	There was still left to him a little house in the country, and to this, when everything else had been sold, he retired.
2775_160958_000007_000001	His three daughters, of course, went with him.	His three daughters, of course, went with him.
2775_160958_000008_000000	Marigold and Dressalinda were very cross to think that they had lost all their money, and after being so rich and sought after, they must now live in a miserable cottage.	Marigold and Dressalinda were very cross to think that they had lost all their money, and after being so rich and sought after, they must now live in a miserable cottage.
2775_160958_000009_000000	But Beauty's only thought was to cheer her old father, and while her two sisters sat on wooden chairs and cried and bewailed themselves, Beauty lighted the fire and got the supper ready, for the merchant was now so poor that he could not even keep a servant.	But Beauty's only thought was to cheer her old father, and while her two sisters sat on wooden chairs and cried and bewailed themselves, Beauty lighted the fire and got the supper ready, for the merchant was now so poor that he could not even keep a servant.
2775_160958_000010_000001	The two eldest sisters would do nothing but sulk in corners, while Beauty swept the floors and washed the dishes, and did her best to make the poor cottage pleasant.	The two eldest sisters would do nothing but sulk in corners, while Beauty swept the floors and washed the dishes, and did her best to make the poor cottage pleasant.
2775_160958_000010_000002	They led their sister a dreadful life too, with their complaints, for not only did they refuse to do anything themselves, but they said that everything she did was done wrong.	They led their sister a dreadful life too, with their complaints, for not only did they refuse to do anything themselves, but they said that everything she did was done wrong.
2775_160958_000010_000003	But Beauty bore all their unkindness patiently, for her father's sake.	But Beauty bore all their unkindness patiently, for her father's sake.
2775_160958_000013_000000	"My dear children," he said, "at last our luck has turned.	"My dear children," he said, "at last our luck has turned.
2775_160958_000013_000002	We shall not be so rich as before, but we shall have enough to keep us in comfort.	We shall not be so rich as before, but we shall have enough to keep us in comfort.
