2775_160958_000000_000000	So now nothing was wanting to the happiness of the Prince and his bride as long as they lived.	So now nothing was wanting to the happiness of the Prince and his bride as long as they lived.	false	8.04	25.68	20.491474
2775_160958_000001_000000	FRENCH STORIES	FRENCH STORIES	false	25.68	26.49	25.54571
2775_160958_000002_000000	BEAUTY AND THE BEAST	BEAUTY AND THE BEAST	true	26.49	28.03	29.662682
2775_160958_000003_000000	ADAPTED BY E. NESBIT	ADAPTED BY e NESBIT	true	28.1	30.25	31.392742
2775_160958_000004_000000	Once upon a time there was a rich merchant, who had three daughters. They lived in a very fine house in a beautiful city, and had many servants in grand liveries to wait upon them.	Once upon a time there was a rich merchant, who had three daughters. They lived in a very fine house in a beautiful city, and had many servants in grand liveries to wait upon them.	true	31.64	44.77	22.086624
2775_160958_000004_000001	All their food was served on gold and silver dishes, and their gowns were made of the richest stuff sewn with jewels.	All their food was served on gold and silver dishes, and their gowns were made of the richest stuff sewn with jewels.	true	45.11	52.96	19
2775_160958_000005_000000	The two eldest were called Marigold and Dressalinda.	The two eldest were called Marigold and Dressalinda.	true	53.57	57.01	22.38425
2775_160958_000005_000001	Never a day passed but these two went out to some feast or junketing; but Beauty, the youngest, loved to stay at home and keep her old father company.	Never a day passed but these two went out to some feast or junketing; but Beauty, the youngest, loved to stay at home and keep her old father company.	true	57.14	66.1	23.392412
2775_160958_000006_000000	Now, it happened that misfortune came upon the merchant.	Now, it happened that misfortune came upon the merchant.	true	66.62	70.27	24.504421
2775_160958_000006_000001	Ships of his which were sailing the high seas laden with merchandise of great price, were wrecked, and in one day he found that he was no longer the richest merchant in the city, but a very poor man.	Ships of his which were sailing the high seas laden with merchandise of great price, were wrecked, and in one day he found that he was no longer the richest merchant in the city, but a very poor man.	true	70.43	82	18
2775_160958_000007_000000	There was still left to him a little house in the country, and to this, when everything else had been sold, he retired.	There was still left to him a little house in the country, and to this, when everything else had been sold, he retired.	true	82.64	89.29	21.89169
2775_160958_000007_000001	His three daughters, of course, went with him.	His three daughters, of course, went with him.	true	89.51	91.84	20.884853
2775_160958_000008_000000	Marigold and Dressalinda were very cross to think that they had lost all their money, and after being so rich and sought after, they must now live in a miserable cottage.	Marigold and Dressalinda were very cross to think that they had lost all their money, and after being so rich and sought after, they must now live in a miserable cottage.	true	92.54	102.4	20
2775_160958_000009_000000	But Beauty's only thought was to cheer her old father, and while her two sisters sat on wooden chairs and cried and bewailed themselves, Beauty lighted the fire and got the supper ready, for the merchant was now so poor that he could not even keep a servant.	But Beauty's only thought was to cheer her old father, and while her two sisters sat on wooden chairs and cried and bewailed themselves, Beauty lighted the fire and got the supper ready, for the merchant was now so poor that he could not even keep a servant.	true	102.71	117.58	22.664185
2775_160958_000010_000000	And so it went on.	And so it went on.	true	117.95	119.26	16.05192
2775_160958_000010_000001	The two eldest sisters would do nothing but sulk in corners, while Beauty swept the floors and washed the dishes, and did her best to make the poor cottage pleasant.	The two eldest sisters would do nothing but sulk in corners, while Beauty swept the floors and washed the dishes, and did her best to make the poor cottage pleasant.	true	119.6	128.23	21
2775_160958_000010_000002	They led their sister a dreadful life too, with their complaints, for not only did they refuse to do anything themselves, but they said that everything she did was done wrong.	They led their sister a dreadful life too, with their complaints, for not only did they refuse to do anything themselves, but they said that everything she did was done wrong.	true	128.57	137.86	21
2775_160958_000010_000003	But Beauty bore all their unkindness patiently, for her father's sake.	But Beauty bore all their unkindness patiently, for her father's sake.	true	138.11	142.3	24.213665
2775_160958_000011_000000	In this way a whole year went by, and then one day a letter came for the merchant.	In this way a whole year went by, and then one day a letter came for the merchant.	true	142.7	147.4	16.995216
2775_160958_000012_000000	He hastened to find his daughters, for he was anxious to tell them the good news contained in the letter.	He hastened to find his daughters, for he was anxious to tell them the good news contained in the letter.	true	147.74	152.83	18
2775_160958_000013_000000	"My dear children," he said, "at last our luck has turned.	"My dear children," he said, "at last our luck has turned.	true	153.47	157.39	22.464945
2775_160958_000013_000001	This letter says that one of the ships supposed to have been lost has come safely home to port, and if that be so, we need no longer live in poverty.	This letter says that one of the ships supposed to have been lost has come safely home to port, and if that be so, we need no longer live in poverty.	false	157.55	165.31	20
2775_160958_000013_000002	We shall not be so rich as before, but we shall have enough to keep us in comfort.	We shall not be so rich as before, but we shall have enough to keep us in comfort.	true	165.44	169.53	25.295229
2775_160958_000013_000003	Get me my traveling-cloak, Beauty.	Get me my traveling cloak, Beauty.	true	169.53	171.52	26.353592
2775_160958_000013_000004	I will set out at once to claim my ship.	I will set out at once to claim my ship.	true	171.53	173.895	28.06947
2775_160958_000013_000005	And now tell me, girls, what shall I bring you when I come back?"	And now tell me, girls, what shall I bring you when I come back?"	true	173.895	176.92	25
2775_160958_000014_000000	"A hundred pounds," said Marigold, without hesitating an instant.	"A hundred pounds," said Marigold, without hesitating an instant.	true	177.08	180.64	19
2775_160958_000015_000000	"I want a new silk dress," said Dressalinda, "an apple-green one, sewn with seed-pearls, and green shoes with red heels, and a necklace of emeralds, and a box of gloves."	"I want a new silk dress," said Dressalinda, "an apple green one, sewn with seed pearls, and green shoes with red heels, and a necklace of emeralds, and a box of gloves."	true	180.8	189.31	21
2775_160958_000016_000000	"And what shall I bring for you, my Beauty?" asked the father, as his little daughter helped him to put on his traveling-cloak.	"And what shall I bring for you, my Beauty?" asked the father, as his little daughter helped him to put on his traveling cloak.	true	189.83	195.88	21.86055
2775_160958_000017_000000	"Oh, bring me a rose," said Beauty hastily.	"Oh, bring me a rose," said Beauty hastily.	true	196.04	199.03	21.296843
2775_160958_000018_000000	Her father kissed her fondly, and set out.	Her father kissed her fondly, and set out.	true	199.19	201.64	21.6669
2775_160958_000019_000000	"You silly girl," said Marigold, "you just want our father to think you are more unselfish than we are--that's what you want!	"You silly girl," said Marigold, "you just want our father to think you are more unselfish than we are-that's what you want!	true	202.16	208.56	20
2775_160958_000019_000001	A rose, indeed!"	A rose, indeed!"	false	208.56	210.13	22.054237
2775_160958_000020_000000	"Indeed, sister," said Beauty, "that was not the reason.	"Indeed, sister," said Beauty, "that was not the reason.	true	210.17	213.49	26.153229
2775_160958_000020_000001	I thought our father would have enough to do in seeing to the safety of his ship, without being troubled to do shopping for me."	I thought our father would have enough to do in seeing to the safety of his ship, without being troubled to do shopping for me."	true	213.56	219.19	17
2775_160958_000021_000000	But the sisters were very much offended, and went off to sit in their own room to talk of the fine things they would have when their father came back.	But the sisters were very much offended, and went off to sit in their own room to talk of the fine things they would have when their father came back.	false	219.5	226.87	20
2775_160958_000022_000000	In the meantime the merchant went his way to the city, full of hope and great plans as to what he would do with his money.	In the meantime the merchant went his way to the city, full of hope and great plans as to what he would do with his money.	true	227.3	233.47	22
2775_160958_000023_000000	But when he got there, he found that some one had played a trick on him, and no ship of his had come into harbor, so he was just as badly off as before.	But when he got there, he found that some one had played a trick on him, and no ship of his had come into harbor, so he was just as badly off as before.	true	233.87	241.78	23
2775_160958_000024_000000	He spent the whole day looking about to make sure there was no truth in the letter he had received, and it was beginning to get dusk when he started out, with a sad heart, to make the journey home again.	He spent the whole day looking about to make sure there was no truth in the letter he had received, and it was beginning to get dusk when he started out, with a sad heart, to make the journey home again.	true	242.12	251.83	20
2775_160958_000024_000001	He was tired and miserable, and he had tasted no food since he left home in the morning.	He was tired and miserable, and he had tasted no food since he left home in the morning.	true	252.11	256.84	17
2775_160958_000025_000000	It was quite dark by the time he came to the great wood through which he had to pass to get to his cottage, and when he saw a light shining through the trees, he decided not to go to his home that night, but to make his way towards the light in the wood and ask for food and shelter.	It was quite dark by the time he came to the great wood through which he had to pass to get to his cottage, and when he saw a light shining through the trees, he decided not to go to his home that night, but to make his way towards the light in the wood and ask for food and shelter.	false	257.39	271.54	22
2775_160958_000026_000000	He expected to find a woodcutter's cottage, but what was his surprise, as he drew near to the light, to find that it came from the windows of a large and beautiful palace!	He expected to find a woodcutter's cottage, but what was his surprise, as he drew near to the light, to find that it came from the windows of a large and beautiful palace!	false	272.06	281.17	21.51451
2775_160958_000027_000000	He knocked at the gates, but no one answered, and presently, driven by hunger and cold, he made bold to enter, and mounted the marble steps into the great hall.	He knocked at the gates, but no one answered, and presently, driven by hunger and cold, he made bold to enter, and mounted the marble steps into the great hall.	true	281.84	291.01	26.851978
2775_160958_000028_000000	All the way he never saw a soul.	All the way he never saw a soul.	true	291.32	293.5	18.417292
2775_160958_000028_000001	There was a big fire in the hall, and when he had warmed himself, he set out to look for the master of the house.	There was a big fire in the hall, and when he had warmed himself, he set out to look for the master of the house.	true	293.6	299.5	20
2775_160958_000028_000002	But he did not look far, for behind the first door he opened was a cosy little room with supper set for one, a supper the mere look of which made you hungry.	But he did not look far, for behind the first door he opened was a cosy little room with supper set for one, a supper the mere look of which made you hungry.	true	299.57	308.11	20
2775_160958_000029_000000	So the merchant sat down as bold as you please, and made a very hearty supper, after which he again thought he would look for the master of the house.	So the merchant sat down as bold as you please, and made a very hearty supper, after which he again thought he would look for the master of the house.	true	308.66	316.39	20.62103
2775_160958_000030_000000	He started off and opened another door, but there he saw a bed, merely to look at which made you sleepy, so he said to himself:	He started off and opened another door, but there he saw a bed, merely to look at which made you sleepy, so he said to himself:	true	316.67	324.49	23.4509
2775_160958_000031_000000	"This is some fairies' work.	"This is some fairies' work.	true	324.62	326.625	22.91267
2775_160958_000031_000001	I had better not look any farther for the master of the house."	I had better not look any farther for the master of the house."	true	326.625	329.89	20
