1851_151817_000000_000000	"Found what, uncle Phaeton?" asked Waldo, a bit doubtfully.	"Found what, uncle Phaeton?" asked Waldo, a bit doubtfully.	false	0	4.53	23.38592
1851_151817_000001_000000	"The Lost City of the Aztecs, of course!	"The Lost City of the Aztecs, of course!	false	4.53	8.895	23.462954
1851_151817_000001_000001	Oh, glad day, glad day!"	Oh, glad day, glad day!"	false	8.895	10.14	14
1851_151817_000002_000000	"Unless--what if it should prove to be only a--a mirage, uncle Phaeton?" almost timidly ventured Bruno, a moment later.	"Unless-what if it should prove to be only a-a mirage, uncle Phaeton?" almost timidly ventured Bruno, a moment later.	false	10.14	22.08	20.746883
1851_151817_000003_000000	CHAPTER XV.	CHAPTER fifteen.	true	22.08	23.47	23
1851_151817_000003_000001	ASTOUNDING, YET TRUE.	ASTOUNDING, YET TRUE.	true	23.66	25.51	18.546782
1851_151817_000004_000000	The professor gave a great start at this almost reluctant suggestion, shrinking back with a look which fell not far short of being horrified. But then he rallied, forcing a laugh before speaking.	The professor gave a great start at this almost reluctant suggestion, shrinking back with a look which fell not far short of being horrified. But then he rallied, forcing a laugh before speaking.	true	27.98	40.54	23
1851_151817_000005_000000	"No, no, Bruno.	"No, no, Bruno.	false	40.73	42.45	23.338064
1851_151817_000005_000001	All conditions are lacking to form the mirage of the desert.	All conditions are lacking to form the mirage of the desert.	true	42.45	45.61	16
1851_151817_000005_000002	And, too; everything was so distinct and clearly outlined that one could--"	And, too; everything was so distinct and clearly outlined that one could-"	true	45.71	49.72	20
1851_151817_000006_000000	"Fairly feel those blessed bow-arrows tickling a fellow in the short ribs," vigorously declared the younger Gillespie.	"Fairly feel those blessed bow arrows tickling a fellow in the short ribs," vigorously declared the younger Gillespie.	true	50.21	57.34	22.611446
1851_151817_000006_000001	"Not but that--I say, uncle Phaeton?"	"Not but that-I say, uncle Phaeton?"	true	57.68	60.52	23.038048
1851_151817_000007_000000	"What is it now, Waldo?"	"What is it now, Waldo?"	true	61.52	63.04	22.447304
1851_151817_000008_000000	"Reckon they're like any other people?	"Reckon they're like any other people?	true	63.77	65.625	24.635904
1851_151817_000008_000001	Got boys and--and girls among 'em, I wonder?"	Got boys and-and girls among 'em, I wonder?"	true	65.625	68.35	18.43604
1851_151817_000009_000000	"I daresay, yes, why not?" answered Featherwit, scarcely realising what words were being shaped by his lips, while Bruno broke into a brief-lived laugh, more at that half-sheepish expression than at the query itself.	"I daresay, yes, why not?" answered Featherwit, scarcely realising what words were being shaped by his lips, while Bruno broke into a brief lived laugh, more at that half sheepish expression than at the query itself.	false	69.83	83.08	21.782673
1851_151817_000010_000000	"Both boys and girls galore, I expect, Kid; but you needn't borrow trouble on either score.	"Both boys and girls galore, I expect, Kid; but you needn't borrow trouble on either score.	true	83.36	89.05	22.713667
1851_151817_000010_000001	You can outrun the lads, while as for the fairer sex,--well, they'll take precious good care to keep well beyond your reach,--especially if you wear such another fascinating grin as--"	You can outrun the lads, while as for the fairer sex,--well, they'll take precious good care to keep well beyond your reach,--especially if you wear such another fascinating grin as-"	true	89.15	98.5	20
1851_151817_000011_000000	"Oh, you go to thunder, Bruno Gillespie!"	"Oh, you go to thunder, Bruno Gillespie!"	true	99.14	101.88	23
1851_151817_000012_000000	Through all this interchange the air-ship was maintaining a wide sweep, drawing nearer the forest beneath, if only to keep hidden from the eyes of the strange people in yonder deep valley.	Through all this interchange the air ship was maintaining a wide sweep, drawing nearer the forest beneath, if only to keep hidden from the eyes of the strange people in yonder deep valley.	false	101.88	113.14	20.508938
1851_151817_000012_000001	Yet the gaze of Phaeton Featherwit as a rule kept turned towards that particular point, his eyes on fire, his lips twitching, his whole demeanour that of one who feels a discovery of tremendous importance lies just before him.	Yet the gaze of Phaeton Featherwit as a rule kept turned towards that particular point, his eyes on fire, his lips twitching, his whole demeanour that of one who feels a discovery of tremendous importance lies just before him.	true	113.69	127.36	20
1851_151817_000013_000000	"Are we going to land, uncle Phaeton?" queried Bruno, taking note of that preoccupation, which might easily prove dangerous under existing circumstances.	"Are we going to land, uncle Phaeton?" queried Bruno, taking note of that preoccupation, which might easily prove dangerous under existing circumstances.	true	129.17	137.98	22
1851_151817_000014_000000	That question served to recall the professor to more material points, and, after a keen, sweeping look around, he nodded assent.	That question served to recall the professor to more material points, and, after a keen, sweeping look around, he nodded assent.	true	138.83	146.59	20
1851_151817_000015_000000	"Yes, as soon as I can discover or secure a fair chance.	"Yes, as soon as I can discover or secure a fair chance.	true	146.78	150.22	14
1851_151817_000015_000001	I wish to see more--I must secure a fairer view of the--of yonder place."	I wish to see more-I must secure a fairer view of the-of yonder place."	true	150.35	155.26	20.24825
1851_151817_000016_000000	"Will it not be too dangerous, though?	"Will it not be too dangerous, though?	true	156.5	158.52	23.385704
1851_151817_000016_000001	Not for us, especially, uncle, but for the aerostat?	Not for us, especially, uncle, but for the aerostat?	true	158.52	161.92	21.24023
1851_151817_000016_000002	Even if these be not the people you imagine--"	Even if these be not the people you imagine-"	true	161.93	164.77	21.08031
1851_151817_000017_000000	"They are past all doubt a remnant of the ancient Aztecs.	"They are past all doubt a remnant of the ancient Aztecs.	false	165.71	169.605	18
1851_151817_000017_000001	Yonder lies the true Lost City, and we are--oh, try to comprehend all that statement means, my lads!	Yonder lies the true Lost City, and we are-oh, try to comprehend all that statement means, my lads!	true	169.605	176.65	20
1851_151817_000017_000002	Picture to yourselves what boundless fame and unlimited credit awaits our report to the outer world!	Picture to yourselves what boundless fame and unlimited credit awaits our report to the outer world!	true	176.75	182.98	20
1851_151817_000017_000003	The benighted world!	The benighted world!	true	183.02	184.485	28
1851_151817_000017_000004	The besotted world!	The besotted world!	true	184.485	185.835	17.3442
1851_151817_000017_000005	The--the--"	The-the-"	true	185.835	187.06	30.453333
1851_151817_000018_000000	"While we'll form the upsotted world, or a portion of it, without something is done,--and that in a howling hurry, too!" fairly spluttered Waldo, as the again neglected air-ship sped swiftly towards a more elevated portion of that earth, part of the tall hill-crest which acted as nature's barricade to yonder by nature depressed valley.	"While we'll form the upsotted world, or a portion of it, without something is done,--and that in a howling hurry, too!" fairly spluttered Waldo, as the again neglected air ship sped swiftly towards a more elevated portion of that earth, part of the tall hill crest which acted as nature's barricade to yonder by nature depressed valley.	false	188.84	209.41	22.130947
