2577_157236_000000_000000	'Goodbye, then,' said Anthea, gaily, for her conscience was clear now.	'Goodbye, then,' said Anthea, gaily, for her conscience was clear now.	false	0	4.71	14.794779
2577_157236_000001_000000	She hurried into the wood, threw herself on the ground, and said 'Home'--and there she was, rolled in the carpet on the nursery floor.	She hurried into the wood, threw herself on the ground, and said 'Home'--and there she was, rolled in the carpet on the nursery floor.	false	4.71	12.72	17.490908
2577_157236_000002_000000	'SHE'S all right, anyhow,' said Anthea, and went back to bed.	'SHE'S all right, anyhow,' said Anthea, and went back to bed.	false	12.72	15	19.07338
2577_157236_000002_000001	'I'm glad somebody's pleased.	'I'm glad somebody's pleased.	false	15	16.68	20.009981
2577_157236_000002_000002	But mother will never believe me when I tell her.'	But mother will never believe me when I tell her.'	false	16.68	20.895	19.314468
2577_157236_000003_000000	The story is indeed a little difficult to believe.	The story is indeed a little difficult to believe.	false	20.895	22.89	20
2577_157236_000003_000001	Still, you might try.	Still, you might try.	false	22.89	23.835	16.147934
2577_157236_000004_000000	CHAPTER 4.	CHAPTER four.	true	23.835	24.9	22.092531
2577_157236_000004_000001	TWO BAZAARS	TWO BAZAARS	false	24.9	26.44	20.554739
2577_157236_000005_000000	Mother was really a great dear.	Mother was really a great dear.	true	27.11	29.29	19.508287
2577_157236_000005_000001	She was pretty and she was loving, and most frightfully good when you were ill, and always kind, and almost always just.	She was pretty and she was loving, and most frightfully good when you were ill, and always kind, and almost always just.	true	29.33	36.61	17
2577_157236_000005_000002	That is, she was just when she understood things.	That is, she was just when she understood things.	true	36.86	40.03	19
2577_157236_000005_000003	But of course she did not always understand things.	But of course she did not always understand things.	true	40.28	43.33	15
2577_157236_000005_000004	No one understands everything, and mothers are not angels, though a good many of them come pretty near it.	No one understands everything, and mothers are not angels, though a good many of them come pretty near it.	false	43.46	49.63	14
2577_157236_000005_000005	The children knew that mother always WANTED to do what was best for them, even if she was not clever enough to know exactly what was the best.	The children knew that mother always WANTED to do what was best for them, even if she was not clever enough to know exactly what was the best.	true	50.42	58.63	17
2577_157236_000005_000006	That was why all of them, but much more particularly Anthea, felt rather uncomfortable at keeping the great secret from her of the wishing carpet and the Phoenix.	That was why all of them, but much more particularly Anthea, felt rather uncomfortable at keeping the great secret from her of the wishing carpet and the Phoenix.	false	59	68.74	17
2577_157236_000005_000007	And Anthea, whose inside mind was made so that she was able to be much more uncomfortable than the others, had decided that she MUST tell her mother the truth, however little likely it was that her mother would believe it.	And Anthea, whose inside mind was made so that she was able to be much more uncomfortable than the others, had decided that she MUST tell her mother the truth, however little likely it was that her mother would believe it.	false	69.2	82.47	15
2577_157236_000006_000000	'Then I shall have done what's right,' said she to the Phoenix; 'and if she doesn't believe me it won't be my fault--will it?'	'Then I shall have done what's right,' said she to the Phoenix; 'and if she doesn't believe me it won't be my fault-will it?'	false	82.47	89.05	20.297436
2577_157236_000007_000000	'Not in the least,' said the golden bird.	'Not in the least,' said the golden bird.	true	89.33	91.53	17.322231
2577_157236_000007_000001	'And she won't, so you're quite safe.'	'And she won't, so you're quite safe.'	true	91.53	93.7	21
2577_157236_000008_000000	Anthea chose a time when she was doing her home-lessons--they were Algebra and Latin, German, English, and Euclid--and she asked her mother whether she might come and do them in the drawing-room--'so as to be quiet,' she said to her mother; and to herself she said, 'And that's not the real reason.	Anthea chose a time when she was doing her home lessons-they were Algebra and Latin, German, English, and Euclid-and she asked her mother whether she might come and do them in the drawing room-'so as to be quiet,' she said to her mother; and to herself she said, 'And that's not the real reason.	false	94.25	112.15	19
2577_157236_000008_000001	I hope I shan't grow up a LIAR.'	I hope I shan't grow up a LIAR.'	true	112.31	114.64	15
2577_157236_000009_000000	Mother said, 'Of course, dearie,' and Anthea started swimming through a sea of x's and y's and z's.	Mother said, 'Of course, dearie,' and Anthea started swimming through a sea of x's and y's and z's.	true	114.98	122.17	19
2577_157236_000009_000001	Mother was sitting at the mahogany bureau writing letters.	Mother was sitting at the mahogany bureau writing letters.	true	122.54	125.62	15
