7594_81881_000000_000000	"Poor boy," she murmured.	"Poor boy," she murmured.	false	0	1.26	21.424059
7594_81881_000001_000000	Then Paul--he was very young, barely thirty--broke down, as perhaps she meant that he should, and, elbows sprawling amid the disarray of the meal, poured out all the desolation of his soul, and for the first time cried out in anguish for the woman he had lost.	Then Paul-he was very young, barely thirty-broke down, as perhaps she meant that he should, and, elbows sprawling amid the disarray of the meal, poured out all the desolation of his soul, and for the first time cried out in anguish for the woman he had lost.	false	1.26	12.81	20.497757
7594_81881_000001_000001	So, as love lay a-bleeding mortally pierced, Ursula Winwood wept unaccustomed tears and with tender fingers strove to staunch the wound.	So, as love lay a bleeding mortally pierced, Ursula Winwood wept unaccustomed tears and with tender fingers strove to staunch the wound.	false	12.81	21.315	18.345877
7594_81881_000002_000000	CHAPTER XIX	CHAPTER nineteen	true	21.315	22.72	20
7594_81881_000003_000000	DAYS of strain followed: days of a thousand engagements, a thousand interviews, a thousand journeyings, a thousand speeches; days in which he was reduced to an unresisting automaton, mechanically uttering the same formulas; days in which the irresistible force of the campaign swept him along without volition.	DAYS of strain followed: days of a thousand engagements, a thousand interviews, a thousand journeyings, a thousand speeches; days in which he was reduced to an unresisting automaton, mechanically uttering the same formulas; days in which the irresistible force of the campaign swept him along without volition.	true	25.07	48.61	18.854797
7594_81881_000003_000001	And day followed day and not a sign came from the Princess Zobraska either of condonation or resentment.	And day followed day and not a sign came from the Princess Zobraska either of condonation or resentment.	false	49.58	58.54	21.090706
7594_81881_000003_000002	It was as though she had gathered her skirts around her and gone disdainfully out of his life for ever.	It was as though she had gathered her skirts around her and gone disdainfully out of his life for ever.	true	59.27	65.74	17
7594_81881_000003_000003	If speaking were to be done, it was for her to speak.	If speaking were to be done, it was for her to speak.	true	66.65	70.36	18.376717
7594_81881_000003_000004	Paul could not plead.	Paul could not plead.	true	70.49	72.1	21.717579
7594_81881_000003_000005	It was he who, in a way, had cast her off.	It was he who, in a way, had cast her off.	true	72.77	76.72	20.030748
7594_81881_000003_000006	In effect he had issued the challenge: "I am a child of the gutter, an adventurer masquerading under an historical name, and you are a royal princess.	In effect he had issued the challenge: "I am a child of the gutter, an adventurer masquerading under an historical name, and you are a royal princess.	false	77.42	88.84	19.38802
7594_81881_000003_000007	Will you marry me now?" She had given her answer, by walking out of the room, her proud head in the air.	Will you marry me now?" She had given her answer, by walking out of the room, her proud head in the air.	true	88.91	97.12	17.298763
7594_81881_000003_000008	It was final, as far as he was concerned.	It was final, as far as he was concerned.	true	97.55	100.21	20.235558
7594_81881_000003_000009	He could do nothing--not even beg his dearest lady to plead for him.	He could do nothing-not even beg his dearest lady to plead for him.	true	101.45	106.09	21
7594_81881_000003_000010	Besides, rumour had it that the Princess had cancelled her town engagements and gone to Morebury.	Besides, rumour had it that the Princess had cancelled her town engagements and gone to Morebury.	true	106.34	112.72	19.604153
7594_81881_000003_000011	So he walked in cold and darkness, uninspired, and though he worked with feverish energy, the heart and purpose of his life were gone.	So he walked in cold and darkness, uninspired, and though he worked with feverish energy, the heart and purpose of his life were gone.	true	113.33	125.28	19.647343
7594_81881_000004_000000	As in his first speech, so in his campaign, he failed.	As in his first speech, so in his campaign, he failed.	true	125.28	129.88	20.464933
7594_81881_000004_000001	He had been chosen for his youth, his joyousness, his magnetism, his radiant promise of great things to come.	He had been chosen for his youth, his joyousness, his magnetism, his radiant promise of great things to come.	true	130.31	138.22	20.02602
7594_81881_000004_000002	He went about the constituency an anxious, haggard man, working himself to death without being able to awaken a spark of emotion in the heart of anybody.	He went about the constituency an anxious, haggard man, working himself to death without being able to awaken a spark of emotion in the heart of anybody.	true	138.83	149.8	20.902521
7594_81881_000004_000003	He lost ground daily.	He lost ground daily.	true	150.83	152.68	19.157505
7594_81881_000004_000004	On the other hand, Silas Finn, with his enthusiasms, and his aspect of an inspired prophet, made alarming progress.	On the other hand, Silas Finn, with his enthusiasms, and his aspect of an inspired prophet, made alarming progress.	true	152.96	162.43	21.667358
7594_81881_000004_000005	He swept the multitude.	He swept the multitude.	true	163.01	164.98	25.665154
7594_81881_000004_000006	Paul Savelli, the young man of the social moment, had an army of helpers, members of Parliament making speeches, friends on the Unionist press writing flamboyant leaders, fair ladies in automobiles hunting for voters through the slums of Hickney Heath.	Paul Savelli, the young man of the social moment, had an army of helpers, members of Parliament making speeches, friends on the Unionist press writing flamboyant leaders, fair ladies in automobiles hunting for voters through the slums of Hickney Heath.	false	165.29	182.92	19.463575
7594_81881_000004_000007	Silas Finn had scarcely a personal friend.	Silas Finn had scarcely a personal friend.	true	183.26	186.4	15
7594_81881_000004_000008	But hope reigned among his official supporters, whereas depression began to descend over Paul's brilliant host.	But hope reigned among his official supporters, whereas depression began to descend over Paul's brilliant host.	true	187.04	194.41	20.916595
7594_81881_000005_000000	"They want stirring up a bit," said the Conservative agent despondently.	"They want stirring up a bit," said the Conservative agent despondently.	true	195.83	200.23	23.842482
7594_81881_000005_000001	"I hear old Finn's meetings go with a bang.	"I hear old Finn's meetings go with a bang.	true	200.48	203.47	18.886454
7594_81881_000005_000002	They nearly raised the roof off last night.	They nearly raised the roof off last night.	true	203.69	206.35	20.52047
7594_81881_000005_000003	We want some roof-raising on this side."	We want some roof raising on this side."	true	206.84	209.44	19.280449
7594_81881_000006_000000	"I do my best," said Paul coldly, but the reproach cut deep.	"I do my best," said Paul coldly, but the reproach cut deep.	true	210.65	216.19	21.035526
7594_81881_000006_000001	He was a failure.	He was a failure.	true	216.38	217.72	18.608772
7594_81881_000006_000002	No nervous or intellectual effort could save him now, though he spent himself to the last heartbeat.	No nervous or intellectual effort could save him now, though he spent himself to the last heartbeat.	true	218.21	224.95	18.488535
7594_81881_000006_000003	He was the sport of a mocking Will o' the Wisp which he had taken for Destiny.	He was the sport of a mocking Will o' the Wisp which he had taken for Destiny.	true	225.77	230.95	19.655617
7594_81881_000007_000000	Once on coming out of his headquarters he met Silas, who was walking up the street with two or three of his committee-men.	Once on coming out of his headquarters he met Silas, who was walking up the street with two or three of his committee men.	true	232.82	240.31	20.73389
7594_81881_000007_000001	In accordance with the ordinary amenities of English political life, the two candidates shook hands, and withdrew a pace or two aside to chat for a while.	In accordance with the ordinary amenities of English political life, the two candidates shook hands, and withdrew a pace or two aside to chat for a while.	true	241.1	251.68	19.42109
7594_81881_000007_000002	This was the first time they had come together since the afternoon of revelation, and there was a moment of constraint during which Silas tugged at his streaked beard and looked with mournful wistfulness at his son.	This was the first time they had come together since the afternoon of revelation, and there was a moment of constraint during which Silas tugged at his streaked beard and looked with mournful wistfulness at his son.	true	252.47	265.9	20.807724
7594_81881_000008_000000	"I wish I were not your opponent, Paul," said he in a low voice, so as not to be overheard.	"I wish I were not your opponent, Paul," said he in a low voice, so as not to be overheard.	false	267.38	273.25	19.203438
7594_81881_000009_000000	"That doesn't matter a bit," Paul replied courteously.	"That doesn't matter a bit," Paul replied courteously.	true	274.22	277.81	19.762312
7594_81881_000009_000001	"I see you're putting up an excellent fight."	"I see you're putting up an excellent fight."	true	278.6	281.11	24.619934
7594_81881_000010_000000	"It's the Lord's battle.	"It's the Lord's battle.	true	281.9	283.395	23.197973
7594_81881_000010_000001	If it weren't, do you think I would not let you win?"	If it weren't, do you think I would not let you win?"	true	283.395	286.36	21.781424
7594_81881_000011_000000	The same old cry.	The same old cry.	true	287.45	289.06	22.356207
7594_81881_000011_000001	Through sheer repetition, Paul began almost to believe in it.	Through sheer repetition, Paul began almost to believe in it.	true	289.07	293.29	21.024448
7594_81881_000011_000002	He felt very weary.	He felt very weary.	true	293.48	295.27	17.056522
7594_81881_000011_000003	In his father's eyes he recognized, with a pang, the glow of a faith which he had lost.	In his father's eyes he recognized, with a pang, the glow of a faith which he had lost.	true	295.64	302.71	20.36697
7594_81881_000011_000004	Their likeness struck him, and he saw himself, his old self, beneath the unquestioning though sorrowful eyes.	Their likeness struck him, and he saw himself, his old self, beneath the unquestioning though sorrowful eyes.	false	302.99	311.2	23.404442
7594_81881_000012_000000	"That's the advantage of a belief in the Almighty's personal interest," he answered, with a touch of irony: "whatever happens, one is not easily disillusioned."	"That's the advantage of a belief in the Almighty's personal interest," he answered, with a touch of irony: "whatever happens, one is not easily disillusioned."	true	312.32	322.54	20.366583
7594_81881_000013_000000	"That is true, my son," said Silas.	"That is true, my son," said Silas.	true	323.33	326.08	21.227686
7594_81881_000014_000000	"Jane is well?" Paul asked, after an instant's pause, breaking off the profitless discussion.	"Jane is well?" Paul asked, after an instant's pause, breaking off the profitless discussion.	true	326.69	333.64	21.561993
7594_81881_000015_000000	"Very well."	"Very well."	true	334.37	335.44	23.005522
7594_81881_000016_000000	"And Barney Bill?"	"And Barney Bill?"	true	335.84	337.06	21.693579
7594_81881_000017_000000	"He upbraids me bitterly for what I have said."	"He upbraids me bitterly for what I have said."	true	337.73	340.81	22.229853
7594_81881_000018_000000	Paul smiled at the curiously stilted phrase.	Paul smiled at the curiously stilted phrase.	true	341.63	344.77	21.612782
7594_81881_000019_000000	"Tell him from me not to do it.	"Tell him from me not to do it.	true	346.04	348.04	22.590475
7594_81881_000019_000001	My love to them both."	My love to them both."	true	348.08	349.81	20.658089
7594_81881_000020_000000	They shook hands again, and Paul drove off in the motor car that had been placed at his disposal during the election, and Silas continued his sober walk with his committee-men up the muddy street.	They shook hands again, and Paul drove off in the motor car that had been placed at his disposal during the election, and Silas continued his sober walk with his committee men up the muddy street.	true	350.96	362.95	21.249739
7594_81881_000020_000001	Whereupon Paul conceived a sudden hatred for the car.	Whereupon Paul conceived a sudden hatred for the car.	true	363.77	367.48	21.84964
7594_81881_000020_000002	It was but the final artistic touch to this comedy of mockery of which he had been the victim....	It was but the final artistic touch to this comedy of mockery of which he had been the victim....	true	367.94	373.72	22
