5062_294697_000000_000000	We walked on until we reached that part of the Canongate street in which she lodged.	We walked on until we reached that part of the Canongate street in which she lodged.	false	2.85	12.75	23.842836
5062_294697_000000_000001	We stopped at the door.	We stopped at the door.	false	12.75	20.235	22.147802
5062_294697_000001_000000	CHAPTER XI.	CHAPTER eleven.	true	20.235	21.34	27.352013
5062_294697_000001_000001	THE LETTER OF INTRODUCTION.	THE LETTER OF INTRODUCTION.	true	21.5	23.32	24.686985
5062_294697_000002_000000	I LOOKED at the house.	I LOOKED at the house.	true	23.87	25.39	27.987638
5062_294697_000002_000001	It was an inn, of no great size, but of respectable appearance.	It was an inn, of no great size, but of respectable appearance.	true	25.64	30.22	23.71714
5062_294697_000002_000002	If I was to be of any use to her that night, the time had come to speak of other subjects than the subject of dreams.	If I was to be of any use to her that night, the time had come to speak of other subjects than the subject of dreams.	true	30.98	38.41	22.666056
5062_294697_000003_000000	"After all that you have told me," I said, "I will not ask you to admit me any further into your confidence until we meet again.	"After all that you have told me," I said, "I will not ask you to admit me any further into your confidence until we meet again.	false	39.26	46.12	21.202675
5062_294697_000003_000001	Only let me hear how I can relieve your most pressing anxieties.	Only let me hear how I can relieve your most pressing anxieties.	true	46.82	50.95	16
5062_294697_000003_000002	What are your plans?	What are your plans?	true	51.44	52.8	25.32326
5062_294697_000003_000003	Can I do anything to help them before you go to rest to-night?"	Can I do anything to help them before you go to rest to night?"	true	52.8	56.2	19
5062_294697_000004_000000	She thanked me warmly, and hesitated, looking up the street and down the street in evident embarrassment what to say next.	She thanked me warmly, and hesitated, looking up the street and down the street in evident embarrassment what to say next.	true	57.29	64.66	22
5062_294697_000005_000000	"Do you propose staying in Edinburgh?" I asked.	"Do you propose staying in Edinburgh?" I asked.	true	65.24	68.02	24
5062_294697_000006_000000	"Oh no! I don't wish to remain in Scotland.	"Oh no! I don't wish to remain in Scotland.	true	69.11	71.92	19.33564
5062_294697_000006_000001	I want to go much further away.	I want to go much further away.	true	72.11	74.35	21.339996
5062_294697_000006_000002	I think I should do better in London; at some respectable milliner's, if I could be properly recommended.	I think I should do better in London; at some respectable milliner's, if I could be properly recommended.	true	74.75	80.38	22
5062_294697_000006_000003	I am quick at my needle, and I understand cutting out.	I am quick at my needle, and I understand cutting out.	true	80.66	84.16	24
5062_294697_000006_000004	Or I could keep accounts, if--if anybody would trust me."	Or I could keep accounts, if-if anybody would trust me."	true	84.68	88.6	25.506992
