8195_117382_000000_000000	Chapter 2	Chapter two	false	0.6	16.47	23.430038
8195_117382_000001_000000	"Wet year!	"Wet year!	false	16.47	17.19	100
8195_117382_000001_000001	Wet year!" prophesied the Cardinal	Wet year!" prophesied the Cardinal	false	17.19	19.72	23.35546
8195_117382_000002_000000	The sumac seemed to fill his idea of a perfect location from the very first.	The sumac seemed to fill his idea of a perfect location from the very first.	true	20.69	25.78	20.407942
8195_117382_000002_000001	He perched on a limb, and between dressing his plumage and pecking at last year's sour dried berries, he sent abroad his prediction.	He perched on a limb, and between dressing his plumage and pecking at last year's sour dried berries, he sent abroad his prediction.	true	26.39	34.75	22.674002
8195_117382_000002_000002	Old Mother Nature verified his wisdom by sending a dashing shower, but he cared not at all for a wetting.	Old Mother Nature verified his wisdom by sending a dashing shower, but he cared not at all for a wetting.	true	35.27	42.07	22.021658
8195_117382_000002_000003	He knew how to turn his crimson suit into the most perfect of water-proof coats; so he flattened his crest, sleeked his feathers, and breasting the April downpour, kept on calling for rain.	He knew how to turn his crimson suit into the most perfect of water proof coats; so he flattened his crest, sleeked his feathers, and breasting the April downpour, kept on calling for rain.	false	42.17	54.58	21.412907
8195_117382_000002_000004	He knew he would appear brighter when it was past, and he seemed to know, too, that every day of sunshine and shower would bring nearer his heart's desire.	He knew he would appear brighter when it was past, and he seemed to know, too, that every day of sunshine and shower would bring nearer his heart's desire.	true	55.43	64.72	21.442562
8195_117382_000003_000000	He was a very Beau Brummel while he waited.	He was a very Beau Brummel while he waited.	true	65.63	68.95	20.086742
8195_117382_000003_000001	From morning until night he bathed, dressed his feathers, sunned himself, fluffed and flirted. He strutted and "chipped" incessantly.	From morning until night he bathed, dressed his feathers, sunned himself, fluffed and flirted. He strutted and "chipped" incessantly.	true	69.8	79.33	22.78698
8195_117382_000003_000002	He claimed that sumac for his very own, and stoutly battled for possession with many intruders.	He claimed that sumac for his very own, and stoutly battled for possession with many intruders.	true	80.3	86.95	21.957647
8195_117382_000003_000003	It grew on a densely wooded slope, and the shining river went singing between grassy banks, whitened with spring beauties, below it.	It grew on a densely wooded slope, and the shining river went singing between grassy banks, whitened with spring beauties, below it.	false	88.1	97.54	20.355806
8195_117382_000003_000004	Crowded around it were thickets of papaw, wild grape-vines, thorn, dogwood, and red haw, that attracted bug and insect; and just across the old snake fence was a field of mellow mould sloping to the river, that soon would be plowed for corn, turning out numberless big fat grubs.	Crowded around it were thickets of papaw, wild grape vines, thorn, dogwood, and red haw, that attracted bug and insect; and just across the old snake fence was a field of mellow mould sloping to the river, that soon would be plowed for corn, turning out numberless big fat grubs.	true	98.03	119.95	20.727715
8195_117382_000004_000000	He was compelled almost hourly to wage battles for his location, for there was something fine about the old stag sumac that attracted homestead seekers.	He was compelled almost hourly to wage battles for his location, for there was something fine about the old stag sumac that attracted homestead seekers.	true	121.01	130.755	20.820002
8195_117382_000004_000001	A sober pair of robins began laying their foundations there the morning the Cardinal arrived, and a couple of blackbirds tried to take possession before the day had passed.	A sober pair of robins began laying their foundations there the morning the Cardinal arrived, and a couple of blackbirds tried to take possession before the day had passed.	true	130.755	139.93	19.031069
8195_117382_000004_000002	He had little trouble with the robins.	He had little trouble with the robins.	true	140.24	142.18	23.521587
8195_117382_000004_000003	They were easily conquered, and with small protest settled a rod up the bank in a wild-plum tree; but the air was thick with "chips," chatter, and red and black feathers, before the blackbirds acknowledged defeat.	They were easily conquered, and with small protest settled a rod up the bank in a wild plum tree; but the air was thick with "chips," chatter, and red and black feathers, before the blackbirds acknowledged defeat.	false	142.28	157.2	21.630344
8195_117382_000004_000004	They were old-timers, and knew about the grubs and the young corn; but they also knew when they were beaten, so they moved down stream to a scrub oak, trying to assure each other that it was the place they really had wanted from the first.	They were old timers, and knew about the grubs and the young corn; but they also knew when they were beaten, so they moved down stream to a scrub oak, trying to assure each other that it was the place they really had wanted from the first.	false	157.2	171.76	20.452766
8195_117382_000005_000000	The Cardinal was left boasting and strutting in the sumac, but in his heart he found it lonesome business.	The Cardinal was left boasting and strutting in the sumac, but in his heart he found it lonesome business.	true	172.55	179.02	20.54531
8195_117382_000005_000001	Being the son of a king, he was much too dignified to beg for a mate, and besides, it took all his time to guard the sumac; but his eyes were wide open to all that went on around him, and he envied the blackbird his glossy, devoted little sweetheart, with all his might.	Being the son of a king, he was much too dignified to beg for a mate, and besides, it took all his time to guard the sumac; but his eyes were wide open to all that went on around him, and he envied the blackbird his glossy, devoted little sweetheart, with all his might.	true	179.42	196.66	21.128283
8195_117382_000005_000002	He almost strained his voice trying to rival the love-song of a skylark that hung among the clouds above a meadow across the river, and poured down to his mate a story of adoring love and sympathy.	He almost strained his voice trying to rival the love song of a skylark that hung among the clouds above a meadow across the river, and poured down to his mate a story of adoring love and sympathy.	true	197.45	211.99	21.566048
8195_117382_000005_000003	He screamed a "Chip" of such savage jealousy at a pair of killdeer lovers that he sent them scampering down the river bank without knowing that the crime of which they stood convicted was that of being mated when he was not.	He screamed a "Chip" of such savage jealousy at a pair of killdeer lovers that he sent them scampering down the river bank without knowing that the crime of which they stood convicted was that of being mated when he was not.	true	212.12	227.98	20.792795
8195_117382_000005_000004	As for the doves that were already brooding on the line fence beneath the maples, the Cardinal was torn between two opinions.	As for the doves that were already brooding on the line fence beneath the maples, the Cardinal was torn between two opinions.	false	229.04	237.88	19.15313
8195_117382_000006_000000	He was alone, he was love-sick, and he was holding the finest building location beside the shining river for his mate, and her slowness in coming made their devotion difficult to endure when he coveted a true love; but it seemed to the Cardinal that he never could so forget himself as to emulate the example of that dove lover.	He was alone, he was love sick, and he was holding the finest building location beside the shining river for his mate, and her slowness in coming made their devotion difficult to endure when he coveted a true love; but it seemed to the Cardinal that he never could so forget himself as to emulate the example of that dove lover.	false	239.12	261.52	20.67288
8195_117382_000006_000001	The dove had no dignity; he was so effusive he was a nuisance.	The dove had no dignity; he was so effusive he was a nuisance.	true	261.71	267.43	22.060085
8195_117382_000006_000002	He kept his dignified Quaker mate stuffed to discomfort; he clung to the side of the nest trying to help brood until he almost crowded her from the eggs.	He kept his dignified Quaker mate stuffed to discomfort; he clung to the side of the nest trying to help brood until he almost crowded her from the eggs.	true	268.34	279.7	20.91134
8195_117382_000006_000003	He pestered her with caresses and cooed over his love-song until every chipmunk on the line fence was familiar with his story.	He pestered her with caresses and cooed over his love song until every chipmunk on the line fence was familiar with his story.	true	280.55	289.21	22.438742
8195_117382_000006_000004	The Cardinal's temper was worn to such a fine edge that he darted at the dove one day and pulled a big tuft of feathers from his back.	The Cardinal's temper was worn to such a fine edge that he darted at the dove one day and pulled a big tuft of feathers from his back.	true	290.45	300.64	21.95107
8195_117382_000006_000005	When he had returned to the sumac, he was compelled to admit that his anger lay quite as much in that he had no one to love as because the dove was disgustingly devoted.	When he had returned to the sumac, he was compelled to admit that his anger lay quite as much in that he had no one to love as because the dove was disgustingly devoted.	false	302.45	314.26	22.066692
8195_117382_000007_000000	Every morning brought new arrivals--trim young females fresh from their long holiday, and big boastful males appearing their brightest and bravest, each singer almost splitting his throat in the effort to captivate the mate he coveted.	Every morning brought new arrivals-trim young females fresh from their long holiday, and big boastful males appearing their brightest and bravest, each singer almost splitting his throat in the effort to captivate the mate he coveted.	true	315.8	332.44	22.140474
8195_117382_000007_000001	They came flashing down the river bank, like rockets of scarlet, gold, blue, and black; rocking on the willows, splashing in the water, bursting into jets of melody, making every possible display of their beauty and music; and at times fighting fiercely when they discovered that the females they were wooing favoured their rivals and desired only to be friendly with them.	They came flashing down the river bank, like rockets of scarlet, gold, blue, and black; rocking on the willows, splashing in the water, bursting into jets of melody, making every possible display of their beauty and music; and at times fighting fiercely when they discovered that the females they were wooing favoured their rivals and desired only to be friendly with them.	false	333.17	360.885	20.665617
