2481_163597_000002_000000	THE NORKA	THE NORKA
2481_163597_000003_000001	They had three sons, two of them with their wits about them, but the third a simpleton.	They had three sons, two of them with their wits about them, but the third a simpleton.
2481_163597_000003_000002	Now the King had a deer park in which were quantities of wild animals of different kinds.	Now the King had a deer park in which were quantities of wild animals of different kinds.
2481_163597_000003_000003	Into that park there used to come a huge beast--Norka was its name--and do fearful mischief, devouring some of the animals every night.	Into that park there used to come a huge beast-Norka was its name-and do fearful mischief, devouring some of the animals every night.
2481_163597_000003_000004	The King did all he could, but he was unable to destroy it. So at last he called his sons together and said, 'Whoever will destroy the Norka, to him will I give the half of my kingdom.'	The King did all he could, but he was unable to destroy it. So at last he called his sons together and said, 'Whoever will destroy the Norka, to him will I give the half of my kingdom.'
2481_163597_000004_000000	Well, the eldest son undertook the task.	Well, the eldest son undertook the task.
2481_163597_000004_000001	As soon as it was night, he took his weapons and set out.	As soon as it was night, he took his weapons and set out.
2481_163597_000004_000002	But before he reached the park, he went into a traktir (or tavern), and there he spent the whole night in revelry.	But before he reached the park, he went into a traktir (or tavern), and there he spent the whole night in revelry.
2481_163597_000004_000003	When he came to his senses it was too late; the day had already dawned.	When he came to his senses it was too late; the day had already dawned.
2481_163597_000004_000004	He felt himself disgraced in the eyes of his father, but there was no help for it.	He felt himself disgraced in the eyes of his father, but there was no help for it.
2481_163597_000004_000005	The next day the second son went, and did just the same.	The next day the second son went, and did just the same.
2481_163597_000004_000006	Their father scolded them both soundly, and there was an end of it.	Their father scolded them both soundly, and there was an end of it.
2481_163597_000005_000000	Well, on the third day the youngest son undertook the task.	Well, on the third day the youngest son undertook the task.
2481_163597_000005_000001	They all laughed him to scorn, because he was so stupid, feeling sure he wouldn't do anything.	They all laughed him to scorn, because he was so stupid, feeling sure he wouldn't do anything.
2481_163597_000006_000000	Presently the midnight hour sounded.	Presently the midnight hour sounded.
2481_163597_000006_000001	The earth began to shake, and the Norka came rushing up, and burst right through the fence into the park, so huge was it.	The earth began to shake, and the Norka came rushing up, and burst right through the fence into the park, so huge was it.
2481_163597_000006_000002	The Prince pulled himself together, leapt to his feet, crossed himself, and went straight at the beast.	The Prince pulled himself together, leapt to his feet, crossed himself, and went straight at the beast.
2481_163597_000006_000003	It fled back, and the Prince ran after it.	It fled back, and the Prince ran after it.
2481_163597_000006_000004	But he soon saw that he couldn't catch it on foot, so he hastened to the stable, laid his hands on the best horse there, and set off in pursuit.	But he soon saw that he couldn't catch it on foot, so he hastened to the stable, laid his hands on the best horse there, and set off in pursuit.
2481_163597_000006_000005	Presently he came up with the beast, and they began a fight.	Presently he came up with the beast, and they began a fight.
2481_163597_000006_000006	They fought and fought; the Prince gave the beast three wounds.	They fought and fought; the Prince gave the beast three wounds.
2481_163597_000006_000007	At last they were both utterly exhausted, so they lay down to take a short rest.	At last they were both utterly exhausted, so they lay down to take a short rest.
2481_163597_000006_000008	But the moment the Prince closed his eyes, up jumped the beast and took to flight.	But the moment the Prince closed his eyes, up jumped the beast and took to flight.
2481_163597_000006_000010	Again the Prince gave the beast three wounds, and then he and the beast lay down again to rest.	Again the Prince gave the beast three wounds, and then he and the beast lay down again to rest.
2481_163597_000006_000011	Thereupon away fled the beast as before.	Thereupon away fled the beast as before.
2481_163597_000006_000012	The Prince caught it up, and again gave it three wounds.	The Prince caught it up, and again gave it three wounds.
2481_163597_000006_000013	But all of a sudden, just as the Prince began chasing it for the fourth time, the beast fled to a great white stone, tilted it up, and escaped into the other world, crying out to the Prince: 'Then only will you overcome me, when you enter here.'	But all of a sudden, just as the Prince began chasing it for the fourth time, the beast fled to a great white stone, tilted it up, and escaped into the other world, crying out to the Prince: 'Then only will you overcome me, when you enter here.'
2481_163597_000007_000000	The Prince went home, told his father all that had happened, and asked him to have a leather rope plaited, long enough to reach to the other world.	The Prince went home, told his father all that had happened, and asked him to have a leather rope plaited, long enough to reach to the other world.
2481_163597_000007_000001	His father ordered this to be done.	His father ordered this to be done.
2481_163597_000007_000002	When the rope was made, the Prince called for his brothers, and he and they, having taken servants with them, and everything that was needed for a whole year, set out for the place where the beast had disappeared under the stone.	When the rope was made, the Prince called for his brothers, and he and they, having taken servants with them, and everything that was needed for a whole year, set out for the place where the beast had disappeared under the stone.
2481_163597_000007_000003	When they got there, they built a palace on the spot, and lived in it for some time. But when everything was ready, the youngest brother said to the others: 'Now, brothers, who is going to lift this stone?'	When they got there, they built a palace on the spot, and lived in it for some time. But when everything was ready, the youngest brother said to the others: 'Now, brothers, who is going to lift this stone?'
2481_163597_000008_000000	Neither of them could so much as stir it, but as soon as he touched it, away it flew to a distance, though it was ever so big--big as a hill. And when he had flung the stone aside, he spoke a second time to his brothers, saying:	Neither of them could so much as stir it, but as soon as he touched it, away it flew to a distance, though it was ever so big-big as a hill. And when he had flung the stone aside, he spoke a second time to his brothers, saying:
2481_163597_000009_000000	'Who is going into the other world, to overcome the Norka?'	'Who is going into the other world, to overcome the Norka?'
2481_163597_000010_000000	Neither of them offered to do so.	Neither of them offered to do so.
2481_163597_000010_000001	Then he laughed at them for being such cowards, and said:	Then he laughed at them for being such cowards, and said:
2481_163597_000011_000000	'Well, brothers, farewell!	'Well, brothers, farewell!
2481_163597_000012_000000	His brothers lowered him accordingly, and when he had reached the other world, underneath the earth, he went on his way.	His brothers lowered him accordingly, and when he had reached the other world, underneath the earth, he went on his way.
2481_163597_000013_000000	'Hail, Prince Ivan!	'Hail, Prince Ivan!
2481_163597_000013_000001	Long have I awaited thee!'	Long have I awaited thee!'
2481_163597_000014_000001	He entered the courtyard, tied up his horse, and went indoors.	He entered the courtyard, tied up his horse, and went indoors.
2481_163597_000014_000002	In one of the rooms a dinner was laid out. He sat down and dined, and then went into a bedroom.	In one of the rooms a dinner was laid out. He sat down and dined, and then went into a bedroom.
2481_163597_000014_000003	There he found a bed, on which he lay down to rest.	There he found a bed, on which he lay down to rest.
2481_163597_000014_000004	Presently there came in a lady, more beautiful than can be imagined anywhere but in a fairy tale, who said:	Presently there came in a lady, more beautiful than can be imagined anywhere but in a fairy tale, who said:
2481_163597_000015_000000	'Thou who art in my house, name thyself!	'Thou who art in my house, name thyself!
2481_163597_000015_000001	If thou art an old man, thou shalt be my father; if a middle-aged man, my brother; but if a young man, thou shalt be my husband dear.	If thou art an old man, thou shalt be my father; if a middle aged man, my brother; but if a young man, thou shalt be my husband dear.
2481_163597_000016_000000	Thereupon he came forth.	Thereupon he came forth.
2481_163597_000016_000001	And when she saw him she was delighted with him, and said:	And when she saw him she was delighted with him, and said:
2481_163597_000018_000000	Then he told her all that had happened, and she said:	Then he told her all that had happened, and she said:
2481_163597_000019_000000	'That beast which thou wishest to overcome is my brother.	'That beast which thou wishest to overcome is my brother.
2481_163597_000019_000001	He is staying just now with my second sister, who lives not far from here in a silver palace.	He is staying just now with my second sister, who lives not far from here in a silver palace.
2481_163597_000019_000002	I bound up three of the wounds which thou didst give him.'	I bound up three of the wounds which thou didst give him.'
2481_163597_000020_000000	Well, after this they drank, and enjoyed themselves, and held sweet converse together, and then the Prince took leave of her, and went on to the second sister, the one who lived in the silver palace, and with her also he stayed awhile.	Well, after this they drank, and enjoyed themselves, and held sweet converse together, and then the Prince took leave of her, and went on to the second sister, the one who lived in the silver palace, and with her also he stayed awhile.
2481_163597_000020_000002	So he went on to the youngest sister, who lived in a golden palace.	So he went on to the youngest sister, who lived in a golden palace.
2481_163597_000021_000000	And when the Prince came to the blue sea, he looked--there slept the Norka on a stone in the middle of the sea; and when it snored, the water was agitated for seven miles around.	And when the Prince came to the blue sea, he looked-there slept the Norka on a stone in the middle of the sea; and when it snored, the water was agitated for seven miles around.
2481_163597_000021_000001	The Prince crossed himself, went up to it, and smote it on the head with his sword.	The Prince crossed himself, went up to it, and smote it on the head with his sword.
2481_163597_000021_000002	The head jumped off, saying the while, 'Well, I'm done for now!' and rolled far away into the sea.	The head jumped off, saying the while, 'Well, I'm done for now!' and rolled far away into the sea.
2481_163597_000022_000000	After killing the beast, the Prince went back again, picking up all the three sisters by the way, with the intention of taking them out into the upper world: for they all loved him and would not be separated from him.	After killing the beast, the Prince went back again, picking up all the three sisters by the way, with the intention of taking them out into the upper world: for they all loved him and would not be separated from him.
2481_163597_000022_000001	Each of them turned her palace into an egg--for they were all enchantresses--and they taught him how to turn the eggs into palaces, and back again, and they handed over the eggs to him.	Each of them turned her palace into an egg-for they were all enchantresses-and they taught him how to turn the eggs into palaces, and back again, and they handed over the eggs to him.
2481_163597_000022_000002	And then they all went to the place from which they had to be hoisted into the upper world.	And then they all went to the place from which they had to be hoisted into the upper world.
2481_163597_000022_000003	And when they came to where the rope was, the Prince took hold of it and made the maidens fast to it.	And when they came to where the rope was, the Prince took hold of it and made the maidens fast to it.
2481_163597_000022_000005	And when they had hauled it up, and had set eyes on the wondrous maidens, they went aside and said: 'Let's lower the rope, pull our brother part of the way up, and then cut the rope.	And when they had hauled it up, and had set eyes on the wondrous maidens, they went aside and said: 'Let's lower the rope, pull our brother part of the way up, and then cut the rope.
2481_163597_000022_000006	Perhaps he'll be killed; but then if he isn't, he'll never give us these beauties as wives.'	Perhaps he'll be killed; but then if he isn't, he'll never give us these beauties as wives.'
2481_163597_000023_000000	So when they had agreed on this, they lowered the rope.	So when they had agreed on this, they lowered the rope.
2481_163597_000023_000001	But their brother was no fool; he guessed what they were at, so he fastened the rope to a stone, and then gave it a pull.	But their brother was no fool; he guessed what they were at, so he fastened the rope to a stone, and then gave it a pull.
2481_163597_000023_000002	His brothers hoisted the stone to a great height, and then cut the rope.	His brothers hoisted the stone to a great height, and then cut the rope.
2481_163597_000023_000004	Well, he walked and walked.	Well, he walked and walked.
2481_163597_000023_000006	He went up to a tree in order to take shelter under it, and on that tree he saw some young birds which were being thoroughly drenched.	He went up to a tree in order to take shelter under it, and on that tree he saw some young birds which were being thoroughly drenched.
2481_163597_000023_000007	So he took off his coat and covered them over with it, and he himself sat down under the tree.	So he took off his coat and covered them over with it, and he himself sat down under the tree.
2481_163597_000023_000008	Presently there came flying a bird--such a big one that the light was blotted out by it.	Presently there came flying a bird-such a big one that the light was blotted out by it.
2481_163597_000023_000009	It had been dark there before, but now it became darker still.	It had been dark there before, but now it became darker still.
2481_163597_000023_000011	Thanks!	Thanks!
2481_163597_000023_000012	In return, ask of me anything thou desirest.	In return, ask of me anything thou desirest.
2481_163597_000023_000013	I will do anything for thee.'	I will do anything for thee.'
2481_163597_000024_000000	'Then carry me into the other world,' he replied.	'Then carry me into the other world,' he replied.
2481_163597_000025_000000	'Make me a large vessel with a partition in the middle,' she said; 'catch all sorts of game, and put them into one half of it, and into the other half pour water; so that there may be meat and drink for me.'	'Make me a large vessel with a partition in the middle,' she said; 'catch all sorts of game, and put them into one half of it, and into the other half pour water; so that there may be meat and drink for me.'
2481_163597_000026_000000	All this the Prince did.	All this the Prince did.
2481_163597_000026_000001	Then the bird--having taken the vessel on her back, with the Prince sitting in the middle of it--began to fly.	Then the bird-having taken the vessel on her back, with the Prince sitting in the middle of it-began to fly.
2481_163597_000026_000002	And after flying some distance she brought him to his journey's end, took leave of him, and flew away back.	And after flying some distance she brought him to his journey's end, took leave of him, and flew away back.
2481_163597_000026_000003	But he went to the house of a certain tailor, and engaged himself as his servant.	But he went to the house of a certain tailor, and engaged himself as his servant.
2481_163597_000026_000004	So much the worse for wear was he, so thoroughly had he altered in appearance, that nobody would have suspected him of being a Prince.	So much the worse for wear was he, so thoroughly had he altered in appearance, that nobody would have suspected him of being a Prince.
2481_163597_000027_000000	Having entered into the service of this master, the Prince began to ask what was going on in that country.	Having entered into the service of this master, the Prince began to ask what was going on in that country.
2481_163597_000027_000001	And his master replied: 'Our two Princes--for the third one has disappeared--have brought away brides from the other world, and want to marry them, but those brides refuse. For they insist on having all their wedding-clothes made for them first, exactly like those which they used to have in the other world, and that without being measured for them.	And his master replied: 'Our two Princes-for the third one has disappeared-have brought away brides from the other world, and want to marry them, but those brides refuse. For they insist on having all their wedding clothes made for them first, exactly like those which they used to have in the other world, and that without being measured for them.
2481_163597_000029_000000	'However can I undertake to make clothes of that sort?	'However can I undertake to make clothes of that sort?
2481_163597_000029_000001	I work for quite common folks,' says his master.	I work for quite common folks,' says his master.
2481_163597_000030_000000	'Go along, master!	'Go along, master!
2481_163597_000030_000001	I will answer for everything,' says the Prince.	I will answer for everything,' says the Prince.
2481_163597_000031_000000	So the tailor went.	So the tailor went.
2481_163597_000031_000002	And the Prince said to him:	And the Prince said to him:
2481_163597_000033_000000	Midnight sounded.	Midnight sounded.
2481_163597_000033_000001	The Prince arose, went out of the city into the fields, took out of his pocket the eggs which the maidens had given him, and, as they had taught him, turned them into three palaces.	The Prince arose, went out of the city into the fields, took out of his pocket the eggs which the maidens had given him, and, as they had taught him, turned them into three palaces.
2481_163597_000033_000002	Into each of these he entered, took the maidens' robes, went out again, turned the palaces back into eggs, and went home.	Into each of these he entered, took the maidens' robes, went out again, turned the palaces back into eggs, and went home.
2481_163597_000033_000003	And when he got there he hung up the robes on the wall, and lay down to sleep.	And when he got there he hung up the robes on the wall, and lay down to sleep.
2481_163597_000034_000002	He was delighted, and he seized them and carried them off to the King.	He was delighted, and he seized them and carried them off to the King.
2481_163597_000034_000003	When the Princesses saw that the clothes were those which had been theirs in the other world, they guessed that Prince Ivan was in this world, so they exchanged glances with each other, but they held their peace.	When the Princesses saw that the clothes were those which had been theirs in the other world, they guessed that Prince Ivan was in this world, so they exchanged glances with each other, but they held their peace.
2481_163597_000034_000004	And the master, having handed over the clothes, went home, but he no longer found his dear journeyman there.	And the master, having handed over the clothes, went home, but he no longer found his dear journeyman there.
2481_163597_000035_000000	By the time the princely workman had gone the round of all the artificers, the Princesses had received what they had asked for; all their clothes were just like what they had been in the other world. Then they wept bitterly because the Prince had not come, and it was impossible for them to hold out any longer; it was necessary that they should be married.	By the time the princely workman had gone the round of all the artificers, the Princesses had received what they had asked for; all their clothes were just like what they had been in the other world. Then they wept bitterly because the Prince had not come, and it was impossible for them to hold out any longer; it was necessary that they should be married.
2481_163597_000035_000001	But when they were ready for the wedding, the youngest bride said to the King:	But when they were ready for the wedding, the youngest bride said to the King:
2481_163597_000036_000000	'Allow me, my father, to go and give alms to the beggars.'	'Allow me, my father, to go and give alms to the beggars.'
2481_163597_000037_000002	So she seized him by the hand, and brought him into the hall, and said to the King:	So she seized him by the hand, and brought him into the hall, and said to the King:
2481_163597_000038_000000	'Here is he who brought us out of the other world.	'Here is he who brought us out of the other world.
2481_163597_000038_000001	His brothers forbade us to say that he was alive, threatening to slay us if we did.'	His brothers forbade us to say that he was alive, threatening to slay us if we did.'
2481_163597_000039_000000	Then the King was wroth with those sons, and punished them as he thought best.	Then the King was wroth with those sons, and punished them as he thought best.
