3513_163607_000000_000000	Thus he became King.	Thus he became King.	false	0	2.64	16.880127
3513_163607_000001_000000	'And now,' said he after the ceremony, 'ladies and gentlemen, let's go to supper.	'And now,' said he after the ceremony, 'ladies and gentlemen, let's go to supper.	false	2.64	12.45	19.2227
3513_163607_000001_000001	I am so hungry!'(15)	I am so hungry!'(fifteen)	false	12.45	14.64	18
3513_163607_000002_000000	(15) Contes of Ch.	(fifteen) Contes of c h.	false	14.64	18.57	14.964924
3513_163607_000002_000001	Marelles.	Marelles.	false	18.57	19.47	1
3513_163607_000003_000000	THE RATCATCHER	THE RATCATCHER	false	19.47	24.79	20.81541
3513_163607_000004_000000	A VERY long time ago the town of Hamel in Germany was invaded by bands of rats, the like of which had never been seen before nor will ever be again.	A VERY long time ago the town of Hamel in Germany was invaded by bands of rats, the like of which had never been seen before nor will ever be again.	false	25.49	35.32	19
3513_163607_000005_000000	They were great black creatures that ran boldly in broad daylight through the streets, and swarmed so, all over the houses, that people at last could not put their hand or foot down anywhere without touching one.	They were great black creatures that ran boldly in broad daylight through the streets, and swarmed so, all over the houses, that people at last could not put their hand or foot down anywhere without touching one.	false	35.87	47.47	19
3513_163607_000005_000001	When dressing in the morning they found them in their breeches and petticoats, in their pockets and in their boots; and when they wanted a morsel to eat, the voracious horde had swept away everything from cellar to garret.	When dressing in the morning they found them in their breeches and petticoats, in their pockets and in their boots; and when they wanted a morsel to eat, the voracious horde had swept away everything from cellar to garret.	false	47.93	60.01	18
3513_163607_000005_000002	The night was even worse.	The night was even worse.	true	60.59	62.43	17
3513_163607_000005_000003	As soon as the lights were out, these untiring nibblers set to work.	As soon as the lights were out, these untiring nibblers set to work.	true	62.43	66.81	19
3513_163607_000005_000004	And everywhere, in the ceilings, in the floors, in the cupboards, at the doors, there was a chase and a rummage, and so furious a noise of gimlets, pincers, and saws, that a deaf man could not have rested for one hour together.	And everywhere, in the ceilings, in the floors, in the cupboards, at the doors, there was a chase and a rummage, and so furious a noise of gimlets, pincers, and saws, that a deaf man could not have rested for one hour together.	true	66.81	81.57	17
3513_163607_000006_000000	Neither cats nor dogs, nor poison nor traps, nor prayers nor candles burnt to all the saints--nothing would do anything.	Neither cats nor dogs, nor poison nor traps, nor prayers nor candles burnt to all the saints-nothing would do anything.	false	81.57	91.03	21.497221
3513_163607_000006_000001	The more they killed the more came.	The more they killed the more came.	true	91.34	93.64	20
3513_163607_000006_000002	And the inhabitants of Hamel began to go to the dogs (not that THEY were of much use), when one Friday there arrived in the town a man with a queer face, who played the bagpipes and sang this refrain:	And the inhabitants of Hamel began to go to the dogs (not that THEY were of much use), when one Friday there arrived in the town a man with a queer face, who played the bagpipes and sang this refrain:	false	93.71	106.8	20.878391
3513_163607_000007_000000	'Qui vivra verra: Le voila, Le preneur des rats.'	'Qui vivra verra: Le voila, Le preneur des rats.'	false	106.8	111.13	18.260334
3513_163607_000008_000000	He was a great gawky fellow, dry and bronzed, with a crooked nose, a long rat-tail moustache, two great yellow piercing and mocking eyes, under a large felt hat set off by a scarlet cock's feather.	He was a great gawky fellow, dry and bronzed, with a crooked nose, a long rat tail moustache, two great yellow piercing and mocking eyes, under a large felt hat set off by a scarlet cock's feather.	false	112.43	126.04	18
3513_163607_000008_000001	He was dressed in a green jacket with a leather belt and red breeches, and on his feet were sandals fastened by thongs passed round his legs in the gipsy fashion.	He was dressed in a green jacket with a leather belt and red breeches, and on his feet were sandals fastened by thongs passed round his legs in the gipsy fashion.	true	126.41	135.82	15
3513_163607_000009_000000	That is how he may be seen to this day, painted on a window of the cathedral of Hamel.	That is how he may be seen to this day, painted on a window of the cathedral of Hamel.	false	136.94	142.42	15
3513_163607_000010_000000	He stopped on the great market-place before the town hall, turned his back on the church and went on with his music, singing:	He stopped on the great market place before the town hall, turned his back on the church and went on with his music, singing:	true	142.94	150.58	16
3513_163607_000011_000000	'Who lives shall see: This is he, The ratcatcher.'	'Who lives shall see: This is he, The ratcatcher.'	true	150.92	154.75	16
3513_163607_000012_000000	The town council had just assembled to consider once more this plague of Egypt, from which no one could save the town.	The town council had just assembled to consider once more this plague of Egypt, from which no one could save the town.	true	155.15	163	19
3513_163607_000013_000000	The stranger sent word to the counsellors that, if they would make it worth his while, he would rid them of all their rats before night, down to the very last.	The stranger sent word to the counsellors that, if they would make it worth his while, he would rid them of all their rats before night, down to the very last.	true	163.37	172.84	18
3513_163607_000014_000000	'Then he is a sorcerer!' cried the citizens with one voice; 'we must beware of him.'	'Then he is a sorcerer!' cried the citizens with one voice; 'we must beware of him.'	false	173.21	178.57	19
3513_163607_000015_000000	The Town Counsellor, who was considered clever, reassured them.	The Town Counsellor, who was considered clever, reassured them.	true	178.79	182.98	22
3513_163607_000016_000000	He said: 'Sorcerer or no, if this bagpiper speaks the truth, it was he who sent us this horrible vermin that he wants to rid us of to-day for money.	He said: 'Sorcerer or no, if this bagpiper speaks the truth, it was he who sent us this horrible vermin that he wants to rid us of to day for money.	false	183.11	192.97	17
3513_163607_000016_000001	Well, we must learn to catch the devil in his own snares.	Well, we must learn to catch the devil in his own snares.	true	193.16	196.18	16
3513_163607_000016_000002	You leave it to me.'	You leave it to me.'	true	196.28	197.77	15
3513_163607_000017_000000	'Leave it to the Town Counsellor,' said the citizens one to another.	'Leave it to the Town Counsellor,' said the citizens one to another.	true	198.56	201.97	20
3513_163607_000018_000000	And the stranger was brought before them.	And the stranger was brought before them.	true	202.19	204.43	18
3513_163607_000019_000000	'Before night,' said he, 'I shall have despatched all the rats in Hamel if you will but pay me a gros a head.'	'Before night,' said he, 'I shall have despatched all the rats in Hamel if you will but pay me a gros a head.'	false	204.74	212.08	21.981546
3513_163607_000020_000000	'A gros a head!' cried the citizens, 'but that will come to millions of florins!'	'A gros a head!' cried the citizens, 'but that will come to millions of florins!'	false	212.36	217.09	20.54897
3513_163607_000021_000000	The Town Counsellor simply shrugged his shoulders and said to the stranger:	The Town Counsellor simply shrugged his shoulders and said to the stranger:	true	217.46	221.43	16
3513_163607_000022_000000	'A bargain!	'A bargain!	false	221.43	222.67	24.57694
3513_163607_000022_000001	To work; the rats will be paid one gros a head as you ask.'	To work; the rats will be paid one gros a head as you ask.'	true	222.89	227.05	19.390924
3513_163607_000023_000000	The bagpiper announced that he would operate that very evening when the moon rose.	The bagpiper announced that he would operate that very evening when the moon rose.	false	227.36	232.75	18
3513_163607_000023_000001	He added that the inhabitants should at that hour leave the streets free, and content themselves with looking out of their windows at what was passing, and that it would be a pleasant spectacle.	He added that the inhabitants should at that hour leave the streets free, and content themselves with looking out of their windows at what was passing, and that it would be a pleasant spectacle.	false	232.85	246.64	21.193905
3513_163607_000023_000002	When the people of Hamel heard of the bargain, they too exclaimed: 'A gros a head! but this will cost us a deal of money!'	When the people of Hamel heard of the bargain, they too exclaimed: 'A gros a head! but this will cost us a deal of money!'	true	246.98	253.03	22.001823
3513_163607_000024_000000	'Leave it to the Town Counsellor,' said the town council with a malicious air.	'Leave it to the Town Counsellor,' said the town council with a malicious air.	true	253.61	258.58	21.54001
3513_163607_000024_000001	And the good people of Hamel repeated with their counsellors, 'Leave it to the Town Counsellor.'	And the good people of Hamel repeated with their counsellors, 'Leave it to the Town Counsellor.'	true	258.8	263.83	20
3513_163607_000025_000000	Towards nine at night the bagpiper re-appeared on the market place.	Towards nine at night the bagpiper re appeared on the market place.	false	264.56	268.98	22.160814
3513_163607_000025_000001	He turned, as at first, his back to the church, and the moment the moon rose on the horizon, 'Trarira, trari!' the bagpipes resounded.	He turned, as at first, his back to the church, and the moment the moon rose on the horizon, 'Trarira, trari!' the bagpipes resounded.	false	268.98	278.53	21
3513_163607_000026_000000	It was first a slow, caressing sound, then more and more lively and urgent, and so sonorous and piercing that it penetrated as far as the farthest alleys and retreats of the town.	It was first a slow, caressing sound, then more and more lively and urgent, and so sonorous and piercing that it penetrated as far as the farthest alleys and retreats of the town.	true	278.78	290.2	15
3513_163607_000027_000000	Soon from the bottom of the cellars, the top of the garrets, from under all the furniture, from all the nooks and corners of the houses, out come the rats, search for the door, fling themselves into the street, and trip, trip, trip, begin to run in file towards the front of the town hall, so squeezed together that they covered the pavement like the waves of flooded torrent.	Soon from the bottom of the cellars, the top of the garrets, from under all the furniture, from all the nooks and corners of the houses, out come the rats, search for the door, fling themselves into the street, and trip, trip, trip, begin to run in file towards the front of the town hall, so squeezed together that they covered the pavement like the waves of flooded torrent.	false	290.78	313.99	19
3513_163607_000028_000000	When the square was quite full the bagpiper faced about, and, still playing briskly, turned towards the river that runs at the foot of the walls of Hamel.	When the square was quite full the bagpiper faced about, and, still playing briskly, turned towards the river that runs at the foot of the walls of Hamel.	false	314.24	323.44	19
3513_163607_000029_000000	Arrived there he turned round; the rats were following.	Arrived there he turned round; the rats were following.	true	324.2	327.97	21.552841
3513_163607_000030_000000	'Hop! hop!' he cried, pointing with his finger to the middle of the stream, where the water whirled and was drawn down as if through a funnel.	'Hop! hop!' he cried, pointing with his finger to the middle of the stream, where the water whirled and was drawn down as if through a funnel.	false	329.12	336.37	18
3513_163607_000030_000001	And hop!	And hop!	true	337.1	337.74	19.132496
3513_163607_000030_000002	hop! without hesitating, the rats took the leap, swam straight to the funnel, plunged in head foremost and disappeared.	hop! without hesitating, the rats took the leap, swam straight to the funnel, plunged in head foremost and disappeared.	true	337.74	345.13	20.65437
3513_163607_000031_000000	The plunging continued thus without ceasing till midnight.	The plunging continued thus without ceasing till midnight.	true	346.13	349.3	19
3513_163607_000032_000000	At last, dragging himself with difficulty, came a big rat, white with age, and stopped on the bank.	At last, dragging himself with difficulty, came a big rat, white with age, and stopped on the bank.	false	349.49	356.29	20.603971
