114_129317_000004_000000	CHAPTER XXXIV	CHAPTER thirty four
114_129317_000006_000000	It was almost too much happiness to bear.	It was almost too much happiness to bear.
114_129317_000006_000001	Oliver felt stunned and stupefied by the unexpected intelligence; he could not weep, or speak, or rest.	Oliver felt stunned and stupefied by the unexpected intelligence; he could not weep, or speak, or rest.
114_129317_000007_000002	Looking round, he saw that it was a post-chaise, driven at great speed; and as the horses were galloping, and the road was narrow, he stood leaning against a gate until it should have passed him.	Looking round, he saw that it was a post chaise, driven at great speed; and as the horses were galloping, and the road was narrow, he stood leaning against a gate until it should have passed him.
114_129317_000008_000000	As it dashed on, Oliver caught a glimpse of a man in a white nightcap, whose face seemed familiar to him, although his view was so brief that he could not identify the person.	As it dashed on, Oliver caught a glimpse of a man in a white nightcap, whose face seemed familiar to him, although his view was so brief that he could not identify the person.
114_129317_000008_000001	In another second or two, the nightcap was thrust out of the chaise-window, and a stentorian voice bellowed to the driver to stop: which he did, as soon as he could pull up his horses.	In another second or two, the nightcap was thrust out of the chaise window, and a stentorian voice bellowed to the driver to stop: which he did, as soon as he could pull up his horses.
114_129317_000008_000002	Then, the nightcap once again appeared: and the same voice called Oliver by his name.	Then, the nightcap once again appeared: and the same voice called Oliver by his name.
114_129317_000009_000000	'Here!' cried the voice.	'Here!' cried the voice.
114_129317_000009_000002	Miss Rose!	Miss Rose!
114_129317_000011_000000	Giles popped out his nightcap again, preparatory to making some reply, when he was suddenly pulled back by a young gentleman who occupied the other corner of the chaise, and who eagerly demanded what was the news.	Giles popped out his nightcap again, preparatory to making some reply, when he was suddenly pulled back by a young gentleman who occupied the other corner of the chaise, and who eagerly demanded what was the news.
114_129317_000012_000000	'In a word!' cried the gentleman, 'Better or worse?'	'In a word!' cried the gentleman, 'Better or worse?'
114_129317_000013_000000	'Better--much better!' replied Oliver, hastily.	'Better-much better!' replied Oliver, hastily.
114_129317_000014_000000	'Thank Heaven!' exclaimed the gentleman.	'Thank Heaven!' exclaimed the gentleman.
114_129317_000014_000001	'You are sure?'	'You are sure?'
114_129317_000015_000000	'Quite, sir,' replied Oliver.	'Quite, sir,' replied Oliver.
114_129317_000015_000001	'The change took place only a few hours ago; and Mr. Losberne says, that all danger is at an end.'	'The change took place only a few hours ago; and mr Losberne says, that all danger is at an end.'
114_129317_000016_000000	The gentleman said not another word, but, opening the chaise-door, leaped out, and taking Oliver hurriedly by the arm, led him aside.	The gentleman said not another word, but, opening the chaise door, leaped out, and taking Oliver hurriedly by the arm, led him aside.
114_129317_000017_000000	'You are quite certain?	'You are quite certain?
114_129317_000017_000001	There is no possibility of any mistake on your part, my boy, is there?' demanded the gentleman in a tremulous voice. 'Do not deceive me, by awakening hopes that are not to be fulfilled.'	There is no possibility of any mistake on your part, my boy, is there?' demanded the gentleman in a tremulous voice. 'Do not deceive me, by awakening hopes that are not to be fulfilled.'
114_129317_000018_000000	'I would not for the world, sir,' replied Oliver. 'Indeed you may believe me.	'I would not for the world, sir,' replied Oliver. 'Indeed you may believe me.
114_129317_000018_000002	I heard him say so.'	I heard him say so.'
114_129317_000019_000000	The tears stood in Oliver's eyes as he recalled the scene which was the beginning of so much happiness; and the gentleman turned his face away, and remained silent, for some minutes.	The tears stood in Oliver's eyes as he recalled the scene which was the beginning of so much happiness; and the gentleman turned his face away, and remained silent, for some minutes.
114_129317_000020_000000	All this time, Mr. Giles, with the white nightcap on, had been sitting on the steps of the chaise, supporting an elbow on each knee, and wiping his eyes with a blue cotton pocket-handkerchief dotted with white spots.	All this time, mr Giles, with the white nightcap on, had been sitting on the steps of the chaise, supporting an elbow on each knee, and wiping his eyes with a blue cotton pocket handkerchief dotted with white spots.
114_129317_000020_000001	That the honest fellow had not been feigning emotion, was abundantly demonstrated by the very red eyes with which he regarded the young gentleman, when he turned round and addressed him.	That the honest fellow had not been feigning emotion, was abundantly demonstrated by the very red eyes with which he regarded the young gentleman, when he turned round and addressed him.
114_129317_000021_000000	'I think you had better go on to my mother's in the chaise, Giles,' said he.	'I think you had better go on to my mother's in the chaise, Giles,' said he.
114_129317_000021_000001	'I would rather walk slowly on, so as to gain a little time before I see her.	'I would rather walk slowly on, so as to gain a little time before I see her.
114_129317_000021_000002	You can say I am coming.'	You can say I am coming.'
114_129317_000022_000000	'I beg your pardon, Mr. Harry,' said Giles: giving a final polish to his ruffled countenance with the handkerchief; 'but if you would leave the postboy to say that, I should be very much obliged to you.	'I beg your pardon, mr Harry,' said Giles: giving a final polish to his ruffled countenance with the handkerchief; 'but if you would leave the postboy to say that, I should be very much obliged to you.
114_129317_000022_000001	It wouldn't be proper for the maids to see me in this state, sir; I should never have any more authority with them if they did.'	It wouldn't be proper for the maids to see me in this state, sir; I should never have any more authority with them if they did.'
114_129317_000023_000000	'Well,' rejoined Harry Maylie, smiling, 'you can do as you like.	'Well,' rejoined Harry Maylie, smiling, 'you can do as you like.
114_129317_000024_000000	Mr. Giles, reminded of his unbecoming costume, snatched off and pocketed his nightcap; and substituted a hat, of grave and sober shape, which he took out of the chaise.	mr Giles, reminded of his unbecoming costume, snatched off and pocketed his nightcap; and substituted a hat, of grave and sober shape, which he took out of the chaise.
114_129317_000024_000001	This done, the postboy drove off; Giles, Mr. Maylie, and Oliver, followed at their leisure.	This done, the postboy drove off; Giles, mr Maylie, and Oliver, followed at their leisure.
114_129317_000025_000000	As they walked along, Oliver glanced from time to time with much interest and curiosity at the new comer.	As they walked along, Oliver glanced from time to time with much interest and curiosity at the new comer.
114_129317_000025_000001	He seemed about five-and-twenty years of age, and was of the middle height; his countenance was frank and handsome; and his demeanor easy and prepossessing.	He seemed about five and twenty years of age, and was of the middle height; his countenance was frank and handsome; and his demeanor easy and prepossessing.
114_129317_000025_000002	Notwithstanding the difference between youth and age, he bore so strong a likeness to the old lady, that Oliver would have had no great difficulty in imagining their relationship, if he had not already spoken of her as his mother.	Notwithstanding the difference between youth and age, he bore so strong a likeness to the old lady, that Oliver would have had no great difficulty in imagining their relationship, if he had not already spoken of her as his mother.
114_129317_000026_000000	Mrs. Maylie was anxiously waiting to receive her son when he reached the cottage.	mrs Maylie was anxiously waiting to receive her son when he reached the cottage.
114_129317_000026_000001	The meeting did not take place without great emotion on both sides.	The meeting did not take place without great emotion on both sides.
114_129317_000028_000000	'I did,' replied Mrs. Maylie; 'but, on reflection, I determined to keep back the letter until I had heard Mr. Losberne's opinion.'	'I did,' replied mrs Maylie; 'but, on reflection, I determined to keep back the letter until I had heard mr Losberne's opinion.'
114_129317_000032_000000	'I know that she deserves the best and purest love the heart of man can offer,' said Mrs. Maylie; 'I know that the devotion and affection of her nature require no ordinary return, but one that shall be deep and lasting.	'I know that she deserves the best and purest love the heart of man can offer,' said mrs Maylie; 'I know that the devotion and affection of her nature require no ordinary return, but one that shall be deep and lasting.
114_129317_000032_000001	If I did not feel this, and know, besides, that a changed behaviour in one she loved would break her heart, I should not feel my task so difficult of performance, or have to encounter so many struggles in my own bosom, when I take what seems to me to be the strict line of duty.'	If I did not feel this, and know, besides, that a changed behaviour in one she loved would break her heart, I should not feel my task so difficult of performance, or have to encounter so many struggles in my own bosom, when I take what seems to me to be the strict line of duty.'
114_129317_000033_000000	'This is unkind, mother,' said Harry. 'Do you still suppose that I am a boy ignorant of my own mind, and mistaking the impulses of my own soul?'	'This is unkind, mother,' said Harry. 'Do you still suppose that I am a boy ignorant of my own mind, and mistaking the impulses of my own soul?'
114_129317_000034_000000	'I think, my dear son,' returned Mrs. Maylie, laying her hand upon his shoulder, 'that youth has many generous impulses which do not last; and that among them are some, which, being gratified, become only the more fleeting.	'I think, my dear son,' returned mrs Maylie, laying her hand upon his shoulder, 'that youth has many generous impulses which do not last; and that among them are some, which, being gratified, become only the more fleeting.
114_129317_000035_000000	'Mother,' said the young man, impatiently, 'he would be a selfish brute, unworthy alike of the name of man and of the woman you describe, who acted thus.'	'Mother,' said the young man, impatiently, 'he would be a selfish brute, unworthy alike of the name of man and of the woman you describe, who acted thus.'
114_129317_000036_000000	'You think so now, Harry,' replied his mother.	'You think so now, Harry,' replied his mother.
114_129317_000037_000000	'And ever will!' said the young man.	'And ever will!' said the young man.
114_129317_000037_000002	On Rose, sweet, gentle girl!	On Rose, sweet, gentle girl!
114_129317_000037_000003	my heart is set, as firmly as ever heart of man was set on woman.	my heart is set, as firmly as ever heart of man was set on woman.
114_129317_000037_000004	I have no thought, no view, no hope in life, beyond her; and if you oppose me in this great stake, you take my peace and happiness in your hands, and cast them to the wind.	I have no thought, no view, no hope in life, beyond her; and if you oppose me in this great stake, you take my peace and happiness in your hands, and cast them to the wind.
114_129317_000038_000000	'Harry,' said Mrs. Maylie, 'it is because I think so much of warm and sensitive hearts, that I would spare them from being wounded.	'Harry,' said mrs Maylie, 'it is because I think so much of warm and sensitive hearts, that I would spare them from being wounded.
114_129317_000038_000001	But we have said enough, and more than enough, on this matter, just now.'	But we have said enough, and more than enough, on this matter, just now.'
114_129317_000039_000000	'Let it rest with Rose, then,' interposed Harry.	'Let it rest with Rose, then,' interposed Harry.
