8388_275212_000001_000000	THE QUEEN BEE	THE QUEEN BEE
8388_275212_000002_000000	By Carl Ewald	By Carl Ewald
8388_275212_000003_000000	The farmer opened his hive.	The farmer opened his hive.
8388_275212_000003_000002	Get to work, and gather a good lot of honey for me to sell to the shopkeeper in the autumn.	Get to work, and gather a good lot of honey for me to sell to the shopkeeper in the autumn.
8388_275212_000003_000003	'Many a streamlet makes a river,' and you know these are bad times for farmers."	'Many a streamlet makes a river,' and you know these are bad times for farmers."
8388_275212_000004_000001	But all the same they flew out; for they had been sitting all the winter in the hive, and they longed for a breath of fresh air.	But all the same they flew out; for they had been sitting all the winter in the hive, and they longed for a breath of fresh air.
8388_275212_000004_000002	They hummed and buzzed, they stretched their legs, they tried their wings.	They hummed and buzzed, they stretched their legs, they tried their wings.
8388_275212_000004_000003	They swarmed out in all directions; they crawled up and down the hive; they flew off to the flowers and bushes, or wandered all around on the ground.	They swarmed out in all directions; they crawled up and down the hive; they flew off to the flowers and bushes, or wandered all around on the ground.
8388_275212_000005_000000	Last of all came the Queen.	Last of all came the Queen.
8388_275212_000005_000001	She was bigger than the others, and it was she who ruled the hive.	She was bigger than the others, and it was she who ruled the hive.
8388_275212_000005_000002	"Stop your nonsense, little children," she said, "and set to work and do something.	"Stop your nonsense, little children," she said, "and set to work and do something.
8388_275212_000005_000003	A good Bee does not idle, but turns to with a will and makes good use of its time."	A good Bee does not idle, but turns to with a will and makes good use of its time."
8388_275212_000006_000000	So she divided them into parties and set them to work.	So she divided them into parties and set them to work.
8388_275212_000006_000001	"You over there, fly out and see if there is any honey in the flowers.	"You over there, fly out and see if there is any honey in the flowers.
8388_275212_000006_000002	The others can collect flower-dust, and when you come home give it in smartly to the old Bees in the hive."	The others can collect flower dust, and when you come home give it in smartly to the old Bees in the hive."
8388_275212_000007_000000	Away they flew at once.	Away they flew at once.
8388_275212_000007_000001	But all the very young ones stayed behind. They made the last party, for they had never been out with the others.	But all the very young ones stayed behind. They made the last party, for they had never been out with the others.
8388_275212_000008_000000	"You! you must perspire," said the Queen.	"You! you must perspire," said the Queen.
8388_275212_000008_000001	"One, two, three!	"One, two, three!
8388_275212_000008_000002	Then we can begin our work." And they perspired as well as they had learned to, and the prettiest yellow wax came out of their bodies.	Then we can begin our work." And they perspired as well as they had learned to, and the prettiest yellow wax came out of their bodies.
8388_275212_000009_000000	"Good!" said the Queen.	"Good!" said the Queen.
