1547_130184_000000_000000	"Yes, Laurie," very low.	"Yes, Laurie," very low.	false	6.18	9.27	18.281792
1547_130184_000001_000000	Then they both stopped rowing, and unconsciously added a pretty little tableau of human love and happiness to the dissolving views reflected in the lake.	Then they both stopped rowing, and unconsciously added a pretty little tableau of human love and happiness to the dissolving views reflected in the lake.	false	9.27	26.46	18.54583
1547_130184_000002_000000	CHAPTER FORTY-TWO	CHAPTER FORTY TWO	false	26.46	28.92	16.693583
1547_130184_000003_000000	ALL ALONE	ALL ALONE	false	28.92	31.68	-20
1547_130184_000004_000000	It was easy to promise self-abnegation when self was wrapped up in another, and heart and soul were purified by a sweet example.	It was easy to promise self abnegation when self was wrapped up in another, and heart and soul were purified by a sweet example.	true	31.68	41.92	16
1547_130184_000004_000001	But when the helpful voice was silent, the daily lesson over, the beloved presence gone, and nothing remained but loneliness and grief, then Jo found her promise very hard to keep.	But when the helpful voice was silent, the daily lesson over, the beloved presence gone, and nothing remained but loneliness and grief, then Jo found her promise very hard to keep.	true	42.68	55.81	19.31312
1547_130184_000004_000002	How could she 'comfort Father and Mother' when her own heart ached with a ceaseless longing for her sister, how could she 'make the house cheerful' when all its light and warmth and beauty seemed to have deserted it when Beth left the old home for the new, and where in all the world could she 'find some useful, happy work to do', that would take the place of the loving service which had been its own reward?	How could she 'comfort Father and Mother' when her own heart ached with a ceaseless longing for her sister, how could she 'make the house cheerful' when all its light and warmth and beauty seemed to have deserted it when Beth left the old home for the new, and where in all the world could she 'find some useful, happy work to do', that would take the place of the loving service which had been its own reward?	false	56.33	84.49	20.002577
1547_130184_000004_000003	She tried in a blind, hopeless way to do her duty, secretly rebelling against it all the while, for it seemed unjust that her few joys should be lessened, her burdens made heavier, and life get harder and harder as she toiled along.	She tried in a blind, hopeless way to do her duty, secretly rebelling against it all the while, for it seemed unjust that her few joys should be lessened, her burdens made heavier, and life get harder and harder as she toiled along.	false	85.34	101.53	19.247967
1547_130184_000004_000004	Some people seemed to get all sunshine, and some all shadow.	Some people seemed to get all sunshine, and some all shadow.	true	102.47	107.2	18
1547_130184_000004_000005	It was not fair, for she tried more than Amy to be good, but never got any reward, only disappointment, trouble and hard work.	It was not fair, for she tried more than Amy to be good, but never got any reward, only disappointment, trouble and hard work.	false	107.39	118.125	18.72209
1547_130184_000005_000000	Poor Jo, these were dark days to her, for something like despair came over her when she thought of spending all her life in that quiet house, devoted to humdrum cares, a few small pleasures, and the duty that never seemed to grow any easier.	Poor Jo, these were dark days to her, for something like despair came over her when she thought of spending all her life in that quiet house, devoted to humdrum cares, a few small pleasures, and the duty that never seemed to grow any easier.	false	118.125	134.95	18
