1265_135636_000000_000000	CHAPTER XLVII.	CHAPTER forty seven.	false	4.5	26.97	22.950172
1265_135636_000000_000001	IS CHIEFLY DEVOTED TO MATTERS OF BUSINESS, AND THE TEMPORAL ADVANTAGE OF DODSON AND FOGG--Mr.	IS CHIEFLY DEVOTED TO MATTERS OF BUSINESS, AND THE TEMPORAL ADVANTAGE OF DODSON AND FOGG-mr	true	26.97	32.73	23.854515
1265_135636_000000_000002	WINKLE REAPPEARS UNDER EXTRAORDINARY CIRCUMSTANCES--Mr.	WINKLE REAPPEARS UNDER EXTRAORDINARY CIRCUMSTANCES-mr	true	32.73	36.75	23.866158
1265_135636_000000_000003	PICKWICK'S BENEVOLENCE PROVES STRONGER THAN HIS OBSTINACY	PICKWICK'S BENEVOLENCE PROVES STRONGER THAN HIS OBSTINACY	true	36.75	40.45	23.182718
1265_135636_000001_000000	Job Trotter, abating nothing of his speed, ran up Holborn, sometimes in the middle of the road, sometimes on the pavement, sometimes in the gutter, as the chances of getting along varied with the press of men, women, children, and coaches, in each division of the thoroughfare, and, regardless of all obstacles stopped not for an instant until he reached the gate of Gray's Inn.	Job Trotter, abating nothing of his speed, ran up Holborn, sometimes in the middle of the road, sometimes on the pavement, sometimes in the gutter, as the chances of getting along varied with the press of men, women, children, and coaches, in each division of the thoroughfare, and, regardless of all obstacles stopped not for an instant until he reached the gate of Gray's Inn.	false	42.26	64.42	23.629492
1265_135636_000001_000001	Notwithstanding all the expedition he had used, however, the gate had been closed a good half-hour when he reached it, and by the time he had discovered Mr. Perker's laundress, who lived with a married daughter, who had bestowed her hand upon a non-resident waiter, who occupied the one-pair of some number in some street closely adjoining to some brewery somewhere behind Gray's Inn Lane, it was within fifteen minutes of closing the prison for the night.	Notwithstanding all the expedition he had used, however, the gate had been closed a good half hour when he reached it, and by the time he had discovered mr Perker's laundress, who lived with a married daughter, who had bestowed her hand upon a non resident waiter, who occupied the one pair of some number in some street closely adjoining to some brewery somewhere behind Gray's Inn Lane, it was within fifteen minutes of closing the prison for the night.	true	64.79	92.29	22.12721
1265_135636_000001_000002	Mr. Lowten had still to be ferreted out from the back parlour of the Magpie and Stump; and Job had scarcely accomplished this object, and communicated Sam Weller's message, when the clock struck ten.	mr Lowten had still to be ferreted out from the back parlour of the Magpie and Stump; and Job had scarcely accomplished this object, and communicated Sam Weller's message, when the clock struck ten.	true	92.96	105.1	23.120985
1265_135636_000002_000000	'There,' said Lowten, 'it's too late now.	'There,' said Lowten, 'it's too late now.	true	105.83	108.15	23.589079
1265_135636_000002_000001	You can't get in to-night; you've got the key of the street, my friend.'	You can't get in to night; you've got the key of the street, my friend.'	true	108.15	112.54	25.046886
1265_135636_000003_000000	'Never mind me,' replied Job.	'Never mind me,' replied Job.	false	112.61	114.345	20.390722
1265_135636_000003_000001	'I can sleep anywhere.	'I can sleep anywhere.	true	114.345	115.72	21
1265_135636_000003_000002	But won't it be better to see Mr. Perker to-night, so that we may be there, the first thing in the morning?'	But won't it be better to see mr Perker to night, so that we may be there, the first thing in the morning?'	true	115.91	121.33	21.511961
1265_135636_000004_000000	'Why,' responded Lowten, after a little consideration, 'if it was in anybody else's case, Perker wouldn't be best pleased at my going up to his house; but as it's Mr. Pickwick's, I think I may venture to take a cab and charge it to the office.' Deciding on this line of conduct, Mr. Lowten took up his hat, and begging the assembled company to appoint a deputy-chairman during his temporary absence, led the way to the nearest coach-stand.	'Why,' responded Lowten, after a little consideration, 'if it was in anybody else's case, Perker wouldn't be best pleased at my going up to his house; but as it's mr Pickwick's, I think I may venture to take a cab and charge it to the office.' Deciding on this line of conduct, mr Lowten took up his hat, and begging the assembled company to appoint a deputy chairman during his temporary absence, led the way to the nearest coach stand.	false	121.76	147.49	22.8354
1265_135636_000004_000001	Summoning the cab of most promising appearance, he directed the driver to repair to Montague Place, Russell Square.	Summoning the cab of most promising appearance, he directed the driver to repair to Montague Place, Russell Square.	true	147.53	154.39	24.541882
1265_135636_000005_000000	Mr. Perker had had a dinner-party that day, as was testified by the appearance of lights in the drawing-room windows, the sound of an improved grand piano, and an improvable cabinet voice issuing therefrom, and a rather overpowering smell of meat which pervaded the steps and entry.	mr Perker had had a dinner party that day, as was testified by the appearance of lights in the drawing room windows, the sound of an improved grand piano, and an improvable cabinet voice issuing therefrom, and a rather overpowering smell of meat which pervaded the steps and entry.	true	155.24	172.9	21.451319
1265_135636_000005_000001	In fact, a couple of very good country agencies happening to come up to town, at the same time, an agreeable little party had been got together to meet them, comprising Mr. Snicks, the Life Office Secretary, Mr. Prosee, the eminent counsel, three solicitors, one commissioner of bankrupts, a special pleader from the Temple, a small-eyed peremptory young gentleman, his pupil, who had written a lively book about the law of demises, with a vast quantity of marginal notes and references; and several other eminent and distinguished personages.	In fact, a couple of very good country agencies happening to come up to town, at the same time, an agreeable little party had been got together to meet them, comprising mr Snicks, the Life Office Secretary, mr Prosee, the eminent counsel, three solicitors, one commissioner of bankrupts, a special pleader from the Temple, a small eyed peremptory young gentleman, his pupil, who had written a lively book about the law of demises, with a vast quantity of marginal notes and references; and several other eminent and distinguished personages.	false	173.12	207.25	23.449389
1265_135636_000005_000002	From this society, little Mr. Perker detached himself, on his clerk being announced in a whisper; and repairing to the dining-room, there found Mr. Lowten and Job Trotter looking very dim and shadowy by the light of a kitchen candle, which the gentleman who condescended to appear in plush shorts and cottons for a quarterly stipend, had, with a becoming contempt for the clerk and all things appertaining to 'the office,' placed upon the table.	From this society, little mr Perker detached himself, on his clerk being announced in a whisper; and repairing to the dining room, there found mr Lowten and Job Trotter looking very dim and shadowy by the light of a kitchen candle, which the gentleman who condescended to appear in plush shorts and cottons for a quarterly stipend, had, with a becoming contempt for the clerk and all things appertaining to 'the office,' placed upon the table.	false	207.26	234.52	23.334646
1265_135636_000006_000000	'Now, Lowten,' said little Mr. Perker, shutting the door,'what's the matter?	'Now, Lowten,' said little mr Perker, shutting the door,'what's the matter?	true	234.71	238.57	25.407454
1265_135636_000006_000001	No important letter come in a parcel, is there?'	No important letter come in a parcel, is there?'	true	238.79	241.9	27.373632
1265_135636_000007_000000	'No, Sir,' replied Lowten.	'No, Sir,' replied Lowten.	true	242.27	243.79	25
1265_135636_000007_000001	'This is a messenger from Mr. Pickwick, Sir.'	'This is a messenger from mr Pickwick, Sir.'	true	243.8	247	22.962027
1265_135636_000008_000000	'From Pickwick, eh?' said the little man, turning quickly to Job. 'Well, what is it?'	'From Pickwick, eh?' said the little man, turning quickly to Job. 'Well, what is it?'	true	247.97	252.67	23.177927
1265_135636_000009_000000	'Dodson and Fogg have taken Mrs. Bardell in execution for her costs, Sir,' said Job.	'Dodson and Fogg have taken mrs Bardell in execution for her costs, Sir,' said Job.	true	253.37	258.97	21.682396
1265_135636_000010_000000	'No!' exclaimed Perker, putting his hands in his pockets, and reclining against the sideboard.	'No!' exclaimed Perker, putting his hands in his pockets, and reclining against the sideboard.	true	259.28	264.64	24.295658
1265_135636_000011_000000	'Yes,' said Job. 'It seems they got a cognovit out of her, for the amount of 'em, directly after the trial.'	'Yes,' said Job. 'It seems they got a cognovit out of her, for the amount of 'em, directly after the trial.'	false	264.77	271.57	22.466482
1265_135636_000012_000000	'By Jove!' said Perker, taking both hands out of his pockets, and striking the knuckles of his right against the palm of his left, emphatically, 'those are the cleverest scamps I ever had anything to do with!'	'By Jove!' said Perker, taking both hands out of his pockets, and striking the knuckles of his right against the palm of his left, emphatically, 'those are the cleverest scamps I ever had anything to do with!'	true	272.27	283.6	23.33298
1265_135636_000013_000000	'The sharpest practitioners I ever knew, Sir,' observed Lowten.	'The sharpest practitioners I ever knew, Sir,' observed Lowten.	true	284.45	287.74	18
1265_135636_000014_000000	'Sharp!' echoed Perker. 'There's no knowing where to have them.'	'Sharp!' echoed Perker. 'There's no knowing where to have them.'	true	289.13	293.77	18.345137
1265_135636_000015_000000	'Very true, Sir, there is not,' replied Lowten; and then, both master and man pondered for a few seconds, with animated countenances, as if they were reflecting upon one of the most beautiful and ingenious discoveries that the intellect of man had ever made.	'Very true, Sir, there is not,' replied Lowten; and then, both master and man pondered for a few seconds, with animated countenances, as if they were reflecting upon one of the most beautiful and ingenious discoveries that the intellect of man had ever made.	false	294.17	309.52	23.005547
1265_135636_000015_000001	When they had in some measure recovered from their trance of admiration, Job Trotter discharged himself of the rest of his commission.	When they had in some measure recovered from their trance of admiration, Job Trotter discharged himself of the rest of his commission.	true	310.31	318.04	24.150724
1265_135636_000015_000002	Perker nodded his head thoughtfully, and pulled out his watch.	Perker nodded his head thoughtfully, and pulled out his watch.	true	318.44	322.33	23.042713
1265_135636_000016_000000	'At ten precisely, I will be there,' said the little man.	'At ten precisely, I will be there,' said the little man.	true	322.46	325.48	18.57623
1265_135636_000016_000001	'Sam is quite right.	'Sam is quite right.	true	325.61	326.91	24.74376
1265_135636_000016_000002	Tell him so.	Tell him so.	true	326.91	327.88	23.591215
1265_135636_000016_000003	Will you take a glass of wine, Lowten?' 'No, thank you, Sir.'	Will you take a glass of wine, Lowten?' 'No, thank you, Sir.'	true	327.92	331.78	22.144377
1265_135636_000017_000000	'You mean yes, I think,' said the little man, turning to the sideboard for a decanter and glasses.	'You mean yes, I think,' said the little man, turning to the sideboard for a decanter and glasses.	false	332	337.59	21.488098
