1265_135636_000000_000001	IS CHIEFLY DEVOTED TO MATTERS OF BUSINESS, AND THE TEMPORAL ADVANTAGE OF DODSON AND FOGG--Mr.	IS CHIEFLY DEVOTED TO MATTERS OF BUSINESS, AND THE TEMPORAL ADVANTAGE OF DODSON AND FOGG-mr
1265_135636_000000_000002	WINKLE REAPPEARS UNDER EXTRAORDINARY CIRCUMSTANCES--Mr.	WINKLE REAPPEARS UNDER EXTRAORDINARY CIRCUMSTANCES-mr
1265_135636_000000_000003	PICKWICK'S BENEVOLENCE PROVES STRONGER THAN HIS OBSTINACY	PICKWICK'S BENEVOLENCE PROVES STRONGER THAN HIS OBSTINACY
1265_135636_000001_000002	Mr. Lowten had still to be ferreted out from the back parlour of the Magpie and Stump; and Job had scarcely accomplished this object, and communicated Sam Weller's message, when the clock struck ten.	mr Lowten had still to be ferreted out from the back parlour of the Magpie and Stump; and Job had scarcely accomplished this object, and communicated Sam Weller's message, when the clock struck ten.
1265_135636_000002_000000	'There,' said Lowten, 'it's too late now.	'There,' said Lowten, 'it's too late now.
1265_135636_000002_000001	You can't get in to-night; you've got the key of the street, my friend.'	You can't get in to night; you've got the key of the street, my friend.'
1265_135636_000003_000001	'I can sleep anywhere.	'I can sleep anywhere.
1265_135636_000003_000002	But won't it be better to see Mr. Perker to-night, so that we may be there, the first thing in the morning?'	But won't it be better to see mr Perker to night, so that we may be there, the first thing in the morning?'
1265_135636_000004_000001	Summoning the cab of most promising appearance, he directed the driver to repair to Montague Place, Russell Square.	Summoning the cab of most promising appearance, he directed the driver to repair to Montague Place, Russell Square.
1265_135636_000005_000000	Mr. Perker had had a dinner-party that day, as was testified by the appearance of lights in the drawing-room windows, the sound of an improved grand piano, and an improvable cabinet voice issuing therefrom, and a rather overpowering smell of meat which pervaded the steps and entry.	mr Perker had had a dinner party that day, as was testified by the appearance of lights in the drawing room windows, the sound of an improved grand piano, and an improvable cabinet voice issuing therefrom, and a rather overpowering smell of meat which pervaded the steps and entry.
1265_135636_000006_000000	'Now, Lowten,' said little Mr. Perker, shutting the door,'what's the matter?	'Now, Lowten,' said little mr Perker, shutting the door,'what's the matter?
1265_135636_000006_000001	No important letter come in a parcel, is there?'	No important letter come in a parcel, is there?'
1265_135636_000007_000000	'No, Sir,' replied Lowten.	'No, Sir,' replied Lowten.
1265_135636_000007_000001	'This is a messenger from Mr. Pickwick, Sir.'	'This is a messenger from mr Pickwick, Sir.'
1265_135636_000008_000000	'From Pickwick, eh?' said the little man, turning quickly to Job. 'Well, what is it?'	'From Pickwick, eh?' said the little man, turning quickly to Job. 'Well, what is it?'
1265_135636_000009_000000	'Dodson and Fogg have taken Mrs. Bardell in execution for her costs, Sir,' said Job.	'Dodson and Fogg have taken mrs Bardell in execution for her costs, Sir,' said Job.
1265_135636_000010_000000	'No!' exclaimed Perker, putting his hands in his pockets, and reclining against the sideboard.	'No!' exclaimed Perker, putting his hands in his pockets, and reclining against the sideboard.
