6828_68770_000002_000000	CHAPTER XI	CHAPTER eleven
6828_68770_000004_000001	Her feet were stretched out toward a small fire that smouldered in an open hearth.	Her feet were stretched out toward a small fire that smouldered in an open hearth.
6828_68770_000004_000002	She wore a simple calico gown, neat and well-fitting, and her face bore traces of much beauty that time and care had been unable wholly to efface.	She wore a simple calico gown, neat and well fitting, and her face bore traces of much beauty that time and care had been unable wholly to efface.
6828_68770_000005_000000	Suddenly she paused in her work, her head turned slightly to one side to listen.	Suddenly she paused in her work, her head turned slightly to one side to listen.
6828_68770_000006_000000	"Come in, sir," she called in a soft but distinct voice; "come in, miss."	"Come in, sir," she called in a soft but distinct voice; "come in, miss."
6828_68770_000007_000000	So Kenneth and Beth entered at the half-open porch door and advanced into the room.	So Kenneth and Beth entered at the half open porch door and advanced into the room.
6828_68770_000008_000000	"Is this Mrs. Rogers?" asked Beth, looking at the woman curiously.	"Is this mrs Rogers?" asked Beth, looking at the woman curiously.
6828_68770_000010_000001	I am Elizabeth DeGraf."	I am Elizabeth DeGraf."
6828_68770_000011_000000	"And your companion--is it Mr. Forbes?" the woman asked.	"And your companion-is it mr Forbes?" the woman asked.
6828_68770_000013_000001	Will you please find seats?	Will you please find seats?
6828_68770_000014_000001	"We have come to ask if you have heard anything of your daughter."	"We have come to ask if you have heard anything of your daughter."
6828_68770_000016_000000	Her voice broke.	Her voice broke.
6828_68770_000018_000002	Will told you, didn't he?"	Will told you, didn't he?"
6828_68770_000019_000001	But it wasn't so bad, Mrs. Rogers; it wasn't a desperate condition, by any means."	But it wasn't so bad, mrs Rogers; it wasn't a desperate condition, by any means."
6828_68770_000020_000000	"With poor Tom in prison for years--and just for trying to help her."	"With poor Tom in prison for years-and just for trying to help her."
6828_68770_000021_000000	"Tom isn't in prison, you know, any more," said Beth quietly.	"Tom isn't in prison, you know, any more," said Beth quietly.
6828_68770_000021_000001	"He has been released."	"He has been released."
6828_68770_000023_000000	"Last evening.	"Last evening.
6828_68770_000023_000001	His fault has been forgiven, and he is now free."	His fault has been forgiven, and he is now free."
6828_68770_000024_000000	The woman sat silent for a time.	The woman sat silent for a time.
6828_68770_000025_000000	"You have done this, Mr. Forbes?"	"You have done this, mr Forbes?"
6828_68770_000026_000000	"Why, Miss DeGraf and I assisted, perhaps.	"Why, Miss DeGraf and I assisted, perhaps.
6828_68770_000027_000001	"He's honest and true, Mr. Forbes--he is, indeed!"	"He's honest and true, mr Forbes-he is, indeed!"
6828_68770_000029_000001	He had a bright future before him, sir, and that's why my child went mad when he ruined his life for her sake."	He had a bright future before him, sir, and that's why my child went mad when he ruined his life for her sake."
6828_68770_000030_000000	"Was she mad, do you think?" asked Beth, softly.	"Was she mad, do you think?" asked Beth, softly.
6828_68770_000031_000001	"Lucy was a sensible girl, and until this thing happened she was as bright and cheerful as the day is long.	"Lucy was a sensible girl, and until this thing happened she was as bright and cheerful as the day is long.
6828_68770_000031_000002	But she is very sensitive--she inherited that from me, I think--and Tom's action drove her distracted.	But she is very sensitive-she inherited that from me, I think-and Tom's action drove her distracted.
6828_68770_000032_000000	"Let us hope for the best, Mrs. Rogers," said Beth.	"Let us hope for the best, mrs Rogers," said Beth.
6828_68770_000033_000000	"Have you?" asked the woman, earnestly.	"Have you?" asked the woman, earnestly.
6828_68770_000036_000000	"I shall be glad to know whatever you care to tell me," said Beth, simply.	"I shall be glad to know whatever you care to tell me," said Beth, simply.
