2004_147173_000000_000000	CHAPTER XXXI.	CHAPTER thirty one.	false	1.56	16.63	20.192299
2004_147173_000001_000000	HOW MARY PASSED THE NIGHT.	HOW MARY PASSED THE NIGHT.	true	16.79	18.46	26.45941
2004_147173_000002_000000	"To think That all this long interminable night, Which I have passed in thinking on two words-- 'Guilty'--'Not Guilty!'--like one happy moment O'er many a head hath flown unheeded by; O'er happy sleepers dreaming in their bliss Of bright to-morrows--or far happier still, With deep breath buried in forgetfulness. O all the dismallest images of death Did swim before my eyes!"	"To think That all this long interminable night, Which I have passed in thinking on two words- 'Guilty'--'Not Guilty!'--like one happy moment O'er many a head hath flown unheeded by; O'er happy sleepers dreaming in their bliss Of bright to morrows-or far happier still, With deep breath buried in forgetfulness. O all the dismallest images of death Did swim before my eyes!"	false	19.34	46.24	22.681831
2004_147173_000003_000000	WILSON.	WILSON.	true	46.79	47.65	18.769588
2004_147173_000004_000000	And now, where was Mary?	And now, where was Mary?	true	49.37	51.22	20.794127
2004_147173_000005_000000	How Job's heart would have been relieved of one of its cares if he could have seen her: for he was in a miserable state of anxiety about her; and many and many a time through that long night he scolded her and himself; her for her obstinacy, and himself for his weakness in yielding to her obstinacy, when she insisted on being the one to follow and find out Will.	How Job's heart would have been relieved of one of its cares if he could have seen her: for he was in a miserable state of anxiety about her; and many and many a time through that long night he scolded her and himself; her for her obstinacy, and himself for his weakness in yielding to her obstinacy, when she insisted on being the one to follow and find out Will.	true	51.65	73.3	17
2004_147173_000006_000000	She did not pass that night in bed any more than Job; but she was under a respectable roof, and among kind, though rough people.	She did not pass that night in bed any more than Job; but she was under a respectable roof, and among kind, though rough people.	true	73.76	81.04	19
2004_147173_000007_000000	She had offered no resistance to the old boatman, when he had clutched her arm, in order to insure her following him, as he threaded the crowded dock-ways, and dived up strange bye-streets.	She had offered no resistance to the old boatman, when he had clutched her arm, in order to insure her following him, as he threaded the crowded dock ways, and dived up strange bye streets.	true	82.7	93.16	19
2004_147173_000007_000001	She came on meekly after him, scarcely thinking in her stupor where she was going, and glad (in a dead, heavy way) that some one was deciding things for her.	She came on meekly after him, scarcely thinking in her stupor where she was going, and glad (in a dead, heavy way) that some one was deciding things for her.	true	93.41	103.93	22.263279
2004_147173_000008_000000	He led her to an old-fashioned house, almost as small as house could be, which had been built long ago, before all the other part of the street, and had a country-town look about it in the middle of that bustling back street.	He led her to an old-fashioned house, almost as small as house could be, which had been built long ago, before all the other part of the street, and had a country town look about it in the middle of that bustling back street.	true	105.23	117.55	22
2004_147173_000008_000001	He pulled her into the house-place; and relieved to a certain degree of his fear of losing her on the way, he exclaimed,	He pulled her into the house place; and relieved to a certain degree of his fear of losing her on the way, he exclaimed,	true	117.77	124.9	18.943388
2004_147173_000009_000000	"There!" giving a great slap of one hand on her back.	"There!" giving a great slap of one hand on her back.	false	125.27	129.58	21.236544
2004_147173_000010_000000	The room was light and bright, and roused Mary (perhaps the slap on her back might help a little, too), and she felt the awkwardness of accounting for her presence to a little bustling old woman who had been moving about the fire-place on her entrance.	The room was light and bright, and roused Mary (perhaps the slap on her back might help a little, too), and she felt the awkwardness of accounting for her presence to a little bustling old woman who had been moving about the fire place on her entrance.	true	130.67	143.56	17
2004_147173_000010_000001	The boatman took it very quietly, never deigning to give any explanation, but sitting down in his own particular chair, and chewing tobacco, while he looked at Mary with the most satisfied air imaginable, half triumphantly, as if she were the captive of his bow and spear, and half defyingly, as if daring her to escape.	The boatman took it very quietly, never deigning to give any explanation, but sitting down in his own particular chair, and chewing tobacco, while he looked at Mary with the most satisfied air imaginable, half triumphantly, as if she were the captive of his bow and spear, and half defyingly, as if daring her to escape.	true	143.78	163.15	21
2004_147173_000011_000000	The old woman, his wife, stood still, poker in hand, waiting to be told who it was that her husband had brought home so unceremoniously; but, as she looked in amazement the girl's cheek flushed, and then blanched to a dead whiteness; a film came over her eyes, and catching at the dresser for support in that hot whirling room, she fell in a heap on the floor.	The old woman, his wife, stood still, poker in hand, waiting to be told who it was that her husband had brought home so unceremoniously; but, as she looked in amazement the girl's cheek flushed, and then blanched to a dead whiteness; a film came over her eyes, and catching at the dresser for support in that hot whirling room, she fell in a heap on the floor.	false	164.45	187.48	22.566206
2004_147173_000012_000000	Both man and wife came quickly to her assistance.	Both man and wife came quickly to her assistance.	true	188.45	191.17	24
2004_147173_000012_000001	They raised her up, still insensible, and he supported her on one knee, while his wife pattered away for some cold fresh water.	They raised her up, still insensible, and he supported her on one knee, while his wife pattered away for some cold fresh water.	true	191.93	200.47	20.363764
2004_147173_000012_000002	She threw it straight over Mary; but though it caused a great sob, the eyes still remained closed, and the face as pale as ashes.	She threw it straight over Mary; but though it caused a great sob, the eyes still remained closed, and the face as pale as ashes.	true	200.6	208.83	22.5947
2004_147173_000013_000000	"Who is she, Ben?" asked the woman, as she rubbed her unresisting, powerless hands.	"Who is she, Ben?" asked the woman, as she rubbed her unresisting, powerless hands.	false	208.83	216.63	22.323751
