115_121896_000000_000000	SONG VII.	SONG seven.	false	8.4	9.18	27.422258
115_121896_000001_000000	PLEASURE'S STING.	PLEASURE'S STING.	false	9.18	10.32	22.06947
115_121896_000002_000000	This is the way of Pleasure: She stings them that despoil her; And, like the winged toiler Who's lost her honeyed treasure, She flies, but leaves her smart Deep-rankling in the heart.	This is the way of Pleasure: She stings them that despoil her; And, like the winged toiler Who's lost her honeyed treasure, She flies, but leaves her smart Deep rankling in the heart.	false	10.32	34.35	19.9832
115_121896_000003_000000	VIII.	eight.	true	34.35	35.17	20.166227
115_121896_000004_000000	'It is beyond doubt, then, that these paths do not lead to happiness; they cannot guide anyone to the promised goal.	'It is beyond doubt, then, that these paths do not lead to happiness; they cannot guide anyone to the promised goal.	false	35.36	43.75	22.685701
115_121896_000004_000001	Now, I will very briefly show what serious evils are involved in following them.	Now, I will very briefly show what serious evils are involved in following them.	true	44.03	49.51	18.94179
115_121896_000004_000002	Just consider. Is it thy endeavour to heap up money?	Just consider. Is it thy endeavour to heap up money?	true	49.82	54.13	19.338465
115_121896_000004_000003	Why, thou must wrest it from its present possessor!	Why, thou must wrest it from its present possessor!	true	54.17	57.4	21.62635
115_121896_000004_000004	Art thou minded to put on the splendour of official dignity?	Art thou minded to put on the splendour of official dignity?	true	57.83	61.93	19.797573
115_121896_000004_000005	Thou must beg from those who have the giving of it; thou who covetest to outvie others in honour must lower thyself to the humble posture of petition.	Thou must beg from those who have the giving of it; thou who covetest to outvie others in honour must lower thyself to the humble posture of petition.	false	61.97	72.16	21.67947
115_121896_000004_000006	Dost thou long for power?	Dost thou long for power?	true	72.8	74.64	24.722597
115_121896_000004_000007	Thou must face perils, for thou wilt be at the mercy of thy subjects' plots.	Thou must face perils, for thou wilt be at the mercy of thy subjects' plots.	false	74.64	80.71	22.461313
115_121896_000004_000008	Is glory thy aim? Thou art lured on through all manner of hardships, and there is an end to thy peace of mind.	Is glory thy aim? Thou art lured on through all manner of hardships, and there is an end to thy peace of mind.	false	81.68	90.19	21.942833
115_121896_000004_000009	Art fain to lead a life of pleasure?	Art fain to lead a life of pleasure?	true	91.07	93.75	19.967493
115_121896_000004_000010	Yet who does not scorn and contemn one who is the slave of the weakest and vilest of things--the body?	Yet who does not scorn and contemn one who is the slave of the weakest and vilest of things-the body?	false	93.75	100.9	19.367407
115_121896_000004_000011	Again, on how slight and perishable a possession do they rely who set before themselves bodily excellences!	Again, on how slight and perishable a possession do they rely who set before themselves bodily excellences!	true	101.18	109.51	21.188389
115_121896_000004_000012	Can ye ever surpass the elephant in bulk or the bull in strength?	Can ye ever surpass the elephant in bulk or the bull in strength?	true	109.73	114.58	21.831156
115_121896_000004_000013	Can ye excel the tiger in swiftness?	Can ye excel the tiger in swiftness?	true	114.8	117.94	18.46794
115_121896_000004_000014	Look upon the infinitude, the solidity, the swift motion, of the heavens, and for once cease to admire things mean and worthless.	Look upon the infinitude, the solidity, the swift motion, of the heavens, and for once cease to admire things mean and worthless.	true	118.19	128.61	20.163784
115_121896_000004_000015	And yet the heavens are not so much to be admired on this account as for the reason which guides them.	And yet the heavens are not so much to be admired on this account as for the reason which guides them.	false	128.61	136.45	20.437063
115_121896_000004_000016	Then, how transient is the lustre of beauty! how soon gone!--more fleeting than the fading bloom of spring flowers.	Then, how transient is the lustre of beauty! how soon gone!--more fleeting than the fading bloom of spring flowers.	false	136.61	145.41	20.694107
115_121896_000004_000017	And yet if, as Aristotle says, men should see with the eyes of Lynceus, so that their sight might pierce through obstructions, would not that body of Alcibiades, so gloriously fair in outward seeming, appear altogether loathsome when all its inward parts lay open to the view?	And yet if, as Aristotle says, men should see with the eyes of Lynceus, so that their sight might pierce through obstructions, would not that body of Alcibiades, so gloriously fair in outward seeming, appear altogether loathsome when all its inward parts lay open to the view?	false	145.41	166.39	20.634224
115_121896_000004_000018	Therefore, it is not thy own nature that makes thee seem beautiful, but the weakness of the eyes that see thee.	Therefore, it is not thy own nature that makes thee seem beautiful, but the weakness of the eyes that see thee.	false	166.61	173.65	21.216146
115_121896_000004_000019	Yet prize as unduly as ye will that body's excellences; so long as ye know that this that ye admire, whatever its worth, can be dissolved away by the feeble flame of a three days' fever.	Yet prize as unduly as ye will that body's excellences; so long as ye know that this that ye admire, whatever its worth, can be dissolved away by the feeble flame of a three days' fever.	false	173.9	188.37	18.50195
115_121896_000004_000020	From all which considerations we may conclude as a whole, that these things which cannot make good the advantages they promise, which are never made perfect by the assemblage of all good things--these neither lead as by-ways to happiness, nor themselves make men completely happy.'	From all which considerations we may conclude as a whole, that these things which cannot make good the advantages they promise, which are never made perfect by the assemblage of all good things-these neither lead as by ways to happiness, nor themselves make men completely happy.'	false	188.37	208.18	19.202995
