6696_73295_000000_000000	I am, dear sir, etc., etc.	I am, dear sir, etc, etc	false	2.88	29.1	22.447266
6696_73295_000001_000000	A WELL-MATCHED SISTER AND BROTHER	A WELL MATCHED SISTER AND BROTHER	true	29.1	31.32	21.94601
6696_73295_000002_000000	From 'Northanger Abbey'	From 'Northanger Abbey'	false	31.32	36.12	21.847263
6696_73295_000003_000000	"My dearest Catherine, have you settled what to wear on your head to-night?	"My dearest Catherine, have you settled what to wear on your head to night?	true	36.12	40.24	22.68046
6696_73295_000003_000001	I am determined, at all events, to be dressed exactly like you.	I am determined, at all events, to be dressed exactly like you.	true	40.34	44.08	20.658587
6696_73295_000003_000002	The men take notice of _that_ sometimes, you know."	The men take notice of underscore that underscore sometimes, you know."	false	44.15	47.02	23.28967
6696_73295_000004_000000	"But it does not signify if they do," said Catherine, very innocently.	"But it does not signify if they do," said Catherine, very innocently.	true	47.42	51.91	20.701912
6696_73295_000005_000000	"Signify! oh, heavens!	"Signify! oh, heavens!	true	52.07	54.04	22.429853
6696_73295_000005_000001	I make it a rule never to mind what they say. They are very often amazingly impertinent, if you do not treat them with spirit, and make them keep their distance."	I make it a rule never to mind what they say. They are very often amazingly impertinent, if you do not treat them with spirit, and make them keep their distance."	true	54.14	62.92	22.189398
6696_73295_000006_000000	"Are they?	"Are they?	true	63.26	64.24	26.665745
6696_73295_000006_000001	Well I never observed _that_.	Well I never observed underscore that underscore.	false	64.52	66.42	26.750233
6696_73295_000006_000002	They always behave very well to me."	They always behave very well to me."	true	66.42	68.32	23.237709
6696_73295_000007_000000	"Oh! they give themselves such airs.	"Oh! they give themselves such airs.	true	68.45	71.08	22.088871
6696_73295_000007_000001	They are the most conceited creatures in the world, and think themselves of so much importance!	They are the most conceited creatures in the world, and think themselves of so much importance!	false	71.15	76	22.362698
6696_73295_000007_000002	By the by, though I have thought of it a hundred times, I have always forgot to ask you what is your favorite complexion in a man.	By the by, though I have thought of it a hundred times, I have always forgot to ask you what is your favorite complexion in a man.	true	76.1	84.04	20.896116
6696_73295_000007_000003	Do you like them best dark or fair?"	Do you like them best dark or fair?"	true	84.08	86.8	26.112072
6696_73295_000008_000000	"I hardly know.	"I hardly know.	true	87.41	88.81	20.15004
6696_73295_000008_000001	I never much thought about it.	I never much thought about it.	true	88.94	90.73	22.839848
6696_73295_000008_000002	Something between both, I think--brown: not fair, and not very dark."	Something between both, I think-brown: not fair, and not very dark."	true	91.01	96.82	24.452158
6696_73295_000009_000000	"Very well, Catherine.	"Very well, Catherine.	true	96.89	98.22	25.270844
6696_73295_000009_000001	That is exactly he.	That is exactly he.	true	98.22	99.91	19.41452
6696_73295_000009_000002	I have not forgot your description of Mr. Tilney: 'a brown skin, with dark eyes, and rather dark hair.' Well, my taste is different.	I have not forgot your description of mr Tilney: 'a brown skin, with dark eyes, and rather dark hair.' Well, my taste is different.	true	100.01	108.9	22.40957
