4145_34497_000005_000000	Chapter 22	Chapter twenty two
4145_34497_000006_000000	It was six o'clock already, and so, in order to be there quickly, and at the same time not to drive with his own horses, known to everyone, Vronsky got into Yashvin's hired fly, and told the driver to drive as quickly as possible.	It was six o'clock already, and so, in order to be there quickly, and at the same time not to drive with his own horses, known to everyone, Vronsky got into Yashvin's hired fly, and told the driver to drive as quickly as possible.
4145_34497_000006_000001	It was a roomy, old-fashioned fly, with seats for four.	It was a roomy, old-fashioned fly, with seats for four.
4145_34497_000006_000002	He sat in one corner, stretched his legs out on the front seat, and sank into meditation.	He sat in one corner, stretched his legs out on the front seat, and sank into meditation.
4145_34497_000007_000000	A vague sense of the order into which his affairs had been brought, a vague recollection of the friendliness and flattery of Serpuhovskoy, who had considered him a man that was needed, and most of all, the anticipation of the interview before him--all blended into a general, joyous sense of life.	A vague sense of the order into which his affairs had been brought, a vague recollection of the friendliness and flattery of Serpuhovskoy, who had considered him a man that was needed, and most of all, the anticipation of the interview before him-all blended into a general, joyous sense of life.
4145_34497_000007_000001	This feeling was so strong that he could not help smiling.	This feeling was so strong that he could not help smiling.
4145_34497_000007_000002	He dropped his legs, crossed one leg over the other knee, and taking it in his hand, felt the springy muscle of the calf, where it had been grazed the day before by his fall, and leaning back he drew several deep breaths.	He dropped his legs, crossed one leg over the other knee, and taking it in his hand, felt the springy muscle of the calf, where it had been grazed the day before by his fall, and leaning back he drew several deep breaths.
4145_34497_000008_000000	"I'm happy, very happy!" he said to himself.	"I'm happy, very happy!" he said to himself.
4145_34497_000008_000001	He had often before had this sense of physical joy in his own body, but he had never felt so fond of himself, of his own body, as at that moment.	He had often before had this sense of physical joy in his own body, but he had never felt so fond of himself, of his own body, as at that moment.
4145_34497_000008_000002	He enjoyed the slight ache in his strong leg, he enjoyed the muscular sensation of movement in his chest as he breathed.	He enjoyed the slight ache in his strong leg, he enjoyed the muscular sensation of movement in his chest as he breathed.
4145_34497_000008_000003	The bright, cold August day, which had made Anna feel so hopeless, seemed to him keenly stimulating, and refreshed his face and neck that still tingled from the cold water.	The bright, cold August day, which had made Anna feel so hopeless, seemed to him keenly stimulating, and refreshed his face and neck that still tingled from the cold water.
4145_34497_000008_000004	The scent of brilliantine on his whiskers struck him as particularly pleasant in the fresh air.	The scent of brilliantine on his whiskers struck him as particularly pleasant in the fresh air.
4145_34497_000009_000000	"Get on, get on!" he said to the driver, putting his head out of the window, and pulling a three-rouble note out of his pocket he handed it to the man as he looked round.	"Get on, get on!" he said to the driver, putting his head out of the window, and pulling a three rouble note out of his pocket he handed it to the man as he looked round.
4145_34497_000009_000001	The driver's hand fumbled with something at the lamp, the whip cracked, and the carriage rolled rapidly along the smooth highroad.	The driver's hand fumbled with something at the lamp, the whip cracked, and the carriage rolled rapidly along the smooth highroad.
4145_34497_000010_000000	"I want nothing, nothing but this happiness," he thought, staring at the bone button of the bell in the space between the windows, and picturing to himself Anna just as he had seen her last time.	"I want nothing, nothing but this happiness," he thought, staring at the bone button of the bell in the space between the windows, and picturing to himself Anna just as he had seen her last time.
4145_34497_000010_000001	"And as I go on, I love her more and more.	"And as I go on, I love her more and more.
4145_34497_000010_000003	Where?	Where?
4145_34497_000010_000004	How?	How?
4145_34497_000010_000005	Why did she fix on this place to meet me, and why does she write in Betsy's letter?" he thought, wondering now for the first time at it.	Why did she fix on this place to meet me, and why does she write in Betsy's letter?" he thought, wondering now for the first time at it.
4145_34497_000010_000006	But there was now no time for wonder.	But there was now no time for wonder.
4145_34497_000010_000007	He called to the driver to stop before reaching the avenue, and opening the door, jumped out of the carriage as it was moving, and went into the avenue that led up to the house.	He called to the driver to stop before reaching the avenue, and opening the door, jumped out of the carriage as it was moving, and went into the avenue that led up to the house.
4145_34497_000010_000008	There was no one in the avenue; but looking round to the right he caught sight of her.	There was no one in the avenue; but looking round to the right he caught sight of her.
4145_34497_000010_000009	Her face was hidden by a veil, but he drank in with glad eyes the special movement in walking, peculiar to her alone, the slope of the shoulders, and the setting of the head, and at once a sort of electric shock ran all over him.	Her face was hidden by a veil, but he drank in with glad eyes the special movement in walking, peculiar to her alone, the slope of the shoulders, and the setting of the head, and at once a sort of electric shock ran all over him.
4145_34497_000012_000000	"You're not angry that I sent for you?	"You're not angry that I sent for you?
