6160_44912_000000_000001	Sometimes she used to feel as if it must be another life altogether, the life of some other child.	Sometimes she used to feel as if it must be another life altogether, the life of some other child.
6160_44912_000000_000002	She was a little drudge and outcast; she was given her lessons at odd times and expected to learn without being taught; she was sent on errands by Miss Minchin, Miss Amelia and the cook.	She was a little drudge and outcast; she was given her lessons at odd times and expected to learn without being taught; she was sent on errands by Miss Minchin, Miss Amelia and the cook.
6160_44912_000000_000003	Nobody took any notice of her except when they ordered her about.	Nobody took any notice of her except when they ordered her about.
6160_44912_000000_000005	She had never been intimate with the other pupils, and soon she became so shabby that, taking her queer clothes together with her queer little ways, they began to look upon her as a being of another world than their own.	She had never been intimate with the other pupils, and soon she became so shabby that, taking her queer clothes together with her queer little ways, they began to look upon her as a being of another world than their own.
6160_44912_000000_000006	The fact was that, as a rule, Miss Minchin's pupils were rather dull, matter-of-fact young people, accustomed to being rich and comfortable; and Sara, with her elfish cleverness, her desolate life, and her odd habit of fixing her eyes upon them and staring them out of countenance, was too much for them.	The fact was that, as a rule, Miss Minchin's pupils were rather dull, matter of fact young people, accustomed to being rich and comfortable; and Sara, with her elfish cleverness, her desolate life, and her odd habit of fixing her eyes upon them and staring them out of countenance, was too much for them.
6160_44912_000001_000001	"I am," said Sara promptly, when she heard of it.	"I am," said Sara promptly, when she heard of it.
6160_44912_000001_000002	"That's what I look at them for.	"That's what I look at them for.
6160_44912_000001_000003	I like to know about people.	I like to know about people.
6160_44912_000001_000004	I think them over afterward."	I think them over afterward."
6160_44912_000002_000002	Sara thought Emily understood her feelings, though she was only wax and had a habit of staring herself.	Sara thought Emily understood her feelings, though she was only wax and had a habit of staring herself.
6160_44912_000002_000003	Sara used to talk to her at night.	Sara used to talk to her at night.
6160_44912_000003_000000	"You are the only friend I have in the world," she would say to her. "Why don't you say something?	"You are the only friend I have in the world," she would say to her. "Why don't you say something?
6160_44912_000003_000001	Why don't you speak?	Why don't you speak?
6160_44912_000003_000003	It ought to make you try, to know you are the only thing I have.	It ought to make you try, to know you are the only thing I have.
6160_44912_000003_000004	If I were you, I should try.	If I were you, I should try.
6160_44912_000003_000005	Why don't you try?"	Why don't you try?"
6160_44912_000004_000001	It arose from her being so desolate.	It arose from her being so desolate.
6160_44912_000004_000002	She did not like to own to herself that her only friend, her only companion, could feel and hear nothing.	She did not like to own to herself that her only friend, her only companion, could feel and hear nothing.
6160_44912_000004_000004	There were rat-holes in the garret, and Sara detested rats, and was always glad Emily was with her when she heard their hateful squeak and rush and scratching.	There were rat holes in the garret, and Sara detested rats, and was always glad Emily was with her when she heard their hateful squeak and rush and scratching.
6160_44912_000004_000005	One of her "pretends" was that Emily was a kind of good witch and could protect her.	One of her "pretends" was that Emily was a kind of good witch and could protect her.
6160_44912_000004_000006	Poor little Sara! everything was "pretend" with her.	Poor little Sara! everything was "pretend" with her.
6160_44912_000004_000007	She had a strong imagination; there was almost more imagination than there was Sara, and her whole forlorn, uncared-for child-life was made up of imaginings.	She had a strong imagination; there was almost more imagination than there was Sara, and her whole forlorn, uncared for child life was made up of imaginings.
6160_44912_000004_000008	She imagined and pretended things until she almost believed them, and she would scarcely have been surprised at any remarkable thing that could have happened.	She imagined and pretended things until she almost believed them, and she would scarcely have been surprised at any remarkable thing that could have happened.
6160_44912_000005_000000	"As to answering," she used to say, "I don't answer very often.	"As to answering," she used to say, "I don't answer very often.
6160_44912_000005_000001	I never answer when I can help it.	I never answer when I can help it.
6160_44912_000005_000002	When people are insulting you, there is nothing so good for them as not to say a word--just to look at them and think.	When people are insulting you, there is nothing so good for them as not to say a word-just to look at them and think.
6160_44912_000005_000003	Miss Minchin turns pale with rage when I do it.	Miss Minchin turns pale with rage when I do it.
6160_44912_000005_000004	Miss Amelia looks frightened, so do the girls.	Miss Amelia looks frightened, so do the girls.
6160_44912_000005_000005	They know you are stronger than they are, because you are strong enough to hold in your rage and they are not, and they say stupid things they wish they hadn't said afterward.	They know you are stronger than they are, because you are strong enough to hold in your rage and they are not, and they say stupid things they wish they hadn't said afterward.
6160_44912_000005_000006	There's nothing so strong as rage, except what makes you hold it in--that's stronger.	There's nothing so strong as rage, except what makes you hold it in-that's stronger.
6160_44912_000005_000007	It's a good thing not to answer your enemies.	It's a good thing not to answer your enemies.
6160_44912_000005_000008	I scarcely ever do.	I scarcely ever do.
6160_44912_000005_000009	Perhaps Emily is more like me than I am like myself.	Perhaps Emily is more like me than I am like myself.
6160_44912_000005_000010	Perhaps she would rather not answer her friends, even.	Perhaps she would rather not answer her friends, even.
6160_44912_000005_000011	She keeps it all in her heart."	She keeps it all in her heart."
