1859_145700_000000_000000	'But he has nothing on!' said a little child at last.	'But he has nothing on!' said a little child at last.	false	0	1.65	24.632538
1859_145700_000001_000000	'Just listen to the innocent child!' said the father, and each one whispered to his neighbour what the child had said.	'Just listen to the innocent child!' said the father, and each one whispered to his neighbour what the child had said.	false	1.65	2.94	18
1859_145700_000002_000000	'But he has nothing on!' the whole of the people called out at last.	'But he has nothing on!' the whole of the people called out at last.	false	2.94	7.08	21.35651
1859_145700_000003_000000	This struck the Emperor, for it seemed to him as if they were right; but he thought to himself, 'I must go on with the procession now.	This struck the Emperor, for it seemed to him as if they were right; but he thought to himself, 'I must go on with the procession now.	false	7.08	15.63	25.282183
1859_145700_000003_000001	And the chamberlains walked along still more uprightly, holding up the train which was not there at all.	And the chamberlains walked along still more uprightly, holding up the train which was not there at all.	false	15.63	19.995	22.966475
1859_145700_000004_000000	THE GOLDEN CRAB(5)	THE GOLDEN CRAB(five)	false	19.995	21.78	20.309216
1859_145700_000005_000000	(5) 'Prinz Krebs,' from Griechische Mahrchen.	(five) 'Prinz Krebs,' from Griechische Mahrchen.	false	21.78	25.665	20.817707
1859_145700_000005_000001	Schmidt.	Schmidt.	true	25.665	26.5	25.154139
1859_145700_000006_000000	Once upon a time there was a fisherman who had a wife and three children.	Once upon a time there was a fisherman who had a wife and three children.	true	27.14	31.3	15
1859_145700_000006_000001	Every morning he used to go out fishing, and whatever fish he caught he sold to the King.	Every morning he used to go out fishing, and whatever fish he caught he sold to the King.	true	31.49	36.4	20
1859_145700_000006_000002	One day, among the other fishes, he caught a golden crab.	One day, among the other fishes, he caught a golden crab.	true	36.65	40.755	19
1859_145700_000006_000003	When he came home he put all the fishes together into a great dish, but he kept the Crab separate because it shone so beautifully, and placed it upon a high shelf in the cupboard.	When he came home he put all the fishes together into a great dish, but he kept the Crab separate because it shone so beautifully, and placed it upon a high shelf in the cupboard.	true	40.755	50.95	21
1859_145700_000006_000004	Now while the old woman, his wife, was cleaning the fish, and had tucked up her gown so that her feet were visible, she suddenly heard a voice, which said:	Now while the old woman, his wife, was cleaning the fish, and had tucked up her gown so that her feet were visible, she suddenly heard a voice, which said:	false	51.23	59.295	20
1859_145700_000007_000000	'Let down, let down thy petticoat That lets thy feet be seen.'	'Let down, let down thy petticoat That lets thy feet be seen.'	true	59.295	63.61	20
1859_145700_000008_000000	She turned round in surprise, and then she saw the little creature, the Golden Crab.	She turned round in surprise, and then she saw the little creature, the Golden Crab.	true	64.13	69.04	20.147285
1859_145700_000009_000000	'What!	'What!	true	69.26	69.915	32.665104
1859_145700_000009_000001	You can speak, can you, you ridiculous crab?' she said, for she was not quite pleased at the Crab's remarks.	You can speak, can you, you ridiculous crab?' she said, for she was not quite pleased at the Crab's remarks.	true	69.915	75.85	20
1859_145700_000009_000002	Then she took him up and placed him on a dish.	Then she took him up and placed him on a dish.	true	75.92	78.4	19
1859_145700_000010_000000	When her husband came home and they sat down to dinner, they presently heard the Crab's little voice saying, 'Give me some too.' They were all very much surprised, but they gave him something to eat.	When her husband came home and they sat down to dinner, they presently heard the Crab's little voice saying, 'Give me some too.' They were all very much surprised, but they gave him something to eat.	true	78.8	89.26	20.862385
1859_145700_000010_000001	When the old man came to take away the plate which had contained the Crab's dinner, he found it full of gold, and as the same thing happened every day he soon became very fond of the Crab.	When the old man came to take away the plate which had contained the Crab's dinner, he found it full of gold, and as the same thing happened every day he soon became very fond of the Crab.	true	89.33	100.96	21.482847
1859_145700_000011_000000	One day the Crab said to the fisherman's wife, 'Go to the King and tell him I wish to marry his younger daughter.'	One day the Crab said to the fisherman's wife, 'Go to the King and tell him I wish to marry his younger daughter.'	true	102.05	108.61	19
1859_145700_000012_000000	The old woman went accordingly, and laid the matter before the King, who laughed a little at the notion of his daughter marrying a crab, but did not decline the proposal altogether, because he was a prudent monarch, and knew that the Crab was likely to be a prince in disguise.	The old woman went accordingly, and laid the matter before the King, who laughed a little at the notion of his daughter marrying a crab, but did not decline the proposal altogether, because he was a prudent monarch, and knew that the Crab was likely to be a prince in disguise.	true	109.16	123.16	17
1859_145700_000012_000001	He said, therefore, to the fisherman's wife, 'Go, old woman, and tell the Crab I will give him my daughter if by to-morrow morning he can build a wall in front of my castle much higher than my tower, upon which all the flowers of the world must grow and bloom.'	He said, therefore, to the fisherman's wife, 'Go, old woman, and tell the Crab I will give him my daughter if by to morrow morning he can build a wall in front of my castle much higher than my tower, upon which all the flowers of the world must grow and bloom.'	true	123.44	139.69	22
1859_145700_000013_000000	The fisherman's wife went home and gave this message.	The fisherman's wife went home and gave this message.	true	140.54	143.59	18.89642
1859_145700_000014_000000	Then the Crab gave her a golden rod, and said, 'Go and strike with this rod three times upon the ground on the place which the King showed you, and to-morrow morning the wall will be there.'	Then the Crab gave her a golden rod, and said, 'Go and strike with this rod three times upon the ground on the place which the King showed you, and to morrow morning the wall will be there.'	true	143.87	153.94	20
1859_145700_000015_000000	The old woman did so and went away again.	The old woman did so and went away again.	true	154.4	157.09	23.785156
1859_145700_000016_000000	The next morning, when the King awoke, what do you think he saw?	The next morning, when the King awoke, what do you think he saw?	true	157.55	160.87	22.390184
1859_145700_000016_000001	The wall stood there before his eyes, exactly as he had bespoken it!	The wall stood there before his eyes, exactly as he had bespoken it!	true	160.88	165.55	20
1859_145700_000017_000000	Then the old woman went back to the King and said to him, 'Your Majesty's orders have been fulfilled.'	Then the old woman went back to the King and said to him, 'Your Majesty's orders have been fulfilled.'	true	165.86	171.22	23.24696
1859_145700_000018_000000	'That is all very well,' said the King, 'but I cannot give away my daughter until there stands in front of my palace a garden in which there are three fountains, of which the first must play gold, the second diamonds, and the third brilliants.'	'That is all very well,' said the King, 'but I cannot give away my daughter until there stands in front of my palace a garden in which there are three fountains, of which the first must play gold, the second diamonds, and the third brilliants.'	true	171.59	186.46	25.37865
1859_145700_000019_000000	So the old woman had to strike again three times upon the ground with the rod, and the next morning the garden was there.	So the old woman had to strike again three times upon the ground with the rod, and the next morning the garden was there.	true	187.94	194.145	19
1859_145700_000019_000001	The King now gave his consent, and the wedding was fixed for the very next day.	The King now gave his consent, and the wedding was fixed for the very next day.	true	194.145	198.85	19
1859_145700_000020_000000	Then the Crab said to the old fisherman, 'Now take this rod; go and knock with it on a certain mountain; then a black man(6) will come out and ask you what you wish for.	Then the Crab said to the old fisherman, 'Now take this rod; go and knock with it on a certain mountain; then a black man(six) will come out and ask you what you wish for.	false	199.67	212.79	22.894726
1859_145700_000020_000001	Answer him thus: ''Your master, the King, has sent me to tell you that you must send him his golden garment that is like the sun.'' Make him give you, besides, the queenly robes of gold and precious stones which are like the flowery meadows, and bring them both to me.	Answer him thus: ''Your master, the King, has sent me to tell you that you must send him his golden garment that is like the sun'' Make him give you, besides, the queenly robes of gold and precious stones which are like the flowery meadows, and bring them both to me.	true	212.79	229.75	21.182383
1859_145700_000020_000002	And bring me also the golden cushion.'	And bring me also the golden cushion.'	false	229.88	232.74	22.062286
1859_145700_000021_000000	(6) Ein Mohr.	(six) Ein Mohr.	false	232.74	234.12	1
1859_145700_000022_000000	The old man went and did his errand.	The old man went and did his errand.	true	234.12	236.29	17
1859_145700_000022_000001	When he had brought the precious robes, the Crab put on the golden garment and then crept upon the golden cushion, and in this way the fisherman carried him to the castle, where the Crab presented the other garment to his bride.	When he had brought the precious robes, the Crab put on the golden garment and then crept upon the golden cushion, and in this way the fisherman carried him to the castle, where the Crab presented the other garment to his bride.	true	236.6	248.56	18
