7481_101276_000000_000000	In this way Hans suddenly became rich--rich enough to buy a property of his own.	In this way Hans suddenly became rich-rich enough to buy a property of his own.	false	0	3.525	19.867151
7481_101276_000000_000001	But being a prudent man, he finally decided that it would be best for him to leave his old neighbourhood and look for a home in a distant part of the country, where nobody knew anything about him.	But being a prudent man, he finally decided that it would be best for him to leave his old neighbourhood and look for a home in a distant part of the country, where nobody knew anything about him.	false	3.525	9.42	21.296955
7481_101276_000000_000002	It did not take him long to find what he wanted, and after he had paid for it there was plenty of money left over.	It did not take him long to find what he wanted, and after he had paid for it there was plenty of money left over.	false	9.42	13.35	20.526758
7481_101276_000000_000003	When he was settled, he married a pretty girl who lived near by, and had some children, to whom on his death-bed he told the story of the lord of the underworld, and how he had made Hans rich.	When he was settled, he married a pretty girl who lived near by, and had some children, to whom on his death bed he told the story of the lord of the underworld, and how he had made Hans rich.	false	13.35	22.11	21.907345
7481_101276_000001_000000	(Ehstnische Marchen.)	(Ehstnische Marchen.)	false	22.11	22.44	-9
7481_101276_000002_000000	THE HISTORY OF DWARF LONG NOSE	THE HISTORY OF DWARF LONG NOSE	true	22.44	24.58	15
7481_101276_000003_000000	It is a great mistake to think that fairies, witches, magicians, and such people lived only in Eastern countries and in such times as those of the Caliph Haroun Al-Raschid.	It is a great mistake to think that fairies, witches, magicians, and such people lived only in Eastern countries and in such times as those of the Caliph Haroun Al Raschid.	false	26	39.03	20.995579
7481_101276_000003_000001	Fairies and their like belong to every country and every age, and no doubt we should see plenty of them now--if we only knew how.	Fairies and their like belong to every country and every age, and no doubt we should see plenty of them now-if we only knew how.	true	39.03	47.47	22
7481_101276_000004_000000	In a large town in Germany there lived, some couple of hundred years ago, a cobbler and his wife.	In a large town in Germany there lived, some couple of hundred years ago, a cobbler and his wife.	true	48.11	54.52	21
7481_101276_000004_000001	They were poor and hard-working.	They were poor and hard-working.	true	54.68	56.77	21.648466
7481_101276_000004_000002	The man sat all day in a little stall at the street corner and mended any shoes that were brought him.	The man sat all day in a little stall at the street corner and mended any shoes that were brought him.	true	57.11	63.34	21.32587
7481_101276_000004_000003	His wife sold the fruit and vegetables they grew in their garden in the Market Place, and as she was always neat and clean and her goods were temptingly spread out she had plenty of customers.	His wife sold the fruit and vegetables they grew in their garden in the Market Place, and as she was always neat and clean and her goods were temptingly spread out she had plenty of customers.	true	63.71	75.7	21
7481_101276_000005_000000	The couple had one boy called Jem.	The couple had one boy called Jem.	true	76.4	78.97	23.980652
