1053_132850_000006_000000	'Wilt thou wed me, farmer's daughter?'	'Wilt thou wed me, farmer's daughter?'
1053_132850_000007_000001	However, after a night's rest he was in a better temper, and thought that he might be more lucky the third time, so back he went to the old place.	However, after a night's rest he was in a better temper, and thought that he might be more lucky the third time, so back he went to the old place.
1053_132850_000008_000000	'Wilt thou wed me, farmer's daughter?' he said to the youngest.	'Wilt thou wed me, farmer's daughter?' he said to the youngest.
1053_132850_000009_000000	'Indeed I will wed thee; a pretty creature is the hoodie,' answered she, and on the morrow they were married.	'Indeed I will wed thee; a pretty creature is the hoodie,' answered she, and on the morrow they were married.
1053_132850_000013_000000	By and bye they had a son, and very pleased they both were.	By and bye they had a son, and very pleased they both were.
1053_132850_000013_000001	But in the night soft music was heard stealing close towards the house, and every man slept, and the mother slept also.	But in the night soft music was heard stealing close towards the house, and every man slept, and the mother slept also.
1053_132850_000015_000001	So they set out in a coach which was big enough to hold them, and had not gone very far when the hoodie suddenly said:	So they set out in a coach which was big enough to hold them, and had not gone very far when the hoodie suddenly said:
1053_132850_000019_000007	And when the sun rose she got up, and left the house, in search of the hoodie.	And when the sun rose she got up, and left the house, in search of the hoodie.
1053_132850_000027_000000	With the first spoonful he took up the ring, and a thrill ran through him; in the second he beheld the feather and rose from his chair.	With the first spoonful he took up the ring, and a thrill ran through him; in the second he beheld the feather and rose from his chair.
1053_132850_000028_000000	'Who has cooked this feast?' asked he, and the real cook, who had come back from the race, was brought before him.	'Who has cooked this feast?' asked he, and the real cook, who had come back from the race, was brought before him.
1053_132850_000030_000002	Still, at last they were over, and they went back the way she had come, and stopped at the three houses in order to take their little sons to their own home.	Still, at last they were over, and they went back the way she had come, and stopped at the three houses in order to take their little sons to their own home.
