731_366_000002_000000	Chapter 20	Chapter twenty
731_366_000003_000000	I sat one evening in my laboratory; the sun had set, and the moon was just rising from the sea; I had not sufficient light for my employment, and I remained idle, in a pause of consideration of whether I should leave my labour for the night or hasten its conclusion by an unremitting attention to it.	I sat one evening in my laboratory; the sun had set, and the moon was just rising from the sea; I had not sufficient light for my employment, and I remained idle, in a pause of consideration of whether I should leave my labour for the night or hasten its conclusion by an unremitting attention to it.
731_366_000003_000002	I was now about to form another being of whose dispositions I was alike ignorant; she might become ten thousand times more malignant than her mate and delight, for its own sake, in murder and wretchedness.	I was now about to form another being of whose dispositions I was alike ignorant; she might become ten thousand times more malignant than her mate and delight, for its own sake, in murder and wretchedness.
731_366_000003_000006	Had I right, for my own benefit, to inflict this curse upon everlasting generations?	Had I right, for my own benefit, to inflict this curse upon everlasting generations?
731_366_000004_000000	I trembled and my heart failed within me, when, on looking up, I saw by the light of the moon the daemon at the casement.	I trembled and my heart failed within me, when, on looking up, I saw by the light of the moon the daemon at the casement.
731_366_000004_000001	A ghastly grin wrinkled his lips as he gazed on me, where I sat fulfilling the task which he had allotted to me.	A ghastly grin wrinkled his lips as he gazed on me, where I sat fulfilling the task which he had allotted to me.
731_366_000005_000000	As I looked on him, his countenance expressed the utmost extent of malice and treachery.	As I looked on him, his countenance expressed the utmost extent of malice and treachery.
731_366_000005_000001	I thought with a sensation of madness on my promise of creating another like to him, and trembling with passion, tore to pieces the thing on which I was engaged.	I thought with a sensation of madness on my promise of creating another like to him, and trembling with passion, tore to pieces the thing on which I was engaged.
731_366_000005_000002	The wretch saw me destroy the creature on whose future existence he depended for happiness, and with a howl of devilish despair and revenge, withdrew.	The wretch saw me destroy the creature on whose future existence he depended for happiness, and with a howl of devilish despair and revenge, withdrew.
731_366_000007_000000	Several hours passed, and I remained near my window gazing on the sea; it was almost motionless, for the winds were hushed, and all nature reposed under the eye of the quiet moon.	Several hours passed, and I remained near my window gazing on the sea; it was almost motionless, for the winds were hushed, and all nature reposed under the eye of the quiet moon.
731_366_000007_000001	A few fishing vessels alone specked the water, and now and then the gentle breeze wafted the sound of voices as the fishermen called to one another.	A few fishing vessels alone specked the water, and now and then the gentle breeze wafted the sound of voices as the fishermen called to one another.
731_366_000007_000002	I felt the silence, although I was hardly conscious of its extreme profundity, until my ear was suddenly arrested by the paddling of oars near the shore, and a person landed close to my house.	I felt the silence, although I was hardly conscious of its extreme profundity, until my ear was suddenly arrested by the paddling of oars near the shore, and a person landed close to my house.
731_366_000008_000000	In a few minutes after, I heard the creaking of my door, as if some one endeavoured to open it softly.	In a few minutes after, I heard the creaking of my door, as if some one endeavoured to open it softly.
731_366_000008_000002	Presently I heard the sound of footsteps along the passage; the door opened, and the wretch whom I dreaded appeared.	Presently I heard the sound of footsteps along the passage; the door opened, and the wretch whom I dreaded appeared.
731_366_000010_000000	"Begone!	"Begone!
731_366_000010_000001	I do break my promise; never will I create another like yourself, equal in deformity and wickedness."	I do break my promise; never will I create another like yourself, equal in deformity and wickedness."
731_366_000011_000000	"Slave, I before reasoned with you, but you have proved yourself unworthy of my condescension.	"Slave, I before reasoned with you, but you have proved yourself unworthy of my condescension.
731_366_000011_000001	Remember that I have power; you believe yourself miserable, but I can make you so wretched that the light of day will be hateful to you.	Remember that I have power; you believe yourself miserable, but I can make you so wretched that the light of day will be hateful to you.
731_366_000011_000002	You are my creator, but I am your master; obey!"	You are my creator, but I am your master; obey!"
731_366_000012_000003	Begone!	Begone!
731_366_000013_000000	The monster saw my determination in my face and gnashed his teeth in the impotence of anger.	The monster saw my determination in my face and gnashed his teeth in the impotence of anger.
731_366_000013_000002	I had feelings of affection, and they were requited by detestation and scorn. Man!	I had feelings of affection, and they were requited by detestation and scorn. Man!
731_366_000013_000003	You may hate, but beware!	You may hate, but beware!
731_366_000013_000006	You can blast my other passions, but revenge remains--revenge, henceforth dearer than light or food!	You can blast my other passions, but revenge remains-revenge, henceforth dearer than light or food!
731_366_000013_000007	I may die, but first you, my tyrant and tormentor, shall curse the sun that gazes on your misery.	I may die, but first you, my tyrant and tormentor, shall curse the sun that gazes on your misery.
731_366_000014_000000	"Devil, cease; and do not poison the air with these sounds of malice. I have declared my resolution to you, and I am no coward to bend beneath words.	"Devil, cease; and do not poison the air with these sounds of malice. I have declared my resolution to you, and I am no coward to bend beneath words.
731_366_000014_000001	Leave me; I am inexorable."	Leave me; I am inexorable."
731_366_000015_000000	"It is well.	"It is well.
731_366_000015_000001	I go; but remember, I shall be with you on your wedding-night."	I go; but remember, I shall be with you on your wedding night."
731_366_000016_000000	I started forward and exclaimed, "Villain!	I started forward and exclaimed, "Villain!
731_366_000017_000000	I would have seized him, but he eluded me and quitted the house with precipitation.	I would have seized him, but he eluded me and quitted the house with precipitation.
731_366_000017_000001	In a few moments I saw him in his boat, which shot across the waters with an arrowy swiftness and was soon lost amidst the waves.	In a few moments I saw him in his boat, which shot across the waters with an arrowy swiftness and was soon lost amidst the waves.
731_366_000018_000000	All was again silent, but his words rang in my ears.	All was again silent, but his words rang in my ears.
731_366_000018_000001	I burned with rage to pursue the murderer of my peace and precipitate him into the ocean.	I burned with rage to pursue the murderer of my peace and precipitate him into the ocean.
731_366_000018_000002	I walked up and down my room hastily and perturbed, while my imagination conjured up a thousand images to torment and sting me.	I walked up and down my room hastily and perturbed, while my imagination conjured up a thousand images to torment and sting me.
731_366_000018_000003	Why had I not followed him and closed with him in mortal strife?	Why had I not followed him and closed with him in mortal strife?
731_366_000018_000004	But I had suffered him to depart, and he had directed his course towards the mainland.	But I had suffered him to depart, and he had directed his course towards the mainland.
731_366_000018_000005	I shuddered to think who might be the next victim sacrificed to his insatiate revenge.	I shuddered to think who might be the next victim sacrificed to his insatiate revenge.
731_366_000018_000006	And then I thought again of his words--"I WILL BE WITH YOU ON YOUR WEDDING-NIGHT." That, then, was the period fixed for the fulfilment of my destiny.	And then I thought again of his words-"I WILL BE WITH YOU ON YOUR WEDDING NIGHT." That, then, was the period fixed for the fulfilment of my destiny.
731_366_000018_000007	In that hour I should die and at once satisfy and extinguish his malice.	In that hour I should die and at once satisfy and extinguish his malice.
731_366_000018_000008	The prospect did not move me to fear; yet when I thought of my beloved Elizabeth, of her tears and endless sorrow, when she should find her lover so barbarously snatched from her, tears, the first I had shed for many months, streamed from my eyes, and I resolved not to fall before my enemy without a bitter struggle.	The prospect did not move me to fear; yet when I thought of my beloved Elizabeth, of her tears and endless sorrow, when she should find her lover so barbarously snatched from her, tears, the first I had shed for many months, streamed from my eyes, and I resolved not to fall before my enemy without a bitter struggle.
731_366_000019_000000	The night passed away, and the sun rose from the ocean; my feelings became calmer, if it may be called calmness when the violence of rage sinks into the depths of despair.	The night passed away, and the sun rose from the ocean; my feelings became calmer, if it may be called calmness when the violence of rage sinks into the depths of despair.
731_366_000020_000000	I desired that I might pass my life on that barren rock, wearily, it is true, but uninterrupted by any sudden shock of misery.	I desired that I might pass my life on that barren rock, wearily, it is true, but uninterrupted by any sudden shock of misery.
731_366_000021_000000	I walked about the isle like a restless spectre, separated from all it loved and miserable in the separation.	I walked about the isle like a restless spectre, separated from all it loved and miserable in the separation.
731_366_000021_000002	I had been awake the whole of the preceding night, my nerves were agitated, and my eyes inflamed by watching and misery.	I had been awake the whole of the preceding night, my nerves were agitated, and my eyes inflamed by watching and misery.
731_366_000022_000003	He besought me, therefore, to leave my solitary isle and to meet him at Perth, that we might proceed southwards together.	He besought me, therefore, to leave my solitary isle and to meet him at Perth, that we might proceed southwards together.
731_366_000022_000004	This letter in a degree recalled me to life, and I determined to quit my island at the expiration of two days.	This letter in a degree recalled me to life, and I determined to quit my island at the expiration of two days.
731_366_000022_000005	Yet, before I departed, there was a task to perform, on which I shuddered to reflect; I must pack up my chemical instruments, and for that purpose I must enter the room which had been the scene of my odious work, and I must handle those utensils the sight of which was sickening to me.	Yet, before I departed, there was a task to perform, on which I shuddered to reflect; I must pack up my chemical instruments, and for that purpose I must enter the room which had been the scene of my odious work, and I must handle those utensils the sight of which was sickening to me.
731_366_000022_000008	I paused to collect myself and then entered the chamber.	I paused to collect myself and then entered the chamber.
731_366_000023_000003	I had resolved in my own mind that to create another like the fiend I had first made would be an act of the basest and most atrocious selfishness, and I banished from my mind every thought that could lead to a different conclusion.	I had resolved in my own mind that to create another like the fiend I had first made would be an act of the basest and most atrocious selfishness, and I banished from my mind every thought that could lead to a different conclusion.
731_366_000024_000000	Between two and three in the morning the moon rose; and I then, putting my basket aboard a little skiff, sailed out about four miles from the shore.	Between two and three in the morning the moon rose; and I then, putting my basket aboard a little skiff, sailed out about four miles from the shore.
731_366_000024_000002	I felt as if I was about the commission of a dreadful crime and avoided with shuddering anxiety any encounter with my fellow creatures.	I felt as if I was about the commission of a dreadful crime and avoided with shuddering anxiety any encounter with my fellow creatures.
731_366_000024_000004	The sky became clouded, but the air was pure, although chilled by the northeast breeze that was then rising.	The sky became clouded, but the air was pure, although chilled by the northeast breeze that was then rising.
731_366_000024_000005	But it refreshed me and filled me with such agreeable sensations that I resolved to prolong my stay on the water, and fixing the rudder in a direct position, stretched myself at the bottom of the boat.	But it refreshed me and filled me with such agreeable sensations that I resolved to prolong my stay on the water, and fixing the rudder in a direct position, stretched myself at the bottom of the boat.
731_366_000024_000006	Clouds hid the moon, everything was obscure, and I heard only the sound of the boat as its keel cut through the waves; the murmur lulled me, and in a short time I slept soundly.	Clouds hid the moon, everything was obscure, and I heard only the sound of the boat as its keel cut through the waves; the murmur lulled me, and in a short time I slept soundly.
731_366_000024_000011	Thus situated, my only resource was to drive before the wind.	Thus situated, my only resource was to drive before the wind.
731_366_000024_000012	I confess that I felt a few sensations of terror.	I confess that I felt a few sensations of terror.
731_366_000024_000013	I had no compass with me and was so slenderly acquainted with the geography of this part of the world that the sun was of little benefit to me.	I had no compass with me and was so slenderly acquainted with the geography of this part of the world that the sun was of little benefit to me.
731_366_000024_000014	I might be driven into the wide Atlantic and feel all the tortures of starvation or be swallowed up in the immeasurable waters that roared and buffeted around me.	I might be driven into the wide Atlantic and feel all the tortures of starvation or be swallowed up in the immeasurable waters that roared and buffeted around me.
731_366_000024_000015	I had already been out many hours and felt the torment of a burning thirst, a prelude to my other sufferings.	I had already been out many hours and felt the torment of a burning thirst, a prelude to my other sufferings.
731_366_000025_000000	Some hours passed thus; but by degrees, as the sun declined towards the horizon, the wind died away into a gentle breeze and the sea became free from breakers.	Some hours passed thus; but by degrees, as the sun declined towards the horizon, the wind died away into a gentle breeze and the sea became free from breakers.
731_366_000025_000001	But these gave place to a heavy swell; I felt sick and hardly able to hold the rudder, when suddenly I saw a line of high land towards the south.	But these gave place to a heavy swell; I felt sick and hardly able to hold the rudder, when suddenly I saw a line of high land towards the south.
731_366_000027_000001	I constructed another sail with a part of my dress and eagerly steered my course towards the land. It had a wild and rocky appearance, but as I approached nearer I easily perceived the traces of cultivation.	I constructed another sail with a part of my dress and eagerly steered my course towards the land. It had a wild and rocky appearance, but as I approached nearer I easily perceived the traces of cultivation.
731_366_000027_000002	I saw vessels near the shore and found myself suddenly transported back to the neighbourhood of civilized man.	I saw vessels near the shore and found myself suddenly transported back to the neighbourhood of civilized man.
731_366_000027_000004	Fortunately I had money with me.	Fortunately I had money with me.
731_366_000028_000000	As I turned the promontory I perceived a small neat town and a good harbour, which I entered, my heart bounding with joy at my unexpected escape.	As I turned the promontory I perceived a small neat town and a good harbour, which I entered, my heart bounding with joy at my unexpected escape.
731_366_000029_000000	As I was occupied in fixing the boat and arranging the sails, several people crowded towards the spot.	As I was occupied in fixing the boat and arranging the sails, several people crowded towards the spot.
731_366_000029_000001	They seemed much surprised at my appearance, but instead of offering me any assistance, whispered together with gestures that at any other time might have produced in me a slight sensation of alarm.	They seemed much surprised at my appearance, but instead of offering me any assistance, whispered together with gestures that at any other time might have produced in me a slight sensation of alarm.
731_366_000029_000002	As it was, I merely remarked that they spoke English, and I therefore addressed them in that language.	As it was, I merely remarked that they spoke English, and I therefore addressed them in that language.
731_366_000031_000001	"Why do you answer me so roughly?" I replied.	"Why do you answer me so roughly?" I replied.
731_366_000031_000002	"Surely it is not the custom of Englishmen to receive strangers so inhospitably."	"Surely it is not the custom of Englishmen to receive strangers so inhospitably."
731_366_000032_000000	"I do not know," said the man, "what the custom of the English may be, but it is the custom of the Irish to hate villains." While this strange dialogue continued, I perceived the crowd rapidly increase.	"I do not know," said the man, "what the custom of the English may be, but it is the custom of the Irish to hate villains." While this strange dialogue continued, I perceived the crowd rapidly increase.
731_366_000032_000001	Their faces expressed a mixture of curiosity and anger, which annoyed and in some degree alarmed me.	Their faces expressed a mixture of curiosity and anger, which annoyed and in some degree alarmed me.
731_366_000033_000000	I inquired the way to the inn, but no one replied.	I inquired the way to the inn, but no one replied.
731_366_000033_000001	I then moved forward, and a murmuring sound arose from the crowd as they followed and surrounded me, when an ill-looking man approaching tapped me on the shoulder and said, "Come, sir, you must follow me to Mr. Kirwin's to give an account of yourself."	I then moved forward, and a murmuring sound arose from the crowd as they followed and surrounded me, when an ill looking man approaching tapped me on the shoulder and said, "Come, sir, you must follow me to mr Kirwin's to give an account of yourself."
731_366_000034_000000	"Who is Mr. Kirwin?	"Who is mr Kirwin?
731_366_000034_000001	Why am I to give an account of myself?	Why am I to give an account of myself?
731_366_000036_000000	This answer startled me, but I presently recovered myself.	This answer startled me, but I presently recovered myself.
